Event,Latitude,Longitude,Depth sed [m],Symbiosis,Spine,Absolute Abundance
JM05-085-GC,71.6218,22.9261,3.62,symbiont-barren,non-spinose,0
JM05-085-GC,71.6218,22.9261,3.62,symbiont-barren,spinose,0
JM05-085-GC,71.6218,22.9261,3.62,symbiont-bearing,non-spinose,0
JM05-085-GC,71.6218,22.9261,3.62,symbiont-facultative,non-spinose,0
JM05-085-GC,71.6218,22.9261,3.62,symbiont-obligate,spinose,0
JM05-085-GC,71.6218,22.9261,3.64,symbiont-barren,non-spinose,0
JM05-085-GC,71.6218,22.9261,3.64,symbiont-barren,spinose,0
JM05-085-GC,71.6218,22.9261,3.64,symbiont-bearing,non-spinose,0
JM05-085-GC,71.6218,22.9261,3.64,symbiont-facultative,non-spinose,0
JM05-085-GC,71.6218,22.9261,3.64,symbiont-obligate,spinose,0
JM05-085-GC,71.6218,22.9261,3.66,symbiont-barren,non-spinose,0
JM05-085-GC,71.6218,22.9261,3.66,symbiont-barren,spinose,0
JM05-085-GC,71.6218,22.9261,3.66,symbiont-bearing,non-spinose,0
JM05-085-GC,71.6218,22.9261,3.66,symbiont-facultative,non-spinose,0
JM05-085-GC,71.6218,22.9261,3.66,symbiont-obligate,spinose,0
JM05-085-GC,71.6218,22.9261,3.67,symbiont-barren,non-spinose,0
JM05-085-GC,71.6218,22.9261,3.67,symbiont-barren,spinose,0
JM05-085-GC,71.6218,22.9261,3.67,symbiont-bearing,non-spinose,0
JM05-085-GC,71.6218,22.9261,3.67,symbiont-facultative,non-spinose,0
JM05-085-GC,71.6218,22.9261,3.67,symbiont-obligate,spinose,0
JM05-085-GC,71.6218,22.9261,3.68,symbiont-barren,non-spinose,10
JM05-085-GC,71.6218,22.9261,3.68,symbiont-barren,spinose,0
JM05-085-GC,71.6218,22.9261,3.68,symbiont-bearing,non-spinose,2
JM05-085-GC,71.6218,22.9261,3.68,symbiont-facultative,non-spinose,0
JM05-085-GC,71.6218,22.9261,3.68,symbiont-obligate,spinose,0
JM05-085-GC,71.6218,22.9261,3.69,symbiont-barren,non-spinose,143
JM05-085-GC,71.6218,22.9261,3.69,symbiont-barren,spinose,10
JM05-085-GC,71.6218,22.9261,3.69,symbiont-bearing,non-spinose,11
JM05-085-GC,71.6218,22.9261,3.69,symbiont-facultative,non-spinose,1
JM05-085-GC,71.6218,22.9261,3.69,symbiont-obligate,spinose,1
JM05-085-GC,71.6218,22.9261,3.7,symbiont-barren,non-spinose,49
JM05-085-GC,71.6218,22.9261,3.7,symbiont-barren,spinose,4
JM05-085-GC,71.6218,22.9261,3.7,symbiont-bearing,non-spinose,2
JM05-085-GC,71.6218,22.9261,3.7,symbiont-facultative,non-spinose,3
JM05-085-GC,71.6218,22.9261,3.7,symbiont-obligate,spinose,0
JM05-085-GC,71.6218,22.9261,3.71,symbiont-barren,non-spinose,0
JM05-085-GC,71.6218,22.9261,3.71,symbiont-barren,spinose,0
JM05-085-GC,71.6218,22.9261,3.71,symbiont-bearing,non-spinose,0
JM05-085-GC,71.6218,22.9261,3.71,symbiont-facultative,non-spinose,0
JM05-085-GC,71.6218,22.9261,3.71,symbiont-obligate,spinose,0
JM05-085-GC,71.6218,22.9261,3.72,symbiont-barren,non-spinose,16
JM05-085-GC,71.6218,22.9261,3.72,symbiont-barren,spinose,2
JM05-085-GC,71.6218,22.9261,3.72,symbiont-bearing,non-spinose,0
JM05-085-GC,71.6218,22.9261,3.72,symbiont-facultative,non-spinose,1
JM05-085-GC,71.6218,22.9261,3.72,symbiont-obligate,spinose,0
JM05-085-GC,71.6218,22.9261,3.73,symbiont-barren,non-spinose,15
JM05-085-GC,71.6218,22.9261,3.73,symbiont-barren,spinose,0
JM05-085-GC,71.6218,22.9261,3.73,symbiont-bearing,non-spinose,1
JM05-085-GC,71.6218,22.9261,3.73,symbiont-facultative,non-spinose,0
JM05-085-GC,71.6218,22.9261,3.73,symbiont-obligate,spinose,0
JM05-085-GC,71.6218,22.9261,3.74,symbiont-barren,non-spinose,18
JM05-085-GC,71.6218,22.9261,3.74,symbiont-barren,spinose,1
JM05-085-GC,71.6218,22.9261,3.74,symbiont-bearing,non-spinose,0
JM05-085-GC,71.6218,22.9261,3.74,symbiont-facultative,non-spinose,1
JM05-085-GC,71.6218,22.9261,3.74,symbiont-obligate,spinose,0
JM05-085-GC,71.6218,22.9261,3.75,symbiont-barren,non-spinose,0
JM05-085-GC,71.6218,22.9261,3.75,symbiont-barren,spinose,0
JM05-085-GC,71.6218,22.9261,3.75,symbiont-bearing,non-spinose,0
JM05-085-GC,71.6218,22.9261,3.75,symbiont-facultative,non-spinose,0
JM05-085-GC,71.6218,22.9261,3.75,symbiont-obligate,spinose,0
JM05-085-GC,71.6218,22.9261,3.76,symbiont-barren,non-spinose,0
JM05-085-GC,71.6218,22.9261,3.76,symbiont-barren,spinose,0
JM05-085-GC,71.6218,22.9261,3.76,symbiont-bearing,non-spinose,0
JM05-085-GC,71.6218,22.9261,3.76,symbiont-facultative,non-spinose,0
JM05-085-GC,71.6218,22.9261,3.76,symbiont-obligate,spinose,0
JM05-085-GC,71.6218,22.9261,3.77,symbiont-barren,non-spinose,0
JM05-085-GC,71.6218,22.9261,3.77,symbiont-barren,spinose,0
JM05-085-GC,71.6218,22.9261,3.77,symbiont-bearing,non-spinose,0
JM05-085-GC,71.6218,22.9261,3.77,symbiont-facultative,non-spinose,0
JM05-085-GC,71.6218,22.9261,3.77,symbiont-obligate,spinose,0
JM05-085-GC,71.6218,22.9261,3.78,symbiont-barren,non-spinose,0
JM05-085-GC,71.6218,22.9261,3.78,symbiont-barren,spinose,0
JM05-085-GC,71.6218,22.9261,3.78,symbiont-bearing,non-spinose,0
JM05-085-GC,71.6218,22.9261,3.78,symbiont-facultative,non-spinose,0
JM05-085-GC,71.6218,22.9261,3.78,symbiont-obligate,spinose,0
