Event,Latitude,Longitude,Depth sed [m],Symbiosis,Spine,Absolute Abundance
MD95-2040,40.581833,-9.861167,3.44,symbiont-barren,non-spinose,212
MD95-2040,40.581833,-9.861167,3.44,symbiont-barren,spinose,83
MD95-2040,40.581833,-9.861167,3.44,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,3.44,symbiont-bearing,spinose,0
MD95-2040,40.581833,-9.861167,3.44,symbiont-facultative,non-spinose,140
MD95-2040,40.581833,-9.861167,3.44,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,3.44,symbiont-obligate,spinose,32
MD95-2040,40.581833,-9.861167,3.44,undetermined,non-spinose,15
MD95-2040,40.581833,-9.861167,3.47,symbiont-barren,non-spinose,371
MD95-2040,40.581833,-9.861167,3.47,symbiont-barren,spinose,131
MD95-2040,40.581833,-9.861167,3.47,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,3.47,symbiont-bearing,spinose,1
MD95-2040,40.581833,-9.861167,3.47,symbiont-facultative,non-spinose,145
MD95-2040,40.581833,-9.861167,3.47,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,3.47,symbiont-obligate,spinose,52
MD95-2040,40.581833,-9.861167,3.47,undetermined,non-spinose,22
MD95-2040,40.581833,-9.861167,3.5,symbiont-barren,non-spinose,169
MD95-2040,40.581833,-9.861167,3.5,symbiont-barren,spinose,77
MD95-2040,40.581833,-9.861167,3.5,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,3.5,symbiont-bearing,spinose,0
MD95-2040,40.581833,-9.861167,3.5,symbiont-facultative,non-spinose,72
MD95-2040,40.581833,-9.861167,3.5,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,3.5,symbiont-obligate,spinose,34
MD95-2040,40.581833,-9.861167,3.5,undetermined,non-spinose,11
MD95-2040,40.581833,-9.861167,3.53,symbiont-barren,non-spinose,220
MD95-2040,40.581833,-9.861167,3.53,symbiont-barren,spinose,119
MD95-2040,40.581833,-9.861167,3.53,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,3.53,symbiont-bearing,spinose,1
MD95-2040,40.581833,-9.861167,3.53,symbiont-facultative,non-spinose,119
MD95-2040,40.581833,-9.861167,3.53,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,3.53,symbiont-obligate,spinose,48
MD95-2040,40.581833,-9.861167,3.53,undetermined,non-spinose,22
MD95-2040,40.581833,-9.861167,3.56,symbiont-barren,non-spinose,393
MD95-2040,40.581833,-9.861167,3.56,symbiont-barren,spinose,162
MD95-2040,40.581833,-9.861167,3.56,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,3.56,symbiont-bearing,spinose,1
MD95-2040,40.581833,-9.861167,3.56,symbiont-facultative,non-spinose,264
MD95-2040,40.581833,-9.861167,3.56,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,3.56,symbiont-obligate,spinose,43
MD95-2040,40.581833,-9.861167,3.56,undetermined,non-spinose,28
MD95-2040,40.581833,-9.861167,3.59,symbiont-barren,non-spinose,231
