Latitude,Longitude,Depth sed [m],Symbiosis,Spine,Absolute Abundance
67.86666,-21.765,1.1,symbiont-barren,non-spinose,0
67.86666,-21.765,1.11,symbiont-barren,non-spinose,1127
67.86666,-21.765,1.12,symbiont-barren,non-spinose,914
67.86666,-21.765,1.13,symbiont-barren,non-spinose,826
67.86666,-21.765,1.14,symbiont-barren,non-spinose,1052
67.86666,-21.765,1.15,symbiont-barren,non-spinose,1154
67.86666,-21.765,1.16,symbiont-barren,non-spinose,1388
67.86666,-21.765,1.17,symbiont-barren,non-spinose,1729
67.86666,-21.765,1.18,symbiont-barren,non-spinose,1556
67.86666,-21.765,1.19,symbiont-barren,non-spinose,1394
67.86666,-21.765,1.2,symbiont-barren,non-spinose,0
67.86666,-21.765,1.21,symbiont-barren,non-spinose,1090
67.86666,-21.765,1.22,symbiont-barren,non-spinose,908
67.86666,-21.765,1.23,symbiont-barren,non-spinose,581
