Event,Latitude,Longitude,Depth sed [m],Symbiosis,Spine,Absolute Abundance
SS0206-GC15,-39.31283,142.68398,3.32,symbiont-barren,non-spinose,157
SS0206-GC15,-39.31283,142.68398,3.32,symbiont-barren,spinose,276
SS0206-GC15,-39.31283,142.68398,3.32,symbiont-bearing,spinose,0
SS0206-GC15,-39.31283,142.68398,3.32,symbiont-facultative,non-spinose,86
SS0206-GC15,-39.31283,142.68398,3.32,symbiont-obligate,spinose,14
SS0206-GC15,-39.31283,142.68398,3.34,symbiont-barren,non-spinose,149
SS0206-GC15,-39.31283,142.68398,3.34,symbiont-barren,spinose,275
SS0206-GC15,-39.31283,142.68398,3.34,symbiont-bearing,spinose,0
SS0206-GC15,-39.31283,142.68398,3.34,symbiont-facultative,non-spinose,76
SS0206-GC15,-39.31283,142.68398,3.34,symbiont-obligate,spinose,9
SS0206-GC15,-39.31283,142.68398,3.36,symbiont-barren,non-spinose,175
SS0206-GC15,-39.31283,142.68398,3.36,symbiont-barren,spinose,280
SS0206-GC15,-39.31283,142.68398,3.36,symbiont-bearing,spinose,0
SS0206-GC15,-39.31283,142.68398,3.36,symbiont-facultative,non-spinose,88
SS0206-GC15,-39.31283,142.68398,3.36,symbiont-obligate,spinose,6
SS0206-GC15,-39.31283,142.68398,3.38,symbiont-barren,non-spinose,174
SS0206-GC15,-39.31283,142.68398,3.38,symbiont-barren,spinose,255
SS0206-GC15,-39.31283,142.68398,3.38,symbiont-bearing,spinose,1
SS0206-GC15,-39.31283,142.68398,3.38,symbiont-facultative,non-spinose,71
SS0206-GC15,-39.31283,142.68398,3.38,symbiont-obligate,spinose,5
SS0206-GC15,-39.31283,142.68398,3.4,symbiont-barren,non-spinose,153
SS0206-GC15,-39.31283,142.68398,3.4,symbiont-barren,spinose,258
SS0206-GC15,-39.31283,142.68398,3.4,symbiont-bearing,spinose,1
SS0206-GC15,-39.31283,142.68398,3.4,symbiont-facultative,non-spinose,113
SS0206-GC15,-39.31283,142.68398,3.4,symbiont-obligate,spinose,3
SS0206-GC15,-39.31283,142.68398,3.44,symbiont-barren,non-spinose,195
SS0206-GC15,-39.31283,142.68398,3.44,symbiont-barren,spinose,238
SS0206-GC15,-39.31283,142.68398,3.44,symbiont-bearing,spinose,0
SS0206-GC15,-39.31283,142.68398,3.44,symbiont-facultative,non-spinose,77
SS0206-GC15,-39.31283,142.68398,3.44,symbiont-obligate,spinose,6
SS0206-GC15,-39.31283,142.68398,3.46,symbiont-barren,non-spinose,179
SS0206-GC15,-39.31283,142.68398,3.46,symbiont-barren,spinose,290
SS0206-GC15,-39.31283,142.68398,3.46,symbiont-bearing,spinose,0
SS0206-GC15,-39.31283,142.68398,3.46,symbiont-facultative,non-spinose,101
SS0206-GC15,-39.31283,142.68398,3.46,symbiont-obligate,spinose,4
SS0206-GC15,-39.31283,142.68398,3.5,symbiont-barren,non-spinose,157
SS0206-GC15,-39.31283,142.68398,3.5,symbiont-barren,spinose,308
SS0206-GC15,-39.31283,142.68398,3.5,symbiont-bearing,spinose,0
SS0206-GC15,-39.31283,142.68398,3.5,symbiont-facultative,non-spinose,96
SS0206-GC15,-39.31283,142.68398,3.5,symbiont-obligate,spinose,3
SS0206-GC15,-39.31283,142.68398,3.51,symbiont-barren,non-spinose,213
SS0206-GC15,-39.31283,142.68398,3.51,symbiont-barren,spinose,303
SS0206-GC15,-39.31283,142.68398,3.51,symbiont-bearing,spinose,0
SS0206-GC15,-39.31283,142.68398,3.51,symbiont-facultative,non-spinose,94
SS0206-GC15,-39.31283,142.68398,3.51,symbiont-obligate,spinose,3
SS0206-GC15,-39.31283,142.68398,3.52,symbiont-barren,non-spinose,186
SS0206-GC15,-39.31283,142.68398,3.52,symbiont-barren,spinose,262
SS0206-GC15,-39.31283,142.68398,3.52,symbiont-bearing,spinose,0
SS0206-GC15,-39.31283,142.68398,3.52,symbiont-facultative,non-spinose,93
SS0206-GC15,-39.31283,142.68398,3.52,symbiont-obligate,spinose,6
SS0206-GC15,-39.31283,142.68398,3.56,symbiont-barren,non-spinose,168
SS0206-GC15,-39.31283,142.68398,3.56,symbiont-barren,spinose,229
SS0206-GC15,-39.31283,142.68398,3.56,symbiont-bearing,spinose,0
SS0206-GC15,-39.31283,142.68398,3.56,symbiont-facultative,non-spinose,125
SS0206-GC15,-39.31283,142.68398,3.56,symbiont-obligate,spinose,14
SS0206-GC15,-39.31283,142.68398,3.6,symbiont-barren,non-spinose,192
SS0206-GC15,-39.31283,142.68398,3.6,symbiont-barren,spinose,290
SS0206-GC15,-39.31283,142.68398,3.6,symbiont-bearing,spinose,0
SS0206-GC15,-39.31283,142.68398,3.6,symbiont-facultative,non-spinose,111
SS0206-GC15,-39.31283,142.68398,3.6,symbiont-obligate,spinose,11
SS0206-GC15,-39.31283,142.68398,3.62,symbiont-barren,non-spinose,147
SS0206-GC15,-39.31283,142.68398,3.62,symbiont-barren,spinose,272
SS0206-GC15,-39.31283,142.68398,3.62,symbiont-bearing,spinose,2
SS0206-GC15,-39.31283,142.68398,3.62,symbiont-facultative,non-spinose,103
SS0206-GC15,-39.31283,142.68398,3.62,symbiont-obligate,spinose,15
SS0206-GC15,-39.31283,142.68398,3.66,symbiont-barren,non-spinose,179
SS0206-GC15,-39.31283,142.68398,3.66,symbiont-barren,spinose,302
SS0206-GC15,-39.31283,142.68398,3.66,symbiont-bearing,spinose,0
SS0206-GC15,-39.31283,142.68398,3.66,symbiont-facultative,non-spinose,102
SS0206-GC15,-39.31283,142.68398,3.66,symbiont-obligate,spinose,7
SS0206-GC15,-39.31283,142.68398,3.68,symbiont-barren,non-spinose,207
SS0206-GC15,-39.31283,142.68398,3.68,symbiont-barren,spinose,298
SS0206-GC15,-39.31283,142.68398,3.68,symbiont-bearing,spinose,0
SS0206-GC15,-39.31283,142.68398,3.68,symbiont-facultative,non-spinose,105
SS0206-GC15,-39.31283,142.68398,3.68,symbiont-obligate,spinose,4
SS0206-GC15,-39.31283,142.68398,3.7,symbiont-barren,non-spinose,159
SS0206-GC15,-39.31283,142.68398,3.7,symbiont-barren,spinose,297
SS0206-GC15,-39.31283,142.68398,3.7,symbiont-bearing,spinose,0
SS0206-GC15,-39.31283,142.68398,3.7,symbiont-facultative,non-spinose,112
SS0206-GC15,-39.31283,142.68398,3.7,symbiont-obligate,spinose,4
SS0206-GC15,-39.31283,142.68398,3.74,symbiont-barren,non-spinose,162
SS0206-GC15,-39.31283,142.68398,3.74,symbiont-barren,spinose,271
SS0206-GC15,-39.31283,142.68398,3.74,symbiont-bearing,spinose,1
SS0206-GC15,-39.31283,142.68398,3.74,symbiont-facultative,non-spinose,88
SS0206-GC15,-39.31283,142.68398,3.74,symbiont-obligate,spinose,3
SS0206-GC15,-39.31283,142.68398,3.76,symbiont-barren,non-spinose,169
SS0206-GC15,-39.31283,142.68398,3.76,symbiont-barren,spinose,261
SS0206-GC15,-39.31283,142.68398,3.76,symbiont-bearing,spinose,0
SS0206-GC15,-39.31283,142.68398,3.76,symbiont-facultative,non-spinose,87
SS0206-GC15,-39.31283,142.68398,3.76,symbiont-obligate,spinose,3
SS0206-GC15,-39.31283,142.68398,3.78,symbiont-barren,non-spinose,177
SS0206-GC15,-39.31283,142.68398,3.78,symbiont-barren,spinose,287
SS0206-GC15,-39.31283,142.68398,3.78,symbiont-bearing,spinose,0
SS0206-GC15,-39.31283,142.68398,3.78,symbiont-facultative,non-spinose,70
SS0206-GC15,-39.31283,142.68398,3.78,symbiont-obligate,spinose,1
SS0206-GC15,-39.31283,142.68398,3.8,symbiont-barren,non-spinose,215
SS0206-GC15,-39.31283,142.68398,3.8,symbiont-barren,spinose,273
SS0206-GC15,-39.31283,142.68398,3.8,symbiont-bearing,spinose,1
SS0206-GC15,-39.31283,142.68398,3.8,symbiont-facultative,non-spinose,85
SS0206-GC15,-39.31283,142.68398,3.8,symbiont-obligate,spinose,5
SS0206-GC15,-39.31283,142.68398,3.82,symbiont-barren,non-spinose,236
