Event,Latitude,Longitude,Depth sed,Symbiosis,Spine,Elevation,Absolute Abundance
A15-558,8.983,51.733,0.98,symbiont-barren,non-spinose,-27895,82
A15-558,8.983,51.733,0.98,symbiont-barren,spinose,-11955,62
A15-558,8.983,51.733,0.98,symbiont-bearing,spinose,-11955,12
A15-558,8.983,51.733,0.98,symbiont-facultative,non-spinose,-15940,79
A15-558,8.983,51.733,0.98,symbiont-obligate,spinose,-27895,73
A15-558,8.983,51.733,0.98,undetermined,non-spinose,-3985,0
A156-4,34.817,-74.683,7.5,symbiont-barren,non-spinose,-21700,0
A156-4,34.817,-74.683,7.5,symbiont-barren,spinose,-9300,0
A156-4,34.817,-74.683,7.5,symbiont-bearing,spinose,-9300,0
A156-4,34.817,-74.683,7.5,symbiont-facultative,non-spinose,-12400,0
A156-4,34.817,-74.683,7.5,symbiont-obligate,spinose,-21700,0
A156-4,34.817,-74.683,7.5,undetermined,non-spinose,-3100,0
A164-24,36.483,-69,0.75,symbiont-barren,non-spinose,-30723,0
A164-24,36.483,-69,0.75,symbiont-barren,spinose,-13167,0
A164-24,36.483,-69,0.75,symbiont-bearing,spinose,-13167,0
A164-24,36.483,-69,0.75,symbiont-facultative,non-spinose,-17556,0
A164-24,36.483,-69,0.75,symbiont-obligate,spinose,-30723,0
A164-24,36.483,-69,0.75,undetermined,non-spinose,-4389,0
A164-5,37.767,-71.25,1.71,symbiont-barren,non-spinose,-23303,0
A164-5,37.767,-71.25,1.71,symbiont-barren,spinose,-9987,0
A164-5,37.767,-71.25,1.71,symbiont-bearing,spinose,-9987,0
A164-5,37.767,-71.25,1.71,symbiont-facultative,non-spinose,-13316,0
A164-5,37.767,-71.25,1.71,symbiont-obligate,spinose,-23303,0
A164-5,37.767,-71.25,1.71,undetermined,non-spinose,-3329,0
A164-6,38.133,-69.867,1.09,symbiont-barren,non-spinose,-25732,0
A164-6,38.133,-69.867,1.09,symbiont-barren,spinose,-11028,0
A164-6,38.133,-69.867,1.09,symbiont-bearing,spinose,-11028,0
A164-6,38.133,-69.867,1.09,symbiont-facultative,non-spinose,-14704,0
A164-6,38.133,-69.867,1.09,symbiont-obligate,spinose,-25732,0
A164-6,38.133,-69.867,1.09,undetermined,non-spinose,-3676,0
A164-61,39.533,-68.783,1,symbiont-barren,non-spinose,-19075,0
A164-61,39.533,-68.783,1,symbiont-barren,spinose,-8175,0
A164-61,39.533,-68.783,1,symbiont-bearing,spinose,-8175,0
A164-61,39.533,-68.783,1,symbiont-facultative,non-spinose,-10900,0
A164-61,39.533,-68.783,1,symbiont-obligate,spinose,-19075,0
A164-61,39.533,-68.783,1,undetermined,non-spinose,-2725,0
A167-13,31.65,-75.35,1.4,symbiont-barren,non-spinose,-20160,0
A167-13,31.65,-75.35,1.4,symbiont-barren,spinose,-8640,0
A167-13,31.65,-75.35,1.4,symbiont-bearing,spinose,-8640,0
A167-13,31.65,-75.35,1.4,symbiont-facultative,non-spinose,-11520,0
A167-13,31.65,-75.35,1.4,symbiont-obligate,spinose,-20160,0
A167-13,31.65,-75.35,1.4,undetermined,non-spinose,-2880,0
A167-14,31.467,-76.467,1,symbiont-barren,non-spinose,-18431,0
A167-14,31.467,-76.467,1,symbiont-barren,spinose,-7899,0
A167-14,31.467,-76.467,1,symbiont-bearing,spinose,-7899,0
A167-14,31.467,-76.467,1,symbiont-facultative,non-spinose,-10532,0
