Event,Latitude,Longitude,Depth sed [m],Symbiosis,Spine,Absolute Abundance
A180-15,39.267,-36.7,0.6,symbiont-barren,non-spinose,195
A180-15,39.267,-36.7,0.6,symbiont-barren,spinose,99
A180-15,39.267,-36.7,0.6,symbiont-bearing,non-spinose,0
A180-15,39.267,-36.7,0.6,symbiont-bearing,spinose,0
A180-15,39.267,-36.7,0.6,symbiont-facultative,non-spinose,220
A180-15,39.267,-36.7,0.6,symbiont-facultative,spinose,4
A180-15,39.267,-36.7,0.6,symbiont-obligate,spinose,90
A180-15,39.267,-36.7,0.6,undetermined,non-spinose,0
A180-15,39.5998,-36.7,0.6,symbiont-barren,non-spinose,195
A180-15,39.5998,-36.7,0.6,symbiont-barren,spinose,99
A180-15,39.5998,-36.7,0.6,symbiont-bearing,non-spinose,0
A180-15,39.5998,-36.7,0.6,symbiont-bearing,spinose,0
A180-15,39.5998,-36.7,0.6,symbiont-facultative,non-spinose,220
A180-15,39.5998,-36.7,0.6,symbiont-facultative,spinose,4
A180-15,39.5998,-36.7,0.6,symbiont-obligate,spinose,90
A180-15,39.5998,-36.7,0.6,undetermined,non-spinose,0
A180-39,25.833,-19.2998,0.3,symbiont-barren,non-spinose,199
A180-39,25.833,-19.2998,0.3,symbiont-barren,spinose,89
A180-39,25.833,-19.2998,0.3,symbiont-bearing,non-spinose,0
A180-39,25.833,-19.2998,0.3,symbiont-bearing,spinose,1
A180-39,25.833,-19.2998,0.3,symbiont-facultative,non-spinose,52
A180-39,25.833,-19.2998,0.3,symbiont-facultative,spinose,5
A180-39,25.833,-19.2998,0.3,symbiont-obligate,spinose,89
A180-39,25.833,-19.2998,0.3,undetermined,non-spinose,0
A180-74,-0.05,-24.1667,0.5,symbiont-barren,non-spinose,162
A180-74,-0.05,-24.1667,0.5,symbiont-barren,spinose,23
A180-74,-0.05,-24.1667,0.5,symbiont-bearing,non-spinose,0
A180-74,-0.05,-24.1667,0.5,symbiont-bearing,spinose,10
A180-74,-0.05,-24.1667,0.5,symbiont-facultative,non-spinose,218
A180-74,-0.05,-24.1667,0.5,symbiont-facultative,spinose,0
A180-74,-0.05,-24.1667,0.5,symbiont-obligate,spinose,98
A180-74,-0.05,-24.1667,0.5,undetermined,non-spinose,0
RC11-121,-39.72,82.25,0.8,symbiont-barren,non-spinose,123
RC11-121,-39.72,82.25,0.8,symbiont-barren,spinose,105
RC11-121,-39.72,82.25,0.8,symbiont-bearing,non-spinose,0
RC11-121,-39.72,82.25,0.8,symbiont-bearing,spinose,0
RC11-121,-39.72,82.25,0.8,symbiont-facultative,non-spinose,51
RC11-121,-39.72,82.25,0.8,symbiont-facultative,spinose,0
RC11-121,-39.72,82.25,0.8,symbiont-obligate,spinose,22
RC11-121,-39.72,82.25,0.8,undetermined,non-spinose,0
RC13-151,15.857,-74.79,0.6,symbiont-barren,non-spinose,22
RC13-151,15.857,-74.79,0.6,symbiont-barren,spinose,6
RC13-151,15.857,-74.79,0.6,symbiont-bearing,non-spinose,0
RC13-151,15.857,-74.79,0.6,symbiont-bearing,spinose,8
RC13-151,15.857,-74.79,0.6,symbiont-facultative,non-spinose,89
RC13-151,15.857,-74.79,0.6,symbiont-facultative,spinose,0
RC13-151,15.857,-74.79,0.6,symbiont-obligate,spinose,219
RC13-151,15.857,-74.79,0.6,undetermined,non-spinose,0
RC13-152,16.708,-75.44,0.6,symbiont-barren,non-spinose,9
RC13-152,16.708,-75.44,0.6,symbiont-barren,spinose,3
RC13-152,16.708,-75.44,0.6,symbiont-bearing,non-spinose,0
RC13-152,16.708,-75.44,0.6,symbiont-bearing,spinose,6
RC13-152,16.708,-75.44,0.6,symbiont-facultative,non-spinose,46
RC13-152,16.708,-75.44,0.6,symbiont-facultative,spinose,0
RC13-152,16.708,-75.44,0.6,symbiont-obligate,spinose,235
RC13-152,16.708,-75.44,0.6,undetermined,non-spinose,0
RC13-153,15.065,-75.95,0.6,symbiont-barren,non-spinose,19
RC13-153,15.065,-75.95,0.6,symbiont-barren,spinose,6
RC13-153,15.065,-75.95,0.6,symbiont-bearing,non-spinose,0
RC13-153,15.065,-75.95,0.6,symbiont-bearing,spinose,12
RC13-153,15.065,-75.95,0.6,symbiont-facultative,non-spinose,74
RC13-153,15.065,-75.95,0.6,symbiont-facultative,spinose,0
RC13-153,15.065,-75.95,0.6,symbiont-obligate,spinose,197
RC13-153,15.065,-75.95,0.6,undetermined,non-spinose,0
RC14-35,-0.8333,89.95,0.35,symbiont-barren,non-spinose,152
RC14-35,-0.8333,89.95,0.35,symbiont-barren,spinose,96
RC14-35,-0.8333,89.95,0.35,symbiont-bearing,non-spinose,0
RC14-35,-0.8333,89.95,0.35,symbiont-bearing,spinose,40
RC14-35,-0.8333,89.95,0.35,symbiont-facultative,non-spinose,1284
RC14-35,-0.8333,89.95,0.35,symbiont-facultative,spinose,0
RC14-35,-0.8333,89.95,0.35,symbiont-obligate,spinose,296
RC14-35,-0.8333,89.95,0.35,undetermined,non-spinose,180
RC17-113,15.033,66.097,0.3,symbiont-barren,non-spinose,15
RC17-113,15.033,66.097,0.3,symbiont-barren,spinose,17
RC17-113,15.033,66.097,0.3,symbiont-bearing,non-spinose,0
RC17-113,15.033,66.097,0.3,symbiont-bearing,spinose,3
RC17-113,15.033,66.097,0.3,symbiont-facultative,non-spinose,155
RC17-113,15.033,66.097,0.3,symbiont-facultative,spinose,0
RC17-113,15.033,66.097,0.3,symbiont-obligate,spinose,44
RC17-113,15.033,66.097,0.3,undetermined,non-spinose,0
RC17-69,-31.5,32.607,0.5,symbiont-barren,non-spinose,36
RC17-69,-31.5,32.607,0.5,symbiont-barren,spinose,23
RC17-69,-31.5,32.607,0.5,symbiont-bearing,non-spinose,0
RC17-69,-31.5,32.607,0.5,symbiont-bearing,spinose,6
RC17-69,-31.5,32.607,0.5,symbiont-facultative,non-spinose,145
RC17-69,-31.5,32.607,0.5,symbiont-facultative,spinose,0
RC17-69,-31.5,32.607,0.5,symbiont-obligate,spinose,49
RC17-69,-31.5,32.607,0.5,undetermined,non-spinose,0
RC17-73,-32.11,36.01,0.2,symbiont-barren,non-spinose,45
RC17-73,-32.11,36.01,0.2,symbiont-barren,spinose,42
RC17-73,-32.11,36.01,0.2,symbiont-bearing,non-spinose,0
RC17-73,-32.11,36.01,0.2,symbiont-bearing,spinose,4
RC17-73,-32.11,36.01,0.2,symbiont-facultative,non-spinose,123
RC17-73,-32.11,36.01,0.2,symbiont-facultative,spinose,0
RC17-73,-32.11,36.01,0.2,symbiont-obligate,spinose,43
RC17-73,-32.11,36.01,0.2,undetermined,non-spinose,0
RC17-98,-13.22,65.617,0.53,symbiont-barren,non-spinose,32
RC17-98,-13.22,65.617,0.53,symbiont-barren,spinose,10
RC17-98,-13.22,65.617,0.53,symbiont-bearing,non-spinose,0
RC17-98,-13.22,65.617,0.53,symbiont-bearing,spinose,10
RC17-98,-13.22,65.617,0.53,symbiont-facultative,non-spinose,114
RC17-98,-13.22,65.617,0.53,symbiont-facultative,spinose,0
RC17-98,-13.22,65.617,0.53,symbiont-obligate,spinose,55
RC17-98,-13.22,65.617,0.53,undetermined,non-spinose,1
V14-101,8.65,58.567,0.7,symbiont-barren,non-spinose,51
V14-101,8.65,58.567,0.7,symbiont-barren,spinose,28
V14-101,8.65,58.567,0.7,symbiont-bearing,non-spinose,0
V14-101,8.65,58.567,0.7,symbiont-bearing,spinose,7
V14-101,8.65,58.567,0.7,symbiont-facultative,non-spinose,148
V14-101,8.65,58.567,0.7,symbiont-facultative,spinose,0
V14-101,8.65,58.567,0.7,symbiont-obligate,spinose,21
V14-101,8.65,58.567,0.7,undetermined,non-spinose,0
V14-102,10.25,57.183,0.4,symbiont-barren,non-spinose,69
V14-102,10.25,57.183,0.4,symbiont-barren,spinose,30
V14-102,10.25,57.183,0.4,symbiont-bearing,non-spinose,0
V14-102,10.25,57.183,0.4,symbiont-bearing,spinose,6
V14-102,10.25,57.183,0.4,symbiont-facultative,non-spinose,149
V14-102,10.25,57.183,0.4,symbiont-facultative,spinose,0
V14-102,10.25,57.183,0.4,symbiont-obligate,spinose,24
V14-102,10.25,57.183,0.4,undetermined,non-spinose,0
V14-77,-29.63,32.867,0.29,symbiont-barren,non-spinose,27
V14-77,-29.63,32.867,0.29,symbiont-barren,spinose,9
V14-77,-29.63,32.867,0.29,symbiont-bearing,non-spinose,0
V14-77,-29.63,32.867,0.29,symbiont-bearing,spinose,9
V14-77,-29.63,32.867,0.29,symbiont-facultative,non-spinose,153
V14-77,-29.63,32.867,0.29,symbiont-facultative,spinose,0
V14-77,-29.63,32.867,0.29,symbiont-obligate,spinose,51
V14-77,-29.63,32.867,0.29,undetermined,non-spinose,0
V14-81,-28.43,43.783,0.35,symbiont-barren,non-spinose,33
V14-81,-28.43,43.783,0.35,symbiont-barren,spinose,28
V14-81,-28.43,43.783,0.35,symbiont-bearing,non-spinose,0
V14-81,-28.43,43.783,0.35,symbiont-bearing,spinose,25
V14-81,-28.43,43.783,0.35,symbiont-facultative,non-spinose,115
V14-81,-28.43,43.783,0.35,symbiont-facultative,spinose,1
V14-81,-28.43,43.783,0.35,symbiont-obligate,spinose,36
V14-81,-28.43,43.783,0.35,undetermined,non-spinose,0
V16-205,15.4,-43.4,0.19,symbiont-barren,non-spinose,55
V16-205,15.4,-43.4,0.19,symbiont-barren,spinose,15
V16-205,15.4,-43.4,0.19,symbiont-bearing,non-spinose,0
V16-205,15.4,-43.4,0.19,symbiont-bearing,spinose,8
V16-205,15.4,-43.4,0.19,symbiont-facultative,non-spinose,9
V16-205,15.4,-43.4,0.19,symbiont-facultative,spinose,0
V16-205,15.4,-43.4,0.19,symbiont-obligate,spinose,392
