Campaign,Event,Latitude,Longitude,Depth [m],Date/Time,Elevation [m],Symbiosis,Spine,T. quinqueloba,G. ruber ruber,G. ruber albus,G. rubescens,G. clavaticamerata,G. sacculifer,G. scitula,G. tenellus,G. truncatulinoides,G. tumida,O. universa,G. uvula,N. incompta,Relative Abundance
A150/180,A180-73,0.1667,-23,0.38,NA,-3749,symbiont-barren,non-spinose,0,2.7,19.799999999999997,2.7,11.7,10.2,2.0999999999999996,1.5,42.599999999999994,0,0.6000000000000001,0,14.399999999999999,0.037
A150/180,A180-73,0.1667,-23,0.38,NA,-3749,symbiont-barren,spinose,0,1.8,13.2,1.8,7.8,6.8,1.4,1,28.4,0,0.4,0,9.6,0.006999999999999999
A150/180,A180-73,0.1667,-23,0.38,NA,-3749,symbiont-bearing,spinose,0,0.9,6.6,0.9,3.9,3.4,0.7,0.5,14.2,0,0.2,0,4.8,0
A150/180,A180-73,0.1667,-23,0.38,NA,-3749,symbiont-facultative,non-spinose,0,5.4,39.6,5.4,23.4,20.4,4.2,3,85.2,0,1.2,0,28.8,0.47900000000000004
A150/180,A180-73,0.1667,-23,0.38,NA,-3749,symbiont-facultative,spinose,0,0.9,6.6,0.9,3.9,3.4,0.7,0.5,14.2,0,0.2,0,4.8,0
A150/180,A180-73,0.1667,-23,0.38,NA,-3749,symbiont-obligate,spinose,0,2.7,19.799999999999997,2.7,11.7,10.2,2.0999999999999996,1.5,42.599999999999994,0,0.6000000000000001,0,14.399999999999999,0.049999999999999996
A150/180,A180-73,0.1667,-23,0.38,NA,-3749,undetermined,non-spinose,0,0.9,6.6,0.9,3.9,3.4,0.7,0.5,14.2,0,0.2,0,4.8,0
ANT-IV/1c,GIK16457-2,5.385,-21.7517,0.3,22/10/1985,-3303,symbiont-barren,non-spinose,0,4.5,86.1,0,40.8,40.5,0,0,21.900000000000002,0.8999999999999999,1.7999999999999998,0,4.5,0.03
ANT-IV/1c,GIK16457-2,5.385,-21.7517,0.3,22/10/1985,-3303,symbiont-barren,spinose,0,3,57.4,0,27.2,27,0,0,14.600000000000001,0.6,1.2,0,3,0.06
ANT-IV/1c,GIK16457-2,5.385,-21.7517,0.3,22/10/1985,-3303,symbiont-bearing,spinose,0,1.5,28.7,0,13.6,13.5,0,0,7.300000000000001,0.3,0.6,0,1.5,0
ANT-IV/1c,GIK16457-2,5.385,-21.7517,0.3,22/10/1985,-3303,symbiont-facultative,non-spinose,0,9,172.2,0,81.6,81,0,0,43.8,1.8,3.6,0,9,0.24
ANT-IV/1c,GIK16457-2,5.385,-21.7517,0.3,22/10/1985,-3303,symbiont-facultative,spinose,0,1.5,28.7,0,13.6,13.5,0,0,7.300000000000001,0.3,0.6,0,1.5,0
ANT-IV/1c,GIK16457-2,5.385,-21.7517,0.3,22/10/1985,-3303,symbiont-obligate,spinose,0,4.5,86.1,0,40.8,40.5,0,0,21.900000000000002,0.8999999999999999,1.7999999999999998,0,4.5,0.012999999999999998
ANT-IV/1c,GIK16457-2,5.385,-21.7517,0.3,22/10/1985,-3303,undetermined,non-spinose,0,1.5,28.7,0,13.6,13.5,0,0,7.300000000000001,0.3,0.6,0,1.5,0
ANT-IV/1c,GIK16458-1,5.335,-22.0533,0.24,22/10/1985,-3518,symbiont-barren,non-spinose,0,5.4,73.80000000000001,1.5,62.099999999999994,4.5,0,0,19.200000000000003,11.399999999999999,3.3000000000000003,0,7.5,0.031
ANT-IV/1c,GIK16458-1,5.335,-22.0533,0.24,22/10/1985,-3518,symbiont-barren,spinose,0,3.6,49.2,1,41.4,3,0,0,12.8,7.6,2.2,0,5,0.077
ANT-IV/1c,GIK16458-1,5.335,-22.0533,0.24,22/10/1985,-3518,symbiont-bearing,spinose,0,1.8,24.6,0.5,20.7,1.5,0,0,6.4,3.8,1.1,0,2.5,0
ANT-IV/1c,GIK16458-1,5.335,-22.0533,0.24,22/10/1985,-3518,symbiont-facultative,non-spinose,0,10.8,147.6,3,124.2,9,0,0,38.4,22.8,6.6,0,15,0.20900000000000002
ANT-IV/1c,GIK16458-1,5.335,-22.0533,0.24,22/10/1985,-3518,symbiont-facultative,spinose,0,1.8,24.6,0.5,20.7,1.5,0,0,6.4,3.8,1.1,0,2.5,0
ANT-IV/1c,GIK16458-1,5.335,-22.0533,0.24,22/10/1985,-3518,symbiont-obligate,spinose,0,5.4,73.80000000000001,1.5,62.099999999999994,4.5,0,0,19.200000000000003,11.399999999999999,3.3000000000000003,0,7.5,0.049
ANT-IV/1c,GIK16458-1,5.335,-22.0533,0.24,22/10/1985,-3518,undetermined,non-spinose,0,1.8,24.6,0.5,20.7,1.5,0,0,6.4,3.8,1.1,0,2.5,0
ANT-IV/1c,GIK16458-1,5.335,-22.0533,0.26,22/10/1985,-3518,symbiont-barren,non-spinose,0,6.8999999999999995,101.69999999999999,0,81.6,5.699999999999999,0,1.5,3.9000000000000004,0,2.7,0,3,0.053000000000000005
ANT-IV/1c,GIK16458-1,5.335,-22.0533,0.26,22/10/1985,-3518,symbiont-barren,spinose,0,4.6,67.8,0,54.4,3.8,0,1,2.6,0,1.8,0,2,0.044000000000000004
ANT-IV/1c,GIK16458-1,5.335,-22.0533,0.26,22/10/1985,-3518,symbiont-bearing,spinose,0,2.3,33.9,0,27.2,1.9,0,0.5,1.3,0,0.9,0,1,0
ANT-IV/1c,GIK16458-1,5.335,-22.0533,0.26,22/10/1985,-3518,symbiont-facultative,non-spinose,0,13.8,203.4,0,163.2,11.4,0,3,7.8,0,5.4,0,6,0.175
ANT-IV/1c,GIK16458-1,5.335,-22.0533,0.26,22/10/1985,-3518,symbiont-facultative,spinose,0,2.3,33.9,0,27.2,1.9,0,0.5,1.3,0,0.9,0,1,0
ANT-IV/1c,GIK16458-1,5.335,-22.0533,0.26,22/10/1985,-3518,symbiont-obligate,spinose,0,6.8999999999999995,101.69999999999999,0,81.6,5.699999999999999,0,1.5,3.9000000000000004,0,2.7,0,3,0.035
ANT-IV/1c,GIK16458-1,5.335,-22.0533,0.26,22/10/1985,-3518,undetermined,non-spinose,0,2.3,33.9,0,27.2,1.9,0,0.5,1.3,0,0.9,0,1,0
ANT-IV/1c,GIK16458-1,5.335,-22.0533,0.28,22/10/1985,-3518,symbiont-barren,non-spinose,0,6,106.5,0,79.80000000000001,4.5,0.6000000000000001,0,6,0,4.199999999999999,0,2.4000000000000004,0.038
ANT-IV/1c,GIK16458-1,5.335,-22.0533,0.28,22/10/1985,-3518,symbiont-barren,spinose,0,4,71,0,53.2,3,0.4,0,4,0,2.8,0,1.6,0.049999999999999996
ANT-IV/1c,GIK16458-1,5.335,-22.0533,0.28,22/10/1985,-3518,symbiont-bearing,spinose,0,2,35.5,0,26.6,1.5,0.2,0,2,0,1.4,0,0.8,0
ANT-IV/1c,GIK16458-1,5.335,-22.0533,0.28,22/10/1985,-3518,symbiont-facultative,non-spinose,0,12,213,0,159.6,9,1.2,0,12,0,8.4,0,4.8,0.16699999999999998
ANT-IV/1c,GIK16458-1,5.335,-22.0533,0.28,22/10/1985,-3518,symbiont-facultative,spinose,0,2,35.5,0,26.6,1.5,0.2,0,2,0,1.4,0,0.8,0
ANT-IV/1c,GIK16458-1,5.335,-22.0533,0.28,22/10/1985,-3518,symbiont-obligate,spinose,0,6,106.5,0,79.80000000000001,4.5,0.6000000000000001,0,6,0,4.199999999999999,0,2.4000000000000004,0.046
ANT-IV/1c,GIK16458-1,5.335,-22.0533,0.28,22/10/1985,-3518,undetermined,non-spinose,0,2,35.5,0,26.6,1.5,0.2,0,2,0,1.4,0,0.8,0
ANT-IV/1c,GIK16458-1,5.335,-22.0533,0.3,22/10/1985,-3518,symbiont-barren,non-spinose,0,2.0999999999999996,120.89999999999999,0,67.80000000000001,1.2000000000000002,0.6000000000000001,0,7.5,0,2.4000000000000004,0,4.199999999999999,0.038000000000000006
