Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Symbiosis,Spine,Absolute Abundance
80KB11,Piston,36.5,24.3,795,Mediterranean,0.89,symbiont-barren,non-spinose,145
80KB11,Piston,36.5,24.3,795,Mediterranean,0.89,symbiont-barren,spinose,89
80KB11,Piston,36.5,24.3,795,Mediterranean,0.89,symbiont-bearing,non-spinose,0
80KB11,Piston,36.5,24.3,795,Mediterranean,0.89,symbiont-bearing,spinose,0
80KB11,Piston,36.5,24.3,795,Mediterranean,0.89,symbiont-facultative,non-spinose,31
80KB11,Piston,36.5,24.3,795,Mediterranean,0.89,symbiont-facultative,spinose,0
80KB11,Piston,36.5,24.3,795,Mediterranean,0.89,symbiont-obligate,spinose,2
80KB11,Piston,36.5,24.3,795,Mediterranean,0.89,undetermined,non-spinose,0
A015558,,8.983333333,51.73333333,3985,,0.58,symbiont-barren,non-spinose,93
A015558,,8.983333333,51.73333333,3985,,0.58,symbiont-barren,spinose,41
A015558,,8.983333333,51.73333333,3985,,0.58,symbiont-bearing,non-spinose,0
A015558,,8.983333333,51.73333333,3985,,0.58,symbiont-bearing,spinose,13
A015558,,8.983333333,51.73333333,3985,,0.58,symbiont-facultative,non-spinose,110
A015558,,8.983333333,51.73333333,3985,,0.58,symbiont-facultative,spinose,0
A015558,,8.983333333,51.73333333,3985,,0.58,symbiont-obligate,spinose,24
A015558,,8.983333333,51.73333333,3985,,0.58,undetermined,non-spinose,0
BC15,Piston,41.95,5.93,2500,Mediterranean,0.7725,symbiont-barren,non-spinose,28
BC15,Piston,41.95,5.93,2500,Mediterranean,0.7725,symbiont-barren,spinose,146
BC15,Piston,41.95,5.93,2500,Mediterranean,0.7725,symbiont-bearing,non-spinose,0
BC15,Piston,41.95,5.93,2500,Mediterranean,0.7725,symbiont-bearing,spinose,0
BC15,Piston,41.95,5.93,2500,Mediterranean,0.7725,symbiont-facultative,non-spinose,32
BC15,Piston,41.95,5.93,2500,Mediterranean,0.7725,symbiont-facultative,spinose,0
BC15,Piston,41.95,5.93,2500,Mediterranean,0.7725,symbiont-obligate,spinose,0
BC15,Piston,41.95,5.93,2500,Mediterranean,0.7725,undetermined,non-spinose,0
BC15,Piston,41.95,5.93,2500,Mediterranean,0.9475,symbiont-barren,non-spinose,33
BC15,Piston,41.95,5.93,2500,Mediterranean,0.9475,symbiont-barren,spinose,130
BC15,Piston,41.95,5.93,2500,Mediterranean,0.9475,symbiont-bearing,non-spinose,0
BC15,Piston,41.95,5.93,2500,Mediterranean,0.9475,symbiont-bearing,spinose,0
BC15,Piston,41.95,5.93,2500,Mediterranean,0.9475,symbiont-facultative,non-spinose,10
BC15,Piston,41.95,5.93,2500,Mediterranean,0.9475,symbiont-facultative,spinose,0
BC15,Piston,41.95,5.93,2500,Mediterranean,0.9475,symbiont-obligate,spinose,2
BC15,Piston,41.95,5.93,2500,Mediterranean,0.9475,undetermined,non-spinose,0
BC15,Piston,41.95,5.93,2500,Mediterranean,1.0925,symbiont-barren,non-spinose,41
BC15,Piston,41.95,5.93,2500,Mediterranean,1.0925,symbiont-barren,spinose,185
BC15,Piston,41.95,5.93,2500,Mediterranean,1.0925,symbiont-bearing,non-spinose,0
BC15,Piston,41.95,5.93,2500,Mediterranean,1.0925,symbiont-bearing,spinose,0
BC15,Piston,41.95,5.93,2500,Mediterranean,1.0925,symbiont-facultative,non-spinose,32
BC15,Piston,41.95,5.93,2500,Mediterranean,1.0925,symbiont-facultative,spinose,0
BC15,Piston,41.95,5.93,2500,Mediterranean,1.0925,symbiont-obligate,spinose,2
BC15,Piston,41.95,5.93,2500,Mediterranean,1.0925,undetermined,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.85,symbiont-barren,non-spinose,95
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.85,symbiont-barren,spinose,45
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.85,symbiont-bearing,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.85,symbiont-bearing,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.85,symbiont-facultative,non-spinose,59
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.85,symbiont-facultative,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.85,symbiont-obligate,spinose,28
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.85,undetermined,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.88,symbiont-barren,non-spinose,135
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.88,symbiont-barren,spinose,97
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.88,symbiont-bearing,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.88,symbiont-bearing,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.88,symbiont-facultative,non-spinose,104
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.88,symbiont-facultative,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.88,symbiont-obligate,spinose,41
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.88,undetermined,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.91,symbiont-barren,non-spinose,197
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.91,symbiont-barren,spinose,146
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.91,symbiont-bearing,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.91,symbiont-bearing,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.91,symbiont-facultative,non-spinose,119
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.91,symbiont-facultative,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.91,symbiont-obligate,spinose,88
