Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Symbiosis,Spine,Relative Abundance
17938-2,Hydraulic piston core,19.78,117.53,2840,SCS,3.65,symbiont-barren,non-spinose,0.00602409638
17938-2,Hydraulic piston core,19.78,117.53,2840,SCS,3.65,symbiont-barren,spinose,0.06325301205
17938-2,Hydraulic piston core,19.78,117.53,2840,SCS,3.65,symbiont-bearing,non-spinose,0
17938-2,Hydraulic piston core,19.78,117.53,2840,SCS,3.65,symbiont-bearing,spinose,0.02710843373
17938-2,Hydraulic piston core,19.78,117.53,2840,SCS,3.65,symbiont-facultative,non-spinose,0.68975903619
17938-2,Hydraulic piston core,19.78,117.53,2840,SCS,3.65,symbiont-obligate,spinose,0.09638554217
17938-2,Hydraulic piston core,19.78,117.53,2840,SCS,3.65,undetermined,non-spinose,0
17938-2,Hydraulic piston core,19.78,117.53,2840,SCS,3.75,symbiont-barren,non-spinose,0.01529051988
17938-2,Hydraulic piston core,19.78,117.53,2840,SCS,3.75,symbiont-barren,spinose,0.06727828746
17938-2,Hydraulic piston core,19.78,117.53,2840,SCS,3.75,symbiont-bearing,non-spinose,0
17938-2,Hydraulic piston core,19.78,117.53,2840,SCS,3.75,symbiont-bearing,spinose,0.01529051988
17938-2,Hydraulic piston core,19.78,117.53,2840,SCS,3.75,symbiont-facultative,non-spinose,0.62996941898
17938-2,Hydraulic piston core,19.78,117.53,2840,SCS,3.75,symbiont-obligate,spinose,0.1131498471
17938-2,Hydraulic piston core,19.78,117.53,2840,SCS,3.75,undetermined,non-spinose,0.00305810398
17938-2,Hydraulic piston core,19.78,117.53,2840,SCS,3.85,symbiont-barren,non-spinose,0.01230769231
17938-2,Hydraulic piston core,19.78,117.53,2840,SCS,3.85,symbiont-barren,spinose,0.07076923077
17938-2,Hydraulic piston core,19.78,117.53,2840,SCS,3.85,symbiont-bearing,non-spinose,0
17938-2,Hydraulic piston core,19.78,117.53,2840,SCS,3.85,symbiont-bearing,spinose,0.01846153846
17938-2,Hydraulic piston core,19.78,117.53,2840,SCS,3.85,symbiont-facultative,non-spinose,0.5753846154
17938-2,Hydraulic piston core,19.78,117.53,2840,SCS,3.85,symbiont-obligate,spinose,0.15692307692
17938-2,Hydraulic piston core,19.78,117.53,2840,SCS,3.85,undetermined,non-spinose,0
17938-2,Hydraulic piston core,19.78,117.53,2840,SCS,3.95,symbiont-barren,non-spinose,0.01265822784
17938-2,Hydraulic piston core,19.78,117.53,2840,SCS,3.95,symbiont-barren,spinose,0.0864978903
17938-2,Hydraulic piston core,19.78,117.53,2840,SCS,3.95,symbiont-bearing,non-spinose,0
17938-2,Hydraulic piston core,19.78,117.53,2840,SCS,3.95,symbiont-bearing,spinose,0.00632911392
17938-2,Hydraulic piston core,19.78,117.53,2840,SCS,3.95,symbiont-facultative,non-spinose,0.56118143463
17938-2,Hydraulic piston core,19.78,117.53,2840,SCS,3.95,symbiont-obligate,spinose,0.13924050632
17938-2,Hydraulic piston core,19.78,117.53,2840,SCS,3.95,undetermined,non-spinose,0
17938-2,Hydraulic piston core,19.78,117.53,2840,SCS,4.05,symbiont-barren,non-spinose,0.00982800983
17938-2,Hydraulic piston core,19.78,117.53,2840,SCS,4.05,symbiont-barren,spinose,0.04422604423
17938-2,Hydraulic piston core,19.78,117.53,2840,SCS,4.05,symbiont-bearing,non-spinose,0
17938-2,Hydraulic piston core,19.78,117.53,2840,SCS,4.05,symbiont-bearing,spinose,0.00245700246
17938-2,Hydraulic piston core,19.78,117.53,2840,SCS,4.05,symbiont-facultative,non-spinose,0.656019656
17938-2,Hydraulic piston core,19.78,117.53,2840,SCS,4.05,symbiont-obligate,spinose,0.09090909092
17938-2,Hydraulic piston core,19.78,117.53,2840,SCS,4.05,undetermined,non-spinose,0
17938-2,Piston core,19.78,117.53,2840,SCS,4.15,symbiont-barren,non-spinose,0.0107913669
17938-2,Piston core,19.78,117.53,2840,SCS,4.15,symbiont-barren,spinose,0.1079136691
17938-2,Piston core,19.78,117.53,2840,SCS,4.15,symbiont-bearing,non-spinose,0
17938-2,Piston core,19.78,117.53,2840,SCS,4.15,symbiont-bearing,spinose,0.0035971223
17938-2,Piston core,19.78,117.53,2840,SCS,4.15,symbiont-facultative,non-spinose,0.55035971227
17938-2,Piston core,19.78,117.53,2840,SCS,4.15,symbiont-obligate,spinose,0.08273381294
17938-2,Piston core,19.78,117.53,2840,SCS,4.15,undetermined,non-spinose,0
17938-2,Piston core,19.78,117.53,2840,SCS,4.25,symbiont-barren,non-spinose,0.01766004415
17938-2,Piston core,19.78,117.53,2840,SCS,4.25,symbiont-barren,spinose,0.09492273731
17938-2,Piston core,19.78,117.53,2840,SCS,4.25,symbiont-bearing,non-spinose,0
17938-2,Piston core,19.78,117.53,2840,SCS,4.25,symbiont-bearing,spinose,0.00441501104
17938-2,Piston core,19.78,117.53,2840,SCS,4.25,symbiont-facultative,non-spinose,0.50772626935
17938-2,Piston core,19.78,117.53,2840,SCS,4.25,symbiont-obligate,spinose,0.09933774834
17938-2,Piston core,19.78,117.53,2840,SCS,4.25,undetermined,non-spinose,0
17938-2,Piston core,19.78,117.53,2840,SCS,4.35,symbiont-barren,non-spinose,0.03265306123
17938-2,Piston core,19.78,117.53,2840,SCS,4.35,symbiont-barren,spinose,0.07346938776
17938-2,Piston core,19.78,117.53,2840,SCS,4.35,symbiont-bearing,non-spinose,0
17938-2,Piston core,19.78,117.53,2840,SCS,4.35,symbiont-bearing,spinose,0.02448979592
17938-2,Piston core,19.78,117.53,2840,SCS,4.35,symbiont-facultative,non-spinose,0.56734693881
17938-2,Piston core,19.78,117.53,2840,SCS,4.35,symbiont-obligate,spinose,0.11428571428
17938-2,Piston core,19.78,117.53,2840,SCS,4.35,undetermined,non-spinose,0
17938-2,Piston core,19.78,117.53,2840,SCS,4.45,symbiont-barren,non-spinose,0.00471698113
17938-2,Piston core,19.78,117.53,2840,SCS,4.45,symbiont-barren,spinose,0.04009433962
