Event	Method/Device	Latitude	Longitude	Elevation [m]	Age [ka BP]	Depth sed [m]	CaCO3 [%]	Reference
30-285	Drilling/drill rig	-26.8193	175.8040	-4658	21		0	Andrews and Packham et al., 1975
A152-118		35.1167	-44.6667	-4334	21	0.60	18	Balsam and McCoy, 1987
A156-3		31.0000	-76.0000	-3220	21	1.10	15	Balsam and McCoy, 1987
A156-4	Piston corer	34.8167	-74.6833	-3100	21	7.50	9	Balsam and McCoy, 1987
A164-24	Piston corer	36.4833	-69.0000	-4389	21	0.75	3	Balsam and McCoy, 1987
A164-5	Piston corer	37.7667	-71.2500	-3329	21	1.71	5	Balsam and McCoy, 1987
A164-6	Piston corer	38.1333	-69.8667	-3676	21	1.09	12	Balsam and McCoy, 1987
A164-61	Piston corer	39.5333	-68.7833	-2725	21	1.00	8	Balsam and McCoy, 1987
A167-13	Piston corer	31.6500	-75.3500	-2880	21	1.40	15	Balsam and McCoy, 1987
A167-14	Piston corer	31.4667	-76.4667	-2633	21	1.00	14	Balsam and McCoy, 1987
A173-13	Piston corer	41.8333	-62.3833	-2925	21	0.89	11	Balsam and McCoy, 1987
A173-4	Piston corer	33.8667	-62.5333	-3932	21	0.71	12	Balsam and McCoy, 1987
A179-15	Trigger corer	24.8000	-75.9333	-3109	21	1.49	68	Balsam and McCoy, 1987
A180-15	Piston corer	39.2670	-36.7000	-4610	21	0.60	75	Balsam and McCoy, 1987
A180-16	Piston corer	38.3500	-32.4833	-2268	21	0.70	75	Balsam and McCoy, 1987
A180-32	Piston corer	29.1167	-26.2500	-5200	21	0.60	41	Balsam and McCoy, 1987
A180-39	Piston corer	25.8330	-19.2998	-3470	21	0.30	66	Balsam and McCoy, 1987
A180-47	Piston corer	15.3333	-17.9333	-2195	21	3.50	15	Balsam and McCoy, 1987
A180-48	Piston corer	15.3167	-18.1000	-1450	21	5.29	15	Balsam and McCoy, 1987
A180-56	Piston corer	12.2350	-17.7670	-2597	21	1.00	6	Balsam and McCoy, 1987
A180-72	Piston corer	0.6000	-21.7833	-3841	21	0.46	67	Balsam and McCoy, 1987
A180-73	Piston corer	0.1667	-23.0000	-3749	21	0.60	71	Balsam and McCoy, 1987
A180-74	Piston corer	-0.0500	-24.1667	-3329	21	0.50	62	Balsam and McCoy, 1987
A180-76	Piston corer	-0.7667	-26.0333	-3512	21	0.60	67	Balsam and McCoy, 1987
A180-9	Piston corer	39.4500	-45.9500	-4060	21	0.60	13	Balsam and McCoy, 1987
RC08-145	Piston corer	33.5830	-62.3800	-2743	21	0.35	54	Balsam and McCoy, 1987
RC08-18	Piston corer	-24.0700	-15.1200	-3977	21	0.20	79	Balsam and McCoy, 1987
RC09-225	Piston corer	54.9830	-15.4000	-2334	21	1.35	18	Balsam and McCoy, 1987
RC09-49	Piston corer	11.1840	-58.5850	-1851	21	0.70	31	Balsam and McCoy, 1987
RC10-288	Piston corer	35.5330	-73.4200	-3678	21	1.50	12	Balsam and McCoy, 1987
RC10-289	Piston corer	37.0330	-72.5200	-3173	21	1.10	5	Balsam and McCoy, 1987
RC11-21	Piston corer	-17.2700	-35.9700	-4021	21	0.30	37	Balsam and McCoy, 1987
RC11-26	Piston corer	-28.5800	-30.0700	-2349	21	0.30	85	Balsam and McCoy, 1987
RC11-86	Piston corer	-35.7800	18.4500	-2829	21	0.45	74	Balsam and McCoy, 1987
RC12-234	Piston corer	-55.1500	-64.0000	-2027	21	0.70	5	Balsam and McCoy, 1987
RC12-241	Piston corer	-43.4700	-57.6700	-3499	21	0.70	24	Balsam and McCoy, 1987
RC12-267	Piston corer	-38.6800	-25.7800	-4144	21	0.60	15	Balsam and McCoy, 1987
RC12-291	Piston corer	-42.5800	-17.8000	-3508	21	0.80	49	Balsam and McCoy, 1987
RC12-294	Piston corer	-37.2700	-10.1000	-3308	21	0.40	73	Balsam and McCoy, 1987
RC13-189	Piston corer	1.8630	-30.0000	-3233	21	0.65	55	Balsam and McCoy, 1987
RC13-205	Piston corer	-2.2880	5.1830	-3731	21	0.50	34	Balsam and McCoy, 1987
RC13-210	Piston corer	-9.1420	-10.6100	-3658	21	0.40	84	Balsam and McCoy, 1987
RC13-227	Piston corer	-21.8800	8.8720	-4301	21	0.40	66	Balsam and McCoy, 1987
RC13-229	Piston corer	-25.4900	11.3070	-4191	21	0.80	38	Balsam and McCoy, 1987
RC15-94	Piston corer	-42.9800	-20.8600	-3762	21	1.20	15	Balsam and McCoy, 1987
RE5-034		42.3833	-21.9667	-3750	21	0.40	44	Balsam and McCoy, 1987
RE5-036		46.9167	-18.5833	-4500	21	0.70	11	Balsam and McCoy, 1987
RE5-054		25.8667	-19.0500	-3295	21	0.10	59	Balsam and McCoy, 1987
SP8-4	Box corer	32.8250	-18.5250	-3365	21	0.30	60	Balsam and McCoy, 1987
V04-1	Piston corer	38.8830	-70.9200	-2867	21	1.50	2	Balsam and McCoy, 1987
V04-32	Piston corer	35.0500	-11.6200	-2296	21	0.30	76	Balsam and McCoy, 1987
V04-8	Piston corer	37.2330	-33.1300	-1697	21	0.50	82	Balsam and McCoy, 1987
V15-157	Piston corer	-33.1700	-49.7800	-1123	21	0.50	2	Balsam and McCoy, 1987
V15-168	Piston corer	0.2000	-39.9000	-4219	21	1.45	14	Balsam and McCoy, 1987
V16-205	Piston corer	15.4000	-43.4000	-4043	21	0.19	70	Balsam and McCoy, 1987
V16-25	Piston corer	5.0670	-36.8000	-4254	21	0.55	31	Balsam and McCoy, 1987
V16-36	Piston corer	-19.3700	-11.4300	-3329	21	0.40	85	Balsam and McCoy, 1987
V17-165	Piston corer	32.7500	-41.9000	-3924	21	0.50	61	Balsam and McCoy, 1987
V17-178	Piston corer	43.3830	-54.8700	-4006	21	4.00	7	Balsam and McCoy, 1987
V18-110	Piston corer	-53.5800	-44.7000	-2610	21	0.70	0	Balsam and McCoy, 1987
V19-240	Piston corer	-30.5800	13.2830	-3103	21	0.60	72	Balsam and McCoy, 1987
V19-248	Piston corer	-24.5700	4.8330	-3321	21	0.27	84	Balsam and McCoy, 1987
V19-281	Piston corer	-3.3170	4.6500	-4566	21	0.50	4	Balsam and McCoy, 1987
V19-282	Piston corer	-2.7500	4.5830	-4356	21	0.80	6	Balsam and McCoy, 1987
V19-283	Piston corer	-1.2830	5.5330	-3442	21	0.80	38	Balsam and McCoy, 1987
V19-291	Piston corer	2.0000	-5.2500	-4956	21	0.80	14	Balsam and McCoy, 1987
V19-309	Piston corer	31.1670	-45.1300	-4544	21	0.31	44	Balsam and McCoy, 1987
V20-212	Piston corer	-28.2200	-10.0300	-3523	21	0.20	77	Balsam and McCoy, 1987
V20-227	Piston corer	-4.2330	-34.6300	-3812	21	0.80	40	Balsam and McCoy, 1987
V20-228	Piston corer	-2.4830	-36.4200	-3676	21	0.60	3	Balsam and McCoy, 1987
V20-241	Piston corer	22.1330	-41.5000	-4372	21	0.30	52	Balsam and McCoy, 1987
