Event	Latitude	Longitude	Elevation [m]	Depth sed [m]	O. universa [%]	G. conglobatus [%]	G. ruber [%]	G. tenellus [%]	G. sacculifer [%]	S. dehiscens [%]	G. aequilateralis [%]	G. calida [%]	G. bulloides [%]	G. falconensis [%]	G. digitata [%]	G. rubescens [%]	G. quinqueloba [%]	N. pachyderma s [%]	N. pachyderma d [%]	N. dutertrei [%]	G. conglomerata [%]	G. hexagona [%]	P. obliquiloculata [%]	G. inflata [%]	G. truncatulinoides s [%]	G. truncatulinoides d [%]	G. crassaformis [%]	G. hirsuta [%]	G. scitula [%]	G. glutinata [%]
A15-558	8.983	51.733	-3985	0.980	0.4	0.0	13.3	0.0	2.0	0.0	1.6	1.2	19.5	5.5	0.0	3.9	0.4	0.0	0.8	18.4	0.0	0.4	7.0	0.0	0.0	1.2	2.3	0.4	21.9	0.0
A156-4	34.817	-74.683	-3100	7.500	0.3	0.6	28.8	1.3	9.1	0.3	2.8	0.0	5.6	5.0	0.0	4.7	5.6	0.0	2.5	6.6	0.0	0.0	2.2	6.6	1.3	0.0	0.0	0.6	16.3	0.0
A164-24	36.483	-69.000	-4389	0.750	1.3	1.9	10.3	0.0	7.7	0.0	1.9	0.0	4.5	0.6	0.0	0.6	0.0	1.3	6.4	14.7	0.0	0.6	0.0	36.5	1.3	1.3	0.6	0.0	7.1	1.3
A164-5	37.767	-71.250	-3329	1.710	0.3	0.3	7.4	1.7	1.1	0.0	0.9	0.0	7.1	0.3	0.0	0.6	2.6	15.4	10.9	8.0	0.0	0.0	0.3	30.0	0.6	0.9	0.3	0.6	10.9	0.0
A164-6	38.133	-69.867	-3676	1.090	1.6	0.0	3.8	0.0	0.5	0.0	0.5	0.0	14.6	0.5	0.0	0.0	1.1	28.6	19.5	3.2	0.0	0.0	0.0	17.3	0.0	0.5	0.0	0.0	8.1	0.0
A164-61	39.533	-68.783	-2725	1.000	1.0	0.0	4.3	0.8	2.0	0.0	0.8	0.0	14.3	1.0	0.0	1.5	3.3	13.3	11.2	10.7	0.0	0.0	0.3	29.1	0.3	0.0	0.0	0.3	5.9	0.0
A167-13	31.650	-75.350	-2880	1.400	1.0	0.3	27.1	1.9	2.5	0.0	1.9	2.2	4.8	1.9	0.0	1.6	0.0	0.0	1.9	6.7	0.0	0.0	0.0	23.9	2.2	3.2	0.6	3.2	13.1	0.0
A167-14	31.467	-76.467	-2633	1.000	0.6	0.0	29.4	4.0	0.0	0.0	2.5	5.3	3.7	1.5	0.3	1.5	0.0	0.0	0.0	1.5	0.0	0.0	0.0	23.2	1.2	7.7	0.0	4.6	12.4	0.3
A172-1	17.233	-73.467		0.400	0.4	0.0	56.1	0.6	9.5	0.0	2.5	0.0	1.9	0.0	0.0	2.5	0.4	0.0	0.2	10.5	0.0	0.0	0.0	2.5	1.1	1.5	0.0	1.5	8.8	0.0
A172-2	16.200	-72.317	-3070	0.600	0.2	0.5	44.1	1.7	10.8	0.0	2.6	0.0	1.7	0.0	0.0	4.5	0.5	0.0	0.5	9.9	0.0	0.0	0.0	8.5	0.0	0.7	0.0	1.2	12.7	0.0
A173-4	33.867	-62.533	-3932	0.720	0.3	0.6	9.2	0.3	2.1	0.0	0.0	1.2	4.4	1.5	0.3	0.0	0.0	0.3	3.6	10.4	0.0	0.0	0.0	52.7	4.4	3.0	0.6	0.3	2.7	2.4
A179-15	24.800	-75.933	-3109	1.490	0.9	0.5	48.7	13.8	2.6	0.0	9.1	1.4	0.2	0.7	0.5	1.6	0.0	0.0	0.0	0.9	0.0	0.0	0.0	2.3	0.5	4.4	0.0	0.0	11.9	0.0
A179-15	24.800	-75.933	-3109	1.620	0.9	0.6	52.9	10.9	4.7	0.0	3.5	0.3	0.5	1.5	0.0	1.7	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.9	0.2	3.2	0.8	1.1	12.7	0.0
A180-15	39.267	-36.700	-4610	0.600	0.4	0.0	10.3	0.0	0.7	0.0	0.3	0.0	9.6	1.0	0.0	0.3	0.7	6.3	16.3	12.1	0.0	0.0	0.0	33.1	0.1	0.7	0.0	1.3	4.9	1.3
A180-16	38.350	-32.483	-2268	0.700	0.0	0.0	4.4	0.3	0.6	0.0	0.3	0.3	17.2	4.1	0.0	0.9	10.3	0.9	13.8	6.6	0.0	0.0	0.0	14.1	0.3	0.9	0.0	8.5	16.3	0.0
A180-32	29.117	-26.250	-5200	0.600	0.0	0.3	35.5	1.8	1.5	0.0	1.8	0.6	2.1	12.1	0.3	0.6	0.0	0.6	1.8	3.6	0.0	0.0	0.0	21.0	1.2	9.5	2.4	0.3	2.7	0.6
A180-39	25.833	-19.300	-3470	0.300	0.7	0.0	8.5	0.2	0.9	0.0	2.4	0.2	17.4	6.7	0.4	0.2	1.7	1.1	13.5	29.6	0.0	0.0	0.0	11.5	0.0	0.7	0.4	0.4	3.5	0.0
A180-47	15.333	-17.933	-2195	3.500	1.0	0.0	10.7	3.3	1.5	0.0	1.0	2.0	55.0	1.0	0.5	0.0	2.0	0.3	0.5	11.5	0.0	0.0	0.0	5.9	0.0	0.0	0.3	0.3	3.3	0.0
A180-48	15.317	-18.100	-1450	5.290	0.3	0.0	38.8	1.2	5.8	0.0	0.9	1.2	31.3	0.0	0.0	0.6	0.0	0.3	0.9	6.7	0.0	0.0	0.0	6.7	0.0	0.0	0.3	0.3	4.9	0.0
