CoreID,Latitude,Longitude,Water Depth (m)
RC10-256,13.48,-81.63834,1146
V18-188,-37.63306,37.86694,4960
V15-16,6.86667,-83.26667,2266
Y6-15,-16.91667,-74.36667,7406
V16-206,23.31667,-46.46667,3733
V25-50,0.2,-42.77333,3749
RE5-57,19.6,-19.1,2945
Y1-103,8.00333,-82.41667,1808
V23-86,37.395,-17.01667,4175
E11-3,-56.90306,-115.2431,4026
V23-96,29.80333,-15.09167,3471
V28-49,74.46667,11.66667,2327
RC9-212,44.195,-14.90167,5083
V22-108,-43.16667,-3.25,4171
RC15-94,-42.89833,-20.855,3762
RC10-257,13.46667,-81.65,913
V18-153,-35.01667,-48.85,4401
V17-155,0.33333,-17.98333,3133
V17-154,0.38333,-17.96667,3588
E50-13,-59.99694,105.0,1258
A179-6,19.40833,-78.55,4731
V23-107,17.46667,-40.66667,5104
V29-183,49.13334,-25.5,3643
V17-41,5.96667,-79.25,3437
E45-29,-44.88334,106.5167,3863
V29-193,55.4,-18.71667,1326
RC14-14,-35.91667,59.96667,4916
RC11-77,-53.05,-16.45,4098
RC11-67,-48.66667,-42.63334,5760
RC12-294,-37.26667,-10.1,3308
RC13-272,-55.085,8.0,2538
V28-92,40.76667,-46.0,4552
Y10-2,41.26667,-127.0167,2615
V29-211,67.76667,-6.66667,2553
V27-250,1.03333,-13.63333,4942
RC12-299,-34.08306,-1.0,4296
RC8-44,-51.06667,60.3,4753
RC9-139,-47.77,123.1033,4158
RC12-289,-47.90333,-23.69167,4484
RC11-83,-42.05,9.7,4718
V29-167,16.38167,-17.92167,2822
V28-114,14.35,-73.25,3587
V15-29,6.35,-85.26667,1889
E36-14,-58.09306,150.24,3056
V12-66,-22.98333,7.01667,2760
V14-106,12.86694,48.4,2144
V27-126,43.79833,-14.68667,5201
V5-40,32.21333,-64.71167,1953
E49-7,-53.03695,110.0469,1073
RC11-100,-44.81667,60.85,4742
V21-25,5.71667,-81.5,1359
V16-25,5.06667,-36.8,4254
V24-206,-36.5,49.56667,3365
AR3-24,8.23333,-83.55,1941
RC9-225,54.98333,-15.4,2334
V16-57,-45.21667,29.46667,5289
V29-84,-43.85,27.6,5451
V27-144,39.59333,-13.55667,4894
V27-28,58.18667,-44.61333,2308
V27-38,61.37,-11.495,1317
V21-217,6.16667,-78.95,1774
V28-304,28.51667,134.1167,2942
SP11-6,74.46667,-9.5,3329
V29-105,-48.06667,17.66667,4350
V23-83,49.86667,-24.25,3871
V28-22,72.41667,-13.65,1284
E9-13,-59.16694,-37.25806,2818
V18-354,6.19167,-81.9,1348
Y1-86,-1.96667,-91.65,3245
V27-172,16.51667,-28.85,4938
V27-162,34.19833,-16.85833,4281
V23-54,59.82833,-29.27167,1291
V26-37,16.63,-31.1,4898
V22-113,-37.55,9.93333,5073
V18-191,-32.43306,46.56694,2946
RC17-73,-32.1,36.01667,2021
V26-55,-11.605,-15.565,3457
Y6-6,-13.61667,-77.56667,3801
RC11-126,-30.06667,94.4,2336
V27-266,35.575,-43.90667,4804
RC17-63,-45.65,48.26667,2947
E49-24,-47.98806,95.03694,960
V7-53,36.9,-54.01667,5427
V19-96,0.86667,172.0,4252
RC8-62,-49.33306,127.1169,3875
RC17-113,15.03306,66.09695,3874
K78-4,49.98833,-25.02167,3346
RC17-103,-13.605,59.63805,3912
V15-30,4.25,-85.1,3266
V18-16,13.71667,-51.1,4931
V24-2,34.41667,-71.7,4570
A181-9,20.725,-59.2,5215
R9-7,59.65,-22.76667,2770
RC13-244,-36.5,3.545,5222
V22-197,14.16667,-18.56667,3167
RC13-254,-48.57,5.57,3636
V4-12,36.85,-21.01667,4510
V27-21,54.04167,-46.86167,3636
V10-98,31.425,-64.175,4299
V20-177,-23.05,64.9,4513
V17-192,58.35,-47.71667,3160
V10-88,22.95833,-38.20833,4971
V27-98,60.65333,-7.425,980
