/* DATA DESCRIPTION:
Citation:	CLIMAP Project Members (2009): Planktic foraminifera counts of sediment core ELT48.022-PC. PANGAEA, https://doi.org/10.1594/PANGAEA.727306
Related to:	CLIMAP Project Members (2005): NOAA/WDS Paleoclimatology - CLIMAP 18K Database. NOAA National Centers for Environmental Information, https://doi.org/10.25921/YXK7-3D97
Project(s):	Climate: Long-Range Investigation, Mapping, and Prediction (CLIMAP) (URI: https://en.wikipedia.org/wiki/CLIMAP)
Coverage:	LATITUDE: -39.895000 * LONGITUDE: 85.410000
	DATE/TIME START: 1971-01-01T00:00:00 * DATE/TIME END: 1971-01-01T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.72 m * MAXIMUM DEPTH, sediment/rock: 0.82 m
Event(s):	ELT48.022-PC * LATITUDE: -39.895000 * LONGITUDE: 85.410000 * DATE/TIME: 1971-01-01T00:00:00 * ELEVATION: -3410.0 m * Recovery: 6.9 m * CAMPAIGN: ELT48 (URI: http://ezid.cdlib.org/id/doi:10.7284/905173) * BASIS: Eltanin * METHOD/DEVICE: Piston corer (PC)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	Orbulina universa [#] (O. universa) * PI: CLIMAP Project Members
	Globigerinoides conglobatus [#] (G. conglobatus) * PI: CLIMAP Project Members
	Globigerinoides ruber [#] (G. ruber) * PI: CLIMAP Project Members * COMMENT: sum of G. ruber pink and G. ruber white
	Globigerinoides tenellus [#] (G. tenellus) * PI: CLIMAP Project Members
	Globigerinoides sacculifer [#] (G. sacculifer) * PI: CLIMAP Project Members * COMMENT: sum of G. sacculifer no sac and G. sacculifer sac
	Sphaeroidinella dehiscens [#] (S. dehiscens) * PI: CLIMAP Project Members
	Globigerinella adamsi [#] (G. adamsi) * PI: CLIMAP Project Members
	Globigerinella aequilateralis [#] (G. aequilateralis) * PI: CLIMAP Project Members
	Globigerinella calida [#] (G. calida) * PI: CLIMAP Project Members
	Globigerina bulloides [#] (G. bulloides) * PI: CLIMAP Project Members
	Globigerina falconensis [#] (G. falconensis) * PI: CLIMAP Project Members
	Globigerina digitata [#] (G. digitata) * PI: CLIMAP Project Members
	Globigerina rubescens [#] (G. rubescens) * PI: CLIMAP Project Members
	Globigerina humilis [#] (G. humilis) * PI: CLIMAP Project Members
	Globigerina quinqueloba [#] (G. quinqueloba) * PI: CLIMAP Project Members
	Neogloboquadrina pachyderma sinistral [#] (N. pachyderma s) * PI: CLIMAP Project Members
	Neogloboquadrina pachyderma dextral [#] (N. pachyderma d) * PI: CLIMAP Project Members
	Globoquadrina dutertrei [#] (G. dutertrei) * PI: CLIMAP Project Members
	Globoquadrina conglomerata [#] (G. conglomerata) * PI: CLIMAP Project Members
	Globoquadrina hexagona [#] (G. hexagona) * PI: CLIMAP Project Members
	Pulleniatina obliquiloculata [#] (P. obliquiloculata) * PI: CLIMAP Project Members
	Globorotalia inflata [#] (G. inflata) * PI: CLIMAP Project Members
	Globorotalia truncatulinoides sinistral [#] (G. truncatulinoides s) * PI: CLIMAP Project Members
	Globorotalia truncatulinoides dextral [#] (G. truncatulinoides d) * PI: CLIMAP Project Members
	Globorotalia crassaformis [#] (G. crassaformis) * PI: CLIMAP Project Members
	Globigerina pachyderma [#] (G. pachyderma) * PI: CLIMAP Project Members
	Globorotalia hirsuta [#] (G. hirsuta) * PI: CLIMAP Project Members
	Globorotalia scitula [#] (G. scitula) * PI: CLIMAP Project Members
	Globorotalia menardii [#] (G. menardii) * PI: CLIMAP Project Members
	Globorotalia tumida [#] (G. tumida) * PI: CLIMAP Project Members
	Globorotalia tumida flexuosa [#] (G. tumida flexuosa) * PI: CLIMAP Project Members
	Globorotalia menardii [#] (G. menardii) * PI: CLIMAP Project Members * COMMENT: sum of G. menardii, G. tumida, and G. tumida flexuosa
	Candeina nitida [#] (C. nitida) * PI: CLIMAP Project Members
	Globigerinita glutinata [#] (G. glutinata) * PI: CLIMAP Project Members
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	68 data points
*/
Depth sed [m]	O. universa [#]	G. conglobatus [#]	G. ruber [#] (sum of G. ruber pink and G. r...)	G. tenellus [#]	G. sacculifer [#] (sum of G. sacculifer no sac a...)	S. dehiscens [#]	G. adamsi [#]	G. aequilateralis [#]	G. calida [#]	G. bulloides [#]	G. falconensis [#]	G. digitata [#]	G. rubescens [#]	G. humilis [#]	G. quinqueloba [#]	N. pachyderma s [#]	N. pachyderma d [#]	G. dutertrei [#]	G. conglomerata [#]	G. hexagona [#]	P. obliquiloculata [#]	G. inflata [#]	G. truncatulinoides s [#]	G. truncatulinoides d [#]	G. crassaformis [#]	G. pachyderma [#]	G. hirsuta [#]	G. scitula [#]	G. menardii [#]	G. tumida [#]	G. tumida flexuosa [#]	G. menardii [#] (sum of G. menardii, G. tumida...)	C. nitida [#]	G. glutinata [#]
0.72	1	0	1	0	0	0	0	0	1	103	1	0	0	2	49	35	50	1	0	0	0	13	3	0	0	14	0	2	0	1	0	0	0	24
0.82	0	0	0	0	0	0	0	0	0	127	0	0	0	0	24	32	53	1	0	0	0	19	7	0	0	7	0	2	0	0	0	0	0	29
