Latitude	Longitude	Event	Elevation [m]	Depth sed [m]	CaCO3 [%]
-55.1500	-64.0000	RC12-234	-2027	0.70	4.6
-53.5800	-44.7000	V18-110	-2610	0.70	0.2
-43.4700	-57.6700	RC12-241	-3499	0.70	23.8
-42.9800	-20.8600	RC15-94	-3762	1.20	15.0
-42.5800	-17.8000	RC12-291	-3508	0.80	49.1
-41.6000	-46.4500	V22-86	-5110	0.60	0.2
-38.6800	-25.7800	RC12-267	-4144	0.60	14.8
-37.8200	-52.9000	V22-83	-4074	0.49	39.0
-37.2700	-10.1000	RC12-294	-3308	0.40	72.6
-35.7800	18.4500	RC11-86	-2829	0.45	74.1
-34.4500	-10.6000	V24-229	-4202	0.30	75.2
-33.2500	-19.5500	V24-235	-3722	0.10	74.5
-33.1700	-49.7800	V15-157	-1123	0.50	2.1
-32.2000	-26.7300	V24-237	-4193	0.10	57.6
-32.0300	-2.8170	V24-221	-4204	0.30	41.9
-31.7300	-28.2000	V24-240	-4327	0.20	45.4
-30.5800	13.2830	V19-240	-3103	0.60	71.5
-28.5800	-30.0700	RC11-26	-2349	0.30	84.8
-28.2200	-10.0300	V20-212	-3523	0.20	76.7
-27.7700	-37.2500	V26-82	-3878	0.20	60.8
-25.4900	11.3070	RC13-229	-4191	0.80	37.7
-24.5700	4.8330	V19-248	-3321	0.27	84.2
-24.0700	-15.1200	RC08-18	-3977	0.20	79.1
-23.9700	-37.9500	V26-63	-3619	0.30	30.9
-21.8800	8.8720	RC13-227	-4301	0.40	65.5
-19.3700	-11.4300	V16-36	-3329	0.40	84.7
-17.4700	-5.1830	V22-168	-4625	0.30	84.8
-17.2700	-35.9700	RC11-21	-4021	0.30	37.1
-13.1000	-9.3330	V22-171	-4155	0.20	86.5
-12.6700	-9.8170	V22-172	-4127	0.20	86.2
-10.0700	-12.8200	V22-174	-2630	0.57	81.6
-10.0700	11.4500	V27-228	-2392	0.90	16.6
-9.5500	-34.2500	V22-38	-3797	0.40	26.3
-9.1420	-10.6100	RC13-210	-3658	0.40	84.4
-7.8330	-1.5170	V27-239	-4464	0.20	73.5
-7.7500	-14.6000	V22-177	-3290	0.70	85.5
-6.4670	-3.7170	V27-238	-4813	0.52	38.5
-4.2330	-34.6300	V20-227	-3812	0.80	40.3
-3.5500	-35.2300	V25-56	-3512	0.99	34.8
-3.3170	4.6500	V19-281	-4566	0.50	3.6
-2.7500	4.5830	V19-282	-4356	0.80	5.8
-2.4830	-36.4200	V20-228	-3676	0.60	2.9
-2.2880	5.1830	RC13-205	-3731	0.50	33.9
-2.0500	-5.0000	V27-240	-5115	0.70	33.0
-1.2830	5.5330	V19-283	-3442	0.80	37.8
-0.7667	-26.0333	A180-76	-3512	0.60	67.1
-0.5330	-17.2700	V22-182	-3776	0.70	76.6
-0.2330	7.5500	V27-232	-2615	0.60	33.1
-0.2000	-23.1500	V30-40	-3706	0.68	78.7
-0.2000	6.0500	V29-144	-2685	0.85	52.0
-0.0830	-41.7800	V26-104	-3864	1.55	17.3
-0.0500	-24.1667	A180-74	-3329	0.50	62.4
0.1667	-23.0000	A180-73	-3749	0.60	71.0
0.2000	-39.9000	V15-168	-4219	1.45	13.6
0.2170	-23.0700	V30-41	-3874	0.45	69.9
0.6000	-21.7833	A180-72	-3841	0.46	66.5
0.9670	0.1670	V29-153	-4872	0.60	4.9
1.3670	-33.4800	V25-59	-3824	0.70	54.4
1.8630	-30.0000	RC13-189	-3233	0.65	55.2
2.0000	-5.2500	V19-291	-4956	0.80	14.2
3.0500	-11.8200	V27-248	-4543	0.82	16.2
3.2830	-34.8300	V25-60	-3749	0.40	48.1
3.3830	-20.1200	V22-186	-4471	0.30	45.4
4.6670	-20.9200	V22-188	-2600	0.30	64.8
5.0670	-36.8000	V16-25	-4254	0.55	31.1
5.1000	-26.6500	V27-178	-4327	0.55	43.0
5.3500	-27.3200	V30-36	-4245	0.40	41.3
8.7170	-41.2500	V22-26	-3720	0.40	53.4
8.8000	-22.1200	V27-175	-4548	0.50	12.5
9.5670	-18.1800	V26-46	-2898	0.45	27.8
11.1830	-58.6000	RC09-49	-1851	0.70	30.5
11.5000	-45.1500	V25-44	-4049	0.30	61.1
12.2333	-17.7667	A180-56	-2597	1.00	6.0
12.5500	-50.6500	V25-42	-4707	0.60	25.4
13.8330	-18.9700	V22-196	-3728	0.70	5.8
14.1670	-18.5800	V22-197	-3167	0.72	1.5
15.3167	-18.1000	A180-48PC	-1450	5.29	15.1
15.3333	-17.9333	A180-47PC	-2195	3.50	15.1
15.4000	-43.4000	V16-205	-4043	0.19	69.8
16.6330	-31.1000	V26-37	-4898	0.25	49.1
18.4330	-21.0800	V30-49	-3093	0.78	47.9
19.3330	-26.1200	V26-41	-4341	0.43	60.1
19.8670	-19.9200	V30-51	-3409	0.55	33.9
21.3000	-22.6800	V23-100	-4579	0.42	58.6
21.7330	-32.5700	V27-171	-4693	0.20	56.0
22.1330	-41.5000	V20-241	-4372	0.30	52.4
23.1170	-19.3000	V23-98	-3506	0.70	51.2
23.3670	-43.6500	V20-242	-4565	0.29	58.5
24.8000	-75.9333	A179-15	-3109	1.49	68.3
25.8330	-19.2998	A180-39	-3470	0.30	65.7
25.8667	-19.0500	RE5-054	-3295	0.10	59.1
26.4000	-45.4500	V25-21	-3693	0.45	68.3
26.7000	-72.2800	V28-108	-5216	1.00	4.0
27.9170	-43.6300	V22-219	-2582	0.45	81.9
28.9170	-63.4700	V31-166	-2777	0.50	2.5
28.9330	-43.6500	V22-222	-3197	0.55	74.9
