Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Sample depth - lower (m),calendar age estimate (cal ky BP),Publication,added by (name),date of addition,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber total,Globoturborotalita tenella,Globigerinoides sacc total,Sphaeroidinella dehiscens,Globigerinella siphonifera (=aequilateralis),Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides L,Globorotalia truncatulinoides R,Globorotalia crassaformis,Globorotalia hirsuta,Globorotalia scitula,Globorotalia menardii + tumida,Candeina nitida ,Globigerinita glutinata,Total Planktics,%(1) or Raw(2)
KH92-1-3a,Piston,8.015666667,139.6401667,2830,West Caroline Basin,0.324,5.1,19.7,"Kimoto et al., 2003. Marine Micropaleontology","Huang, C.C. & Chen, M.T.",Jun-03,0.704934542,4.43101712,32.32628399,2.416918429,7.452165156,0,5.740181269,1.007049345,9.466263847,0.201409869,0.805639476,1.510574018,0.201409869,0,0,9.466263847,0,0.704934542,2.014098691,0,0,0.201409869,0.704934542,0,0.704934542,6.545820745,0.805639476,12.58811682,100,1
KH92-1-5a,Piston,3.531833333,141.8616667,2283,Eauripic-New Guinea Rise,0.222,5.15,20.3,"Kimoto et al., 2003. Marine Micropaleontology","Huang, C.C. & Chen, M.T.",Jun-03,0,0.5,31,1.5,3.5,0,18.5,0,5.5,1.5,0,0.5,0,0,0,3.5,0,0,4.5,0,0,0,0,0,0,3.5,0.5,25.5,100,1
KH90-3-P2,Piston,-1.170166667,160.007,2494,Ontong-Java Plateau,0.631,5.2,20.1,"Kimoto et al., 2003. Marine Micropaleontology","Huang, C.C. & Chen, M.T.",Jun-03,0,0.706357215,30.07063572,1.311806256,5.650857719,0,6.357214934,0.403632694,12.41170535,0.908173562,0.201816347,2.219979818,0,0,0,9.989909183,1.109989909,0.201816347,6.155398587,0,0,0,0,0,0,3.329969728,0.201816347,18.76892028,100,1
KH90-3-P2,Piston,-1.170166667,160.007,2494,Ontong-Java Plateau,0.677,5.25,21.9,"Kimoto et al., 2003. Marine Micropaleontology","Huang, C.C. & Chen, M.T.",Jun-03,0,0,31.89568706,0.702106319,4.914744233,0,7.321965898,0.300902708,13.74122367,0.200601805,0,1.705115346,0,0,0,5.616850552,0.501504514,0,5.115346038,0,0,0,0.300902708,0,0,3.410230692,0,24.27281846,100,1
MD972142,Piston,12.69,119.47,1557,South China Sea,2.775,5.3,19.25892857,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,0.806451613,0.537634409,18.27956989,4.032258065,7.52688172,0,5.913978495,14.24731183,9.677419355,0.537634409,0,1.344086022,0,0,0,18.5483871,0.537634409,0,6.720430108,0.537634409,0,0,0.268817204,0,0,1.88172043,0,8.602150538,100,1
MD972142,Piston,12.69,119.47,1557,South China Sea,2.815,5.35,19.61607143,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,2.011494253,0,17.24137931,2.298850575,9.195402299,0,5.172413793,10.05747126,9.770114943,0.574712644,0,2.011494253,0,0,0,18.3908046,0.574712644,0,6.32183908,0.287356322,0,0,1.724137931,0,0,2.873563218,0,11.49425287,100,1
MD972142,Piston,12.69,119.47,1557,South China Sea,2.895,5.4,20.33035714,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,0.959232614,0,16.30695444,1.438848921,10.07194245,0,4.79616307,11.03117506,7.434052758,1.438848921,0.959232614,2.158273381,0,0,0,15.10791367,0.959232614,0,10.79136691,0.71942446,0,0,0.959232614,0,0,3.836930456,0,11.03117506,100,1
MD972142,Piston,12.69,119.47,1557,South China Sea,2.975,5.45,21.05078125,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,0.848896435,0.339558574,17.99660441,3.395585739,8.998302207,0,4.244482173,12.90322581,4.753820034,2.716468591,0.679117148,2.20713073,0,0,0,16.12903226,0.679117148,0,7.130730051,0.169779287,0,0.509337861,3.056027165,0,0,2.716468591,0,10.52631579,100,1
MD972142,Piston,12.69,119.47,1557,South China Sea,3.055,5.5,21.86328125,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,0.520833333,0.260416667,21.35416667,3.90625,0,0,4.427083333,16.66666667,10.9375,1.041666667,2.34375,0.260416667,0,0,0,17.70833333,0.520833333,0,5.46875,0.520833333,0,0,3.90625,0,0,2.083333333,0,8.072916667,100,1
MD972142,Piston,12.69,119.47,1557,South China Sea,3.135,5.55,22.67578125,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,0.279329609,0.558659218,18.7150838,2.793296089,10.05586592,0,3.910614525,15.36312849,4.748603352,1.955307263,0.279329609,0.558659218,0,0,0,19.27374302,1.396648045,0,7.541899441,0.558659218,0,1.675977654,3.910614525,0,0.279329609,1.117318436,0,5.027932961,100,1
