Event	Sample label (DSDP/ODP/IODP sample designation)	Depth top [m] (CSF-A, IODP Depth Scale Termi...)	Depth bot [m] (CSF-A, IODP Depth Scale Termi...)	Depth comp top [mcd] (IODP Depth Scale Terminology)	Depth comp bot [mcd] (IODP Depth Scale Terminology)	Depth comp [mcd] (IODP Depth Scale Terminology)	Sample label 2	Age [ka BP]	SR [cm/ka] ((age 50%) -binned 1000 yrs)	Sample resolution	Samp vol [cm**3]	Split [#]	Factor (split factor)	A. glomeratum [#] (Counting >150 µm fraction)	A. gallowayi [#] (Counting >150 µm fraction)	B. alata [#] (Counting >150 µm fraction)	B. decussata [#] (Counting >150 µm fraction)	B. pacifica [#] (Counting >150 µm fraction)	B. spissa [#] (Counting >150 µm fraction)	Bolivina sp. [#] (Counting >150 µm fraction)	B. frigida [#] (Counting >150 µm fraction)	B. tenerrima [#] (Counting >150 µm fraction)	B. marginospinata [#] (Counting >150 µm fraction)	B. striata [#] (Counting >150 µm fraction)	B. subacuminata [#] (Counting >150 µm fraction)	Bulimina spp. [#] (Counting >150 µm fraction)	C. reniforme [#] (Counting >150 µm fraction)	C. teretis [#] (Counting >150 µm fraction)	C. tortuosa [#] (Counting >150 µm fraction)	Chilostomella sp. [#] (Counting >150 µm fraction)	Cibicides spp. [#] (Counting >150 µm fraction)	C. cancellata [#] (Counting >150 µm fraction)	E. hannai [#] (Counting >150 µm fraction)	E. bartletti [#] (Counting >150 µm fraction)	E. excavatum [#] (s.l., Counting >150 µm fraction)	E. frigidum [#] (Counting >150 µm fraction)	E. oregononse [#] (Counting >150 µm fraction)	Elphidium spp. [#] (Counting >150 µm fraction)	E. subarcticum [#] (Counting >150 µm fraction)	E. pacifica [#] (Counting >150 µm fraction)	Epistominella sp. [#] (Counting >150 µm fraction)	E. exilis [#] (Counting >150 µm fraction)	F. lucida [#] (Counting >150 µm fraction)	Globobulimina spp. [#] (Counting >150 µm fraction)	G. subglobosa [#] (Counting >150 µm fraction)	Gyroidina spp. [#] (Counting >150 µm fraction)	E. exilis [#] (Counting >150 µm fraction)	I. norcrossi [#] (Counting >150 µm fraction)	Islandiella sp. [#] (Counting >150 µm fraction)	K. baccata [#] (Counting >150 µm fraction)	Lagena spp. [#] (Counting >150 µm fraction)	Lenticulina spp. [#] (Counting >150 µm fraction)	Melonis sp. [#] (Counting >150 µm fraction)	N. auricula [#] (Counting >150 µm fraction)	Nonionella sp. [#] (Counting >150 µm fraction)	N. labradorica [#] (Counting >150 µm fraction)	Oolina spp. [#] (Counting >150 µm fraction)	O. apiopleura [#] (Counting >150 µm fraction)	O. umbonatus [#] (Counting >150 µm fraction)	Planulina sp. [#] (Counting >150 µm fraction)	P.a ariminensis [#] (Counting >150 µm fraction)	P. wuellerstorfi [#] (Counting >150 µm fraction)	P. salisburyi [#] (Counting >150 µm fraction)	P. lucernula [#] (Counting >150 µm fraction)	Q. akneriana [#] (Counting >150 µm fraction)	Q. lamarckiana [#] (Counting >150 µm fraction)	Quinqueloculina sp. [#] (Counting >150 µm fraction)	Q. stalkeri [#] (Counting >150 µm fraction)	Reophax sp. [#] (Counting >150 µm fraction)	T. delicata [#] (Counting >150 µm fraction)	T. fluens [#] (Counting >150 µm fraction)	Trochammina sp. [#] (Counting >150 µm fraction)	T. trihedra [#] (Counting >150 µm fraction)	Uvigerina spp. [#] (Counting >150 µm fraction)	U. peregrina [#] (Counting >150 µm fraction)	Valvulineria sp. [#] (Counting >150 µm fraction)	Foram benth oth [#] (Counting >150 µm fraction)	Foram benth tot [#] (Counting >150 µm fraction)	G. bulloides [#] (Counting >150 µm fraction)	G. quinqueloba [#] (Counting >150 µm fraction)	G. scitula [#] (Counting >150 µm fraction)	G. umbilicata [#] (Counting >150 µm fraction)	G. uvula [#] (Counting >150 µm fraction)	N. pachyderma s [#] (Counting >150 µm fraction)	N. pachyderma d [#] (Counting >150 µm fraction)	O. universa [#] (Counting >150 µm fraction)	Foram plankt oth [#] (Counting >150 µm fraction)	Foram plankt tot [#] (Counting >150 µm fraction)	Foram [#] (total, Counting >150 µm fraction)	Foram plankt/bent (Counting >150 µm fraction)	Ostrac [#] (counts of split, Counting >15...)	Bryozoa [#] (counts of split, Counting >15...)	Foram benth high prod [%] (I. norcrossi, E. pacifica, U....)	Foram benth meltwater [%] (C. teretis, C. reniforme, E. ...)
341-U1421C	341-U1421C-1H-1W,0-2	0.00	0.02	0.000	0.020	0.0100	341-U1421C-1H-1-W 0/2-COWAN	0.0190	55.89	19.00	20	0.0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	14	0	0	22	0	0	0	0	0	2	0	0	0	2	24	0.090909091			72.7	9.1
341-U1421A	341-U1421A-1H-1W,7-9	0.07	0.09	0.111	0.131	0.1210	341-U1421A-1H-1-W 7/9-ZELLERS	0.2150	55.89	196.00	30	0.0	1	3	0	0	0	0	9	0	0	0	0	23	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	5	0	0	7	10	1	75	9	0	0	0	0	10	0	0	0	19	94	0.253333333			65.3	1.3
341-U1421C	341-U1421C-1H-1W,100-102	1.00	1.02	1.000	1.020	1.0100	341-U1421C-1H-1-W 100/102-COWAN	1.8070	55.89	1592.00	20	0.0	1	0	0	0	0	2	7	3	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0	1	37	2	0	0	0	0	2	1	0	0	5	42	0.135135135			81.1	5.4
341-U1421C	341-U1421C-1H-2W,0-2	1.50	1.52	1.500	1.520	1.5100	341-U1421C-1H-2-W 0/2-COWAN	2.7010	55.88	894.00	20	0.0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	28	0	0	42	0	0	0	0	0	4	0	0	2	6	48	0.142857143			73.8	2.4
341-U1421C	341-U1421C-1H-2W,51-53	2.01	2.03	2.010	2.030	2.0200	341-U1421C-1H-2-W 51/53-ZELLERS	3.5950	55.89	894.00	20	0.0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	19	0	0	0	0	0	0	0	0	0	0	19	0.000000000			100.0	0.0
341-U1421C	341-U1421C-1H-2W,102-104	2.52	2.54	2.520	2.540	2.5300	341-U1421C-1H-2-W 102/104-COWAN	4.5250	55.94	930.00	20	0.0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	17	0	0	23	0	0	0	0	0	1	0	0	0	1	24	0.043478261			87.0	0.0
341-U1421C	341-U1421C-1H-3W,7-9	3.07	3.09	3.070	3.090	3.0800	341-U1421C-1H-3-W 7/9-COWAN	5.5290	48.44	1004.00	20	0.0	1	0	0	0	0	1	8	0	0	0	1	6	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	4	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	63	0	0	91	0	0	0	0	0	0	0	0	7	7	98	0.076923077			94.5	0.0
341-U1421C	341-U1421C-1H-3W,52-54	3.52	3.54	3.520	3.540	3.5300	341-U1421C-1H-3-W 52/54-ZELLERS	6.5920	42.21	1063.00	20	0.0	1	0	0	0	5	1	114	0	0	0	0	1	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	16	0	0	151	0	0	0	0	0	0	0	0	1514	1514	1665	10.026490070			91.4	0.0
341-U1421C	341-U1421C-1H-3W,100-102	4.00	4.02	4.000	4.020	4.0100	341-U1421C-1H-3-W 100/102-COWAN	7.7300	42.17	1138.00	20	0.0	1	0	0	1	0	0	4	0	0	0	0	17	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	19	0	0	0	1	1	2	0	5	0	0	2	0	0	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	121	0	1	182	0	0	0	0	0	137	0	1	58	196	378	1.076923077			92.9	0.0
341-U1421C	341-U1421C-1H-4W,0-2	4.50	4.52	4.500	4.520	4.5100	341-U1421C-1H-4-W 0/2-COWAN	8.9160	42.17	1186.00	20	2.0	4	0	0	0	0	0	4	0	0	0	0	160	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	172	0	0	376	0	0	0	0	0	416	0	4	36	456	832	1.212765957			95.7	0.0
