Sample ID	Depth top [m] (Foram sample depths)	Depth bot [m] (Foram sample depths)	Depth sed [m]	Age dated [ka]	B. digitata [#] (Counting)	B. praeadamsi [#] (Counting)	D. conglomerata [#] (Counting)	D. pseudofoliata [#] (Counting)	G. bulloides [#] (Counting)	G. bulloides [#] (Counting)	G. clarkei [#] (Counting)	G. falconensis [#] (Counting)	G. quinqueloba [#] (Counting)	G. umbilicata [#] (Counting)	G. aequilateralis [#] (Counting)	G. calida [#] (Counting)	G. obesa [#] (Counting)	G. praecalida [#] (Counting)	G. glutinata [#] (Counting)	G. uvula [#] (Counting)	G. elongatus [#] (Counting)	G. ruber w [#] (Counting)	G. sacculifer [#] (Counting)	G. crassaformis [#] (Counting)	G. crassula [#] (Counting)	G. hirsuta [#] (Counting)	G. inflata d [#] (Counting)	G. inflata s [#] (Counting)	G. scitula [#] (Counting)	G. truncatulinoides [#] (Counting)	G. hexagona [#] (Counting)	G. rubescens white [#] (Counting)	G. tenella [#] (Counting)	N. dutertrei [#] (Counting)	N. pachyderma d [#] (Counting)	N. pachyderma s [#] (Counting)	O. universa [#] (Counting)	P. obliquiloculata [#] (Counting)	T. iota [#] (Counting)	Foram [#] (Counting)	G. bulloides [%] (Calculated)	G. inflata s [%] (Calculated)	G. truncatulinoides [%] (Calculated)	N. pachyderma d [%] (Calculated)	N. pachyderma s [%] (Calculated)	G. glutinata [%] (Calculated)
FR1-94-GC3,   0-1	0.00	0.01	0.005	5.00	0	0	0	0	80	0	0	4	5	1	1	0	0	2	15	0	0	1	0	1	0	1	0	104	1	28	0	1	0	1	90	17	2	0	0	355	22.53521127	14.929577460	7.887323944	25.352112680	4.788732394	4.225352113
FR1-94-GC3,   5-6	0.05	0.06	0.055	6.98	0	0	0	0	80	0	0	1	12	1	1	0	3	1	26	0	1	1	1	0	0	2	1	89	1	16	0	1	0	1	93	13	2	0	0	347	23.05475504	9.798270893	4.610951009	26.801152740	3.746397695	7.492795389
FR1-94-GC3,  10-11	0.10	0.11	0.105	8.88	0	0	0	0	133	0	1	5	10	0	1	0	4	2	32	0	0	3	1	4	0	1	0	83	5	26	0	1	0	1	105	22	1	0	0	441	30.15873016	9.297052154	5.895691610	23.809523810	4.988662132	7.256235828
FR1-94-GC3,  15-16	0.15	0.15	0.150	10.76	0	0	0	0	74	0	0	3	24	0	1	0	1	3	35	0	0	2	0	1	0	1	0	57	2	23	0	3	1	4	95	22	2	0	0	354	20.90395480	17.796610170	6.497175141	26.836158190	6.214689266	9.887005650
FR1-94-GC3,  20-21	0.20	0.21	0.205	12.58	0	0	0	0	104	0	0	2	22	1	1	0	1	2	13	1	0	1	1	0	0	1	1	56	2	10	0	1	0	2	124	28	2	0	0	376	27.65957447	14.893617020	2.659574468	32.978723400	7.446808511	3.457446809
FR1-94-GC3,  25-26	0.25	0.26	0.255	14.48	1	0	0	0	103	0	0	1	14	1	1	0	2	0	28	0	0	1	1	0	0	0	0	39	0	13	0	0	1	1	89	24	1	0	0	321	32.08722741	21.183800620	4.049844237	27.725856700	7.476635514	8.722741433
FR1-94-GC3,  30-31	0.30	0.31	0.305	16.46	1	0	0	0	133	0	0	1	38	1	1	0	1	0	36	0	0	1	1	0	0	1	0	39	3	10	0	0	0	1	91	52	1	0	0	412	32.28155340	15.291262140	2.427184466	22.087378640	12.621359220	8.737864078
FR1-94-GC3,  35-36	0.35	0.36	0.355	18.30	0	0	0	0	193	0	0	0	29	1	0	0	1	0	60	0	0	0	0	0	0	0	0	23	2	6	0	0	0	1	80	26	1	0	0	423	45.62647754	12.765957450	1.418439716	18.912529550	6.146572104	14.184397160
FR1-94-GC3,  40-41	0.40	0.41	0.405	24.80	1	0	0	0	184	0	0	0	21	1	0	0	1	0	42	0	0	0	0	0	0	0	0	38	1	13	0	0	0	1	65	14	1	0	0	383	48.04177546	8.093994778	3.394255875	16.971279370	3.655352480	10.966057440
FR1-94-GC3,  45-46	0.45	0.46	0.455	31.32	1	0	0	0	137	0	0	1	12	1	0	0	1	0	29	0	0	2	0	0	0	0	1	42	1	10	0	0	0	0	96	24	1	0	0	359	38.16155989	15.598885790	2.785515320	26.740947080	6.685236769	8.077994429
