Depth sed [m]	Age [ka BP]	Foram plankt [#/g]	Foram plankt [#]	G. calida [#]	G. glutinata [#]	G. uvula [#]	N. pachyderma d [#]	N. pachyderma s [#]	T. quinqueloba [#]	Foram plankt flux [#/cm**2/ka]
3.62	18.072	0.00	0	0	0	0	0	0	0	0
3.64	18.193	0.00	0	0	0	0	0	0	0	0
3.66	18.313	0.00	0	0	0	0	0	0	0	0
3.67	18.373	0.00	0	0	0	0	0	0	0	0
3.68	18.433	0.24	12	0	0	2	0	10	0	8
3.69	18.493	3.32	166	1	1	11	12	131	10	103
3.70	18.553	1.12	58	0	3	2	4	45	4	35
3.71	18.613	0.00	0	0	0	0	0	0	0	0
3.72	18.673	0.47	19	0	1	0	3	13	2	15
3.73	18.733	0.36	16	0	0	1	1	14	0	11
3.74	18.793	0.52	20	0	1	0	0	18	1	16
3.75	18.853	0.00	0	0	0	0	0	0	0	0
3.76	18.913	0.00	0	0	0	0	0	0	0	0
3.77	18.973	0.00	0	0	0	0	0	0	0	0
3.78	19.033	0.00	0	0	0	0	0	0	0	0
