Depth sed [m]	N. pachyderma s [%]	N. pachyderma s [#]	Foram plankt indet [#]	Foram plankt [#/10 cm**3]	N. pachyderma s [#/g]	Foram plankt indet [#/g]
0.01	100.0	6	6	1	0	0.1
0.02	100.0	5	5	1	0	0.2
0.03		0	0	0	0	0.0
0.04		0	0	0	0	0.0
0.05		0	0	0	0	0.0
0.06		0	0	0	0	0.0
0.07		0	0	0	0	0.0
0.08		0	0	0	0	0.0
0.09		0	0	0	0	0.0
0.10		0	0	0		
0.11		0	0	0	0	0.0
0.12		0	0	0	0	0.0
0.13	100.0	9	9	2	0	0.2
0.14	96.9	312	322	57	7	7.1
0.15	100.0	1790	1790	317	60	59.7
0.16	98.5	5364	5444	964	130	131.4
0.17	98.1	2430	2478	439	54	55.0
0.18	97.6	6462	6622	1172	143	146.9
0.19	97.2	7788	8012	1180	128	132.1
0.20	98.1	4846	4942	714		
0.21	98.7	1218	1234	726	40	40.6
0.22	97.4	1974	2026	359	48	48.8
0.23	97.9	503	514	91	14	14.1
0.24	97.1	1008	1038	184	21	22.0
0.25	98.0	590	602	107	12	12.6
0.26	96.5	442	458	81	13	13.6
0.27	97.6	1462	1498	265	28	28.2
0.28	97.1	2278	2346	415	80	82.0
0.29	98.8	3822	3870	685	92	93.4
0.30	98.1	5102	5198	695		
0.31	97.3	2022	2078	734	112	114.7
0.32	97.0	2102	2166	383	58	59.3
0.33	97.0	287	296	52	7	7.4
0.34	97.1	472	486	86	9	9.6
0.35	100.0	286	286	51	7	7.2
0.36	97.5	78	80	14	2	2.0
0.37	100.0	29	29	5	1	0.9
0.38	97.2	69	71	13	2	1.8
0.39	100.0	25	25	4	1	0.8
0.40	97.1	66	68	24	2	2.0
0.41	95.5	64	67	9		
0.42	98.2	534	544	96	12	12.6
0.43	98.3	4606	4686	829	111	113.4
0.44	97.0	6702	6910	1223	187	192.8
0.45	97.6	5446	5582	988	136	139.8
0.46	96.6	8302	8590	1520	221	228.6
0.47	96.6	4974	5150	912	108	111.8
0.48	97.8	6364	6508	1152	173	176.8
0.49	98.5	4158	4222	747	91	92.0
0.50	97.3	1466	1506	201		
0.51	97.2	2230	2294	811	56	57.7
0.52	97.5	2494	2558	453	65	66.6
0.53	95.1	4158	4238	750	150	153.1
0.54	98.2	5118	5214	923	156	159.2
0.55	97.8	5638	5766	1021	211	215.7
