Event,Latitude,Longitude,Depth sed [m],Species,Absolute Abundance
Fr194-GC3,-44.25,149.98,0.355,B. digitata,0
Fr194-GC3,-44.25,149.98,0.355,G. bulloides,193
Fr194-GC3,-44.25,149.98,0.355,T. clarkei,0
Fr194-GC3,-44.25,149.98,0.355,G. falconensis,0
Fr194-GC3,-44.25,149.98,0.355,T. quinqueloba,29
Fr194-GC3,-44.25,149.98,0.355,G. eastropacia,0
Fr194-GC3,-44.25,149.98,0.355,G. calida,0
Fr194-GC3,-44.25,149.98,0.355,G. glutinata,60
Fr194-GC3,-44.25,149.98,0.355,G. uvula,0
Fr194-GC3,-44.25,149.98,0.355,G. elongatus,0
Fr194-GC3,-44.25,149.98,0.355,G. ruber albus,0
Fr194-GC3,-44.25,149.98,0.355,T. sacculifer,0
Fr194-GC3,-44.25,149.98,0.355,G. crassaformis,0
Fr194-GC3,-44.25,149.98,0.355,G. hirsuta,0
Fr194-GC3,-44.25,149.98,0.355,G. scitula,2
Fr194-GC3,-44.25,149.98,0.355,G. truncatulinoides,6
Fr194-GC3,-44.25,149.98,0.355,G. hexagonus,0
Fr194-GC3,-44.25,149.98,0.355,G. rubescens,0
Fr194-GC3,-44.25,149.98,0.355,G. tenellus,0
Fr194-GC3,-44.25,149.98,0.355,N. dutertrei,1
Fr194-GC3,-44.25,149.98,0.355,N. incompta,80
Fr194-GC3,-44.25,149.98,0.355,N. pachyderma,26
Fr194-GC3,-44.25,149.98,0.355,O. universa,1
Fr194-GC3,-44.25,149.98,0.355,P. obliquiloculata,0
Fr194-GC3,-44.25,149.98,0.355,T. iota,0
Fr194-GC3,-44.25,149.98,0.355,G. inflata,23
Fr194-GC3,-44.25,149.98,0.405,B. digitata,1
Fr194-GC3,-44.25,149.98,0.405,G. bulloides,184
Fr194-GC3,-44.25,149.98,0.405,T. clarkei,0
Fr194-GC3,-44.25,149.98,0.405,G. falconensis,0
Fr194-GC3,-44.25,149.98,0.405,T. quinqueloba,21
Fr194-GC3,-44.25,149.98,0.405,G. eastropacia,0
Fr194-GC3,-44.25,149.98,0.405,G. calida,0
Fr194-GC3,-44.25,149.98,0.405,G. glutinata,42
Fr194-GC3,-44.25,149.98,0.405,G. uvula,0
Fr194-GC3,-44.25,149.98,0.405,G. elongatus,0
Fr194-GC3,-44.25,149.98,0.405,G. ruber albus,0
Fr194-GC3,-44.25,149.98,0.405,T. sacculifer,0
Fr194-GC3,-44.25,149.98,0.405,G. crassaformis,0
Fr194-GC3,-44.25,149.98,0.405,G. hirsuta,0
Fr194-GC3,-44.25,149.98,0.405,G. scitula,1
Fr194-GC3,-44.25,149.98,0.405,G. truncatulinoides,13
Fr194-GC3,-44.25,149.98,0.405,G. hexagonus,0
Fr194-GC3,-44.25,149.98,0.405,G. rubescens,0
Fr194-GC3,-44.25,149.98,0.405,G. tenellus,0
Fr194-GC3,-44.25,149.98,0.405,N. dutertrei,1
Fr194-GC3,-44.25,149.98,0.405,N. incompta,65
Fr194-GC3,-44.25,149.98,0.405,N. pachyderma,14
Fr194-GC3,-44.25,149.98,0.405,O. universa,1
Fr194-GC3,-44.25,149.98,0.405,P. obliquiloculata,0
Fr194-GC3,-44.25,149.98,0.405,T. iota,0
Fr194-GC3,-44.25,149.98,0.405,G. inflata,38
