Latitude,Longitude,Depth sed [m],Species,Absolute Abundance
44.36,-26.543333,0.555,Age [ka BP],18.68
44.36,-26.543333,0.555,G. eastropacia,0
44.36,-26.543333,0.555,G. bulloides,62
44.36,-26.543333,0.555,G. calida,0
44.36,-26.543333,0.555,G. cavernula,0
44.36,-26.543333,0.555,G. conglobatus,0
44.36,-26.543333,0.555,G. crassaformis,0
44.36,-26.543333,0.555,S. dehiscens,0
44.36,-26.543333,0.555,B. digitata,0
44.36,-26.543333,0.555,N. dutertrei,1
44.36,-26.543333,0.555,G. falconensis,1
44.36,-26.543333,0.555,G. glutinata,4
44.36,-26.543333,0.555,G. hirsuta,0
44.36,-26.543333,0.555,T. humilis,0
44.36,-26.543333,0.555,G. inflata,8
44.36,-26.543333,0.555,G. cultrata,0
44.36,-26.543333,0.555,C. nitida,0
44.36,-26.543333,0.555,P. obliquiloculata,0
44.36,-26.543333,0.555,N. pachyderma,286
44.36,-26.543333,0.555,T. quinqueloba,66
44.36,-26.543333,0.555,G. ruber ruber,0
44.36,-26.543333,0.555,G. ruber albus,1
44.36,-26.543333,0.555,G. rubescens,0
44.36,-26.543333,0.555,G. scitula,10
44.36,-26.543333,0.555,G. tenellus,0
44.36,-26.543333,0.555,G. truncatulinoides,0
44.36,-26.543333,0.555,G. tumida,0
44.36,-26.543333,0.555,O. universa,0
44.36,-26.543333,0.555,G. uvula,0
44.36,-26.543333,0.555,N. incompta,29
44.36,-26.543333,0.555,T. sacculifer,0
44.36,-26.543333,0.605,Age [ka BP],19.99
44.36,-26.543333,0.605,G. eastropacia,0
44.36,-26.543333,0.605,G. bulloides,61
44.36,-26.543333,0.605,G. calida,0
44.36,-26.543333,0.605,G. cavernula,0
44.36,-26.543333,0.605,G. conglobatus,0
44.36,-26.543333,0.605,G. crassaformis,0
44.36,-26.543333,0.605,S. dehiscens,0
44.36,-26.543333,0.605,B. digitata,0
44.36,-26.543333,0.605,N. dutertrei,0
44.36,-26.543333,0.605,G. falconensis,0
44.36,-26.543333,0.605,G. glutinata,11
44.36,-26.543333,0.605,G. hirsuta,0
44.36,-26.543333,0.605,T. humilis,0
44.36,-26.543333,0.605,G. inflata,16
44.36,-26.543333,0.605,G. cultrata,0
44.36,-26.543333,0.605,C. nitida,0
44.36,-26.543333,0.605,P. obliquiloculata,0
44.36,-26.543333,0.605,N. pachyderma,250
44.36,-26.543333,0.605,T. quinqueloba,46
44.36,-26.543333,0.605,G. ruber ruber,0
44.36,-26.543333,0.605,G. ruber albus,0
44.36,-26.543333,0.605,G. rubescens,0
44.36,-26.543333,0.605,G. scitula,10
44.36,-26.543333,0.605,G. tenellus,0
44.36,-26.543333,0.605,G. truncatulinoides,0
44.36,-26.543333,0.605,G. tumida,0
44.36,-26.543333,0.605,O. universa,0
44.36,-26.543333,0.605,G. uvula,0
44.36,-26.543333,0.605,N. incompta,25
44.36,-26.543333,0.605,T. sacculifer,0
44.36,-26.543333,0.665,Age [ka BP],21.56
44.36,-26.543333,0.665,G. eastropacia,0
44.36,-26.543333,0.665,G. bulloides,93
44.36,-26.543333,0.665,G. calida,0
44.36,-26.543333,0.665,G. cavernula,0
44.36,-26.543333,0.665,G. conglobatus,0
