Event,Latitude,Longitude,Depth sed [m],Species,Absolute Abundance
GIK23059-3,70.305,-3.123333,0.44,G. bulloides,0
GIK23059-3,70.305,-3.123333,0.44,T. quinqueloba,2
GIK23059-3,70.305,-3.123333,0.44,G. glutinata,0
GIK23059-3,70.305,-3.123333,0.44,G. uvula,0
GIK23059-3,70.305,-3.123333,0.44,G. eastropacia,0
GIK23059-3,70.305,-3.123333,0.44,O. universa,0
GIK23059-3,70.305,-3.123333,0.44,G. inflata,0
GIK23059-3,70.305,-3.123333,0.44,G. scitula,0
GIK23059-3,70.305,-3.123333,0.44,N. pachyderma,364
GIK23059-3,70.305,-3.123333,0.44,N. incompta,8
