Event,Latitude,Longitude,Depth sed [m],Species,Absolute Abundance
JM05-085-GC,71.6218,22.9261,3.62,G. calida,0
JM05-085-GC,71.6218,22.9261,3.62,G. glutinata,0
JM05-085-GC,71.6218,22.9261,3.62,G. uvula,0
JM05-085-GC,71.6218,22.9261,3.62,N. incompta,0
JM05-085-GC,71.6218,22.9261,3.62,N. pachyderma,0
JM05-085-GC,71.6218,22.9261,3.62,T. quinqueloba,0
JM05-085-GC,71.6218,22.9261,3.64,G. calida,0
JM05-085-GC,71.6218,22.9261,3.64,G. glutinata,0
JM05-085-GC,71.6218,22.9261,3.64,G. uvula,0
JM05-085-GC,71.6218,22.9261,3.64,N. incompta,0
JM05-085-GC,71.6218,22.9261,3.64,N. pachyderma,0
JM05-085-GC,71.6218,22.9261,3.64,T. quinqueloba,0
JM05-085-GC,71.6218,22.9261,3.66,G. calida,0
JM05-085-GC,71.6218,22.9261,3.66,G. glutinata,0
JM05-085-GC,71.6218,22.9261,3.66,G. uvula,0
JM05-085-GC,71.6218,22.9261,3.66,N. incompta,0
JM05-085-GC,71.6218,22.9261,3.66,N. pachyderma,0
JM05-085-GC,71.6218,22.9261,3.66,T. quinqueloba,0
JM05-085-GC,71.6218,22.9261,3.67,G. calida,0
JM05-085-GC,71.6218,22.9261,3.67,G. glutinata,0
JM05-085-GC,71.6218,22.9261,3.67,G. uvula,0
JM05-085-GC,71.6218,22.9261,3.67,N. incompta,0
JM05-085-GC,71.6218,22.9261,3.67,N. pachyderma,0
JM05-085-GC,71.6218,22.9261,3.67,T. quinqueloba,0
JM05-085-GC,71.6218,22.9261,3.68,G. calida,0
JM05-085-GC,71.6218,22.9261,3.68,G. glutinata,0
JM05-085-GC,71.6218,22.9261,3.68,G. uvula,2
JM05-085-GC,71.6218,22.9261,3.68,N. incompta,0
JM05-085-GC,71.6218,22.9261,3.68,N. pachyderma,10
JM05-085-GC,71.6218,22.9261,3.68,T. quinqueloba,0
JM05-085-GC,71.6218,22.9261,3.69,G. calida,1
JM05-085-GC,71.6218,22.9261,3.69,G. glutinata,1
JM05-085-GC,71.6218,22.9261,3.69,G. uvula,11
JM05-085-GC,71.6218,22.9261,3.69,N. incompta,12
JM05-085-GC,71.6218,22.9261,3.69,N. pachyderma,131
JM05-085-GC,71.6218,22.9261,3.69,T. quinqueloba,10
JM05-085-GC,71.6218,22.9261,3.7,G. calida,0
JM05-085-GC,71.6218,22.9261,3.7,G. glutinata,3
JM05-085-GC,71.6218,22.9261,3.7,G. uvula,2
JM05-085-GC,71.6218,22.9261,3.7,N. incompta,4
JM05-085-GC,71.6218,22.9261,3.7,N. pachyderma,45
JM05-085-GC,71.6218,22.9261,3.7,T. quinqueloba,4
JM05-085-GC,71.6218,22.9261,3.71,G. calida,0
JM05-085-GC,71.6218,22.9261,3.71,G. glutinata,0
JM05-085-GC,71.6218,22.9261,3.71,G. uvula,0
JM05-085-GC,71.6218,22.9261,3.71,N. incompta,0
JM05-085-GC,71.6218,22.9261,3.71,N. pachyderma,0
JM05-085-GC,71.6218,22.9261,3.71,T. quinqueloba,0
JM05-085-GC,71.6218,22.9261,3.72,G. calida,0
JM05-085-GC,71.6218,22.9261,3.72,G. glutinata,1
JM05-085-GC,71.6218,22.9261,3.72,G. uvula,0
JM05-085-GC,71.6218,22.9261,3.72,N. incompta,3
JM05-085-GC,71.6218,22.9261,3.72,N. pachyderma,13
JM05-085-GC,71.6218,22.9261,3.72,T. quinqueloba,2
JM05-085-GC,71.6218,22.9261,3.73,G. calida,0
JM05-085-GC,71.6218,22.9261,3.73,G. glutinata,0
JM05-085-GC,71.6218,22.9261,3.73,G. uvula,1
JM05-085-GC,71.6218,22.9261,3.73,N. incompta,1
JM05-085-GC,71.6218,22.9261,3.73,N. pachyderma,14
JM05-085-GC,71.6218,22.9261,3.73,T. quinqueloba,0
JM05-085-GC,71.6218,22.9261,3.74,G. calida,0
JM05-085-GC,71.6218,22.9261,3.74,G. glutinata,1
JM05-085-GC,71.6218,22.9261,3.74,G. uvula,0
JM05-085-GC,71.6218,22.9261,3.74,N. incompta,0
JM05-085-GC,71.6218,22.9261,3.74,N. pachyderma,18
JM05-085-GC,71.6218,22.9261,3.74,T. quinqueloba,1
JM05-085-GC,71.6218,22.9261,3.75,G. calida,0
JM05-085-GC,71.6218,22.9261,3.75,G. glutinata,0
JM05-085-GC,71.6218,22.9261,3.75,G. uvula,0
JM05-085-GC,71.6218,22.9261,3.75,N. incompta,0
JM05-085-GC,71.6218,22.9261,3.75,N. pachyderma,0
JM05-085-GC,71.6218,22.9261,3.75,T. quinqueloba,0
JM05-085-GC,71.6218,22.9261,3.76,G. calida,0
JM05-085-GC,71.6218,22.9261,3.76,G. glutinata,0
JM05-085-GC,71.6218,22.9261,3.76,G. uvula,0
JM05-085-GC,71.6218,22.9261,3.76,N. incompta,0
JM05-085-GC,71.6218,22.9261,3.76,N. pachyderma,0
JM05-085-GC,71.6218,22.9261,3.76,T. quinqueloba,0
JM05-085-GC,71.6218,22.9261,3.77,G. calida,0
JM05-085-GC,71.6218,22.9261,3.77,G. glutinata,0
JM05-085-GC,71.6218,22.9261,3.77,G. uvula,0
JM05-085-GC,71.6218,22.9261,3.77,N. incompta,0
JM05-085-GC,71.6218,22.9261,3.77,N. pachyderma,0
JM05-085-GC,71.6218,22.9261,3.77,T. quinqueloba,0
JM05-085-GC,71.6218,22.9261,3.78,G. calida,0
JM05-085-GC,71.6218,22.9261,3.78,G. glutinata,0
JM05-085-GC,71.6218,22.9261,3.78,G. uvula,0
JM05-085-GC,71.6218,22.9261,3.78,N. incompta,0
JM05-085-GC,71.6218,22.9261,3.78,N. pachyderma,0
JM05-085-GC,71.6218,22.9261,3.78,T. quinqueloba,0
