Latitude,Longitude,Depth sed [m],Species,Absolute Abundance
40.581833,-9.861167,3.44,O. universa,3
40.581833,-9.861167,3.44,G. conglobatus,0
40.581833,-9.861167,3.44,G. ruber ruber,0
40.581833,-9.861167,3.44,G. ruber albus,3
40.581833,-9.861167,3.44,G. tenellus,0
40.581833,-9.861167,3.44,T. sacculifer,0
40.581833,-9.861167,3.44,S. dehiscens,0
40.581833,-9.861167,3.44,G. eastropacia,15
40.581833,-9.861167,3.44,G. calida,0
40.581833,-9.861167,3.44,G. bulloides,40
40.581833,-9.861167,3.44,G. falconensis,26
40.581833,-9.861167,3.44,B. digitata,0
40.581833,-9.861167,3.44,G. rubescens,0
40.581833,-9.861167,3.44,T. quinqueloba,43
40.581833,-9.861167,3.44,N. pachyderma,21
40.581833,-9.861167,3.44,N. incompta,143
40.581833,-9.861167,3.44,N. dutertrei,0
40.581833,-9.861167,3.44,P. obliquiloculata,0
40.581833,-9.861167,3.44,G. inflata,83
40.581833,-9.861167,3.44,G. crassaformis,0
40.581833,-9.861167,3.44,G. scitula,48
40.581833,-9.861167,3.44,G. cultrata,0
40.581833,-9.861167,3.44,G. tumida,0
40.581833,-9.861167,3.44,G. glutinata,57
40.581833,-9.861167,3.44,T. humilis,0
40.581833,-9.861167,3.44,C. nitida,0
40.581833,-9.861167,3.44,G. uvula,0
40.581833,-9.861167,3.44,T. iota,0
40.581833,-9.861167,3.44,G. truncatulinoides,0
40.581833,-9.861167,3.44,G. hirsuta,0
40.581833,-9.861167,3.47,O. universa,7
40.581833,-9.861167,3.47,G. conglobatus,0
40.581833,-9.861167,3.47,G. ruber ruber,0
40.581833,-9.861167,3.47,G. ruber albus,5
40.581833,-9.861167,3.47,G. tenellus,1
40.581833,-9.861167,3.47,T. sacculifer,0
40.581833,-9.861167,3.47,S. dehiscens,0
40.581833,-9.861167,3.47,G. eastropacia,22
40.581833,-9.861167,3.47,G. calida,0
40.581833,-9.861167,3.47,G. bulloides,64
40.581833,-9.861167,3.47,G. falconensis,40
40.581833,-9.861167,3.47,B. digitata,0
40.581833,-9.861167,3.47,G. rubescens,0
40.581833,-9.861167,3.47,T. quinqueloba,67
40.581833,-9.861167,3.47,N. pachyderma,24
40.581833,-9.861167,3.47,N. incompta,246
40.581833,-9.861167,3.47,N. dutertrei,0
40.581833,-9.861167,3.47,P. obliquiloculata,0
40.581833,-9.861167,3.47,G. inflata,85
40.581833,-9.861167,3.47,G. crassaformis,0
40.581833,-9.861167,3.47,G. scitula,101
40.581833,-9.861167,3.47,G. cultrata,0
40.581833,-9.861167,3.47,G. tumida,0
40.581833,-9.861167,3.47,G. glutinata,60
40.581833,-9.861167,3.47,T. humilis,0
40.581833,-9.861167,3.47,C. nitida,0
40.581833,-9.861167,3.47,G. uvula,0
40.581833,-9.861167,3.47,T. iota,0
40.581833,-9.861167,3.47,G. truncatulinoides,0
40.581833,-9.861167,3.47,G. hirsuta,0
40.581833,-9.861167,3.5,O. universa,2
40.581833,-9.861167,3.5,G. conglobatus,0
40.581833,-9.861167,3.5,G. ruber ruber,0
40.581833,-9.861167,3.5,G. ruber albus,4
40.581833,-9.861167,3.5,G. tenellus,0
40.581833,-9.861167,3.5,T. sacculifer,0
40.581833,-9.861167,3.5,S. dehiscens,0
40.581833,-9.861167,3.5,G. eastropacia,11
40.581833,-9.861167,3.5,G. calida,0
40.581833,-9.861167,3.5,G. bulloides,44
40.581833,-9.861167,3.5,G. falconensis,28
40.581833,-9.861167,3.5,B. digitata,0
40.581833,-9.861167,3.5,G. rubescens,0
40.581833,-9.861167,3.5,T. quinqueloba,33
40.581833,-9.861167,3.5,N. pachyderma,8
40.581833,-9.861167,3.5,N. incompta,106
40.581833,-9.861167,3.5,N. dutertrei,0
40.581833,-9.861167,3.5,P. obliquiloculata,0
40.581833,-9.861167,3.5,G. inflata,35
40.581833,-9.861167,3.5,G. crassaformis,0
40.581833,-9.861167,3.5,G. scitula,54
40.581833,-9.861167,3.5,G. cultrata,0
40.581833,-9.861167,3.5,G. tumida,0
40.581833,-9.861167,3.5,G. glutinata,37
40.581833,-9.861167,3.5,T. humilis,0
40.581833,-9.861167,3.5,C. nitida,0
40.581833,-9.861167,3.5,G. uvula,0
40.581833,-9.861167,3.5,T. iota,0
40.581833,-9.861167,3.5,G. truncatulinoides,1
40.581833,-9.861167,3.5,G. hirsuta,0
40.581833,-9.861167,3.53,O. universa,11
40.581833,-9.861167,3.53,G. conglobatus,0
40.581833,-9.861167,3.53,G. ruber ruber,0
40.581833,-9.861167,3.53,G. ruber albus,6
40.581833,-9.861167,3.53,G. tenellus,1
40.581833,-9.861167,3.53,T. sacculifer,0
40.581833,-9.861167,3.53,S. dehiscens,0
40.581833,-9.861167,3.53,G. eastropacia,22
40.581833,-9.861167,3.53,G. calida,0
40.581833,-9.861167,3.53,G. bulloides,75
40.581833,-9.861167,3.53,G. falconensis,31
40.581833,-9.861167,3.53,B. digitata,0
40.581833,-9.861167,3.53,G. rubescens,0
40.581833,-9.861167,3.53,T. quinqueloba,44
40.581833,-9.861167,3.53,N. pachyderma,16
40.581833,-9.861167,3.53,N. incompta,152
40.581833,-9.861167,3.53,N. dutertrei,0
40.581833,-9.861167,3.53,P. obliquiloculata,0
40.581833,-9.861167,3.53,G. inflata,58
40.581833,-9.861167,3.53,G. crassaformis,0
40.581833,-9.861167,3.53,G. scitula,51
40.581833,-9.861167,3.53,G. cultrata,0
40.581833,-9.861167,3.53,G. tumida,0
40.581833,-9.861167,3.53,G. glutinata,61
40.581833,-9.861167,3.53,T. humilis,0
40.581833,-9.861167,3.53,C. nitida,0
40.581833,-9.861167,3.53,G. uvula,0
40.581833,-9.861167,3.53,T. iota,0
40.581833,-9.861167,3.53,G. truncatulinoides,1
40.581833,-9.861167,3.53,G. hirsuta,0
40.581833,-9.861167,3.56,O. universa,9
40.581833,-9.861167,3.56,G. conglobatus,0
40.581833,-9.861167,3.56,G. ruber ruber,0
40.581833,-9.861167,3.56,G. ruber albus,10
40.581833,-9.861167,3.56,G. tenellus,1
40.581833,-9.861167,3.56,T. sacculifer,0
40.581833,-9.861167,3.56,S. dehiscens,0
40.581833,-9.861167,3.56,G. eastropacia,28
40.581833,-9.861167,3.56,G. calida,0
40.581833,-9.861167,3.56,G. bulloides,87
40.581833,-9.861167,3.56,G. falconensis,24
40.581833,-9.861167,3.56,B. digitata,0
40.581833,-9.861167,3.56,G. rubescens,0
40.581833,-9.861167,3.56,T. quinqueloba,75
40.581833,-9.861167,3.56,N. pachyderma,35
40.581833,-9.861167,3.56,N. incompta,264
40.581833,-9.861167,3.56,N. dutertrei,0
40.581833,-9.861167,3.56,P. obliquiloculata,0
40.581833,-9.861167,3.56,G. inflata,146
40.581833,-9.861167,3.56,G. crassaformis,0
40.581833,-9.861167,3.56,G. scitula,89
40.581833,-9.861167,3.56,G. cultrata,0
40.581833,-9.861167,3.56,G. tumida,0
40.581833,-9.861167,3.56,G. glutinata,118
40.581833,-9.861167,3.56,T. humilis,0
40.581833,-9.861167,3.56,C. nitida,0
40.581833,-9.861167,3.56,G. uvula,0
40.581833,-9.861167,3.56,T. iota,0
40.581833,-9.861167,3.56,G. truncatulinoides,5
40.581833,-9.861167,3.56,G. hirsuta,0
40.581833,-9.861167,3.59,O. universa,4
40.581833,-9.861167,3.59,G. conglobatus,0
40.581833,-9.861167,3.59,G. ruber ruber,0
40.581833,-9.861167,3.59,G. ruber albus,5
40.581833,-9.861167,3.59,G. tenellus,1
40.581833,-9.861167,3.59,T. sacculifer,0
40.581833,-9.861167,3.59,S. dehiscens,0
40.581833,-9.861167,3.59,G. eastropacia,5
40.581833,-9.861167,3.59,G. calida,0
40.581833,-9.861167,3.59,G. bulloides,60
40.581833,-9.861167,3.59,G. falconensis,33
40.581833,-9.861167,3.59,B. digitata,1
40.581833,-9.861167,3.59,G. rubescens,0
40.581833,-9.861167,3.59,T. quinqueloba,42
40.581833,-9.861167,3.59,N. pachyderma,12
40.581833,-9.861167,3.59,N. incompta,164
40.581833,-9.861167,3.59,N. dutertrei,0
40.581833,-9.861167,3.59,P. obliquiloculata,0
40.581833,-9.861167,3.59,G. inflata,53
40.581833,-9.861167,3.59,G. crassaformis,0
40.581833,-9.861167,3.59,G. scitula,54
40.581833,-9.861167,3.59,G. cultrata,0
40.581833,-9.861167,3.59,G. tumida,0
40.581833,-9.861167,3.59,G. glutinata,60
40.581833,-9.861167,3.59,T. humilis,0
40.581833,-9.861167,3.59,C. nitida,0
40.581833,-9.861167,3.59,G. uvula,0
40.581833,-9.861167,3.59,T. iota,0
40.581833,-9.861167,3.59,G. truncatulinoides,1
