Event,Latitude,Longitude,Depth sed [m],Species,Absolute Abundance
MD95-2042,37.799833,-10.1665,6.25,N. pachyderma,6
MD95-2042,37.799833,-10.1665,6.25,N. incompta,199
MD95-2042,37.799833,-10.1665,6.25,G. bulloides,97
MD95-2042,37.799833,-10.1665,6.25,T. quinqueloba,2
MD95-2042,37.799833,-10.1665,6.25,G. scitula,22
MD95-2042,37.799833,-10.1665,6.25,G. glutinata,52
MD95-2042,37.799833,-10.1665,6.25,G. inflata,37
MD95-2042,37.799833,-10.1665,6.25,G. siphonifera,5
MD95-2042,37.799833,-10.1665,6.25,G. rubescens,2
MD95-2042,37.799833,-10.1665,6.25,G. falconensis,5
MD95-2042,37.799833,-10.1665,6.25,G. hirsuta,0
MD95-2042,37.799833,-10.1665,6.25,G. ruber albus,4
MD95-2042,37.799833,-10.1665,6.25,G. ruber ruber,0
MD95-2042,37.799833,-10.1665,6.25,B. digitata,0
MD95-2042,37.799833,-10.1665,6.25,O. universa,4
MD95-2042,37.799833,-10.1665,6.25,G. conglobatus,0
MD95-2042,37.799833,-10.1665,6.25,T. sacculifer,0
MD95-2042,37.799833,-10.1665,6.25,N. dutertrei,0
MD95-2042,37.799833,-10.1665,6.25,G. tenellus,0
MD95-2042,37.799833,-10.1665,6.25,G. calida,4
MD95-2042,37.799833,-10.1665,6.25,G. crassaformis,0
MD95-2042,37.799833,-10.1665,6.25,P. obliquiloculata,0
MD95-2042,37.799833,-10.1665,6.25,T. humilis,0
MD95-2042,37.799833,-10.1665,6.25,G. hexagonus,0
MD95-2042,37.799833,-10.1665,6.25,G. cultrata,0
MD95-2042,37.799833,-10.1665,6.25,G. truncatulinoides,8
MD95-2042,37.799833,-10.1665,6.34,N. pachyderma,0
MD95-2042,37.799833,-10.1665,6.34,N. incompta,167
MD95-2042,37.799833,-10.1665,6.34,G. bulloides,69
MD95-2042,37.799833,-10.1665,6.34,T. quinqueloba,13
MD95-2042,37.799833,-10.1665,6.34,G. scitula,30
MD95-2042,37.799833,-10.1665,6.34,G. glutinata,42
MD95-2042,37.799833,-10.1665,6.34,G. inflata,45
MD95-2042,37.799833,-10.1665,6.34,G. siphonifera,3
MD95-2042,37.799833,-10.1665,6.34,G. rubescens,2
MD95-2042,37.799833,-10.1665,6.34,G. falconensis,3
MD95-2042,37.799833,-10.1665,6.34,G. hirsuta,0
MD95-2042,37.799833,-10.1665,6.34,G. ruber albus,8
MD95-2042,37.799833,-10.1665,6.34,G. ruber ruber,0
MD95-2042,37.799833,-10.1665,6.34,B. digitata,0
MD95-2042,37.799833,-10.1665,6.34,O. universa,15
MD95-2042,37.799833,-10.1665,6.34,G. conglobatus,0
MD95-2042,37.799833,-10.1665,6.34,T. sacculifer,0
MD95-2042,37.799833,-10.1665,6.34,N. dutertrei,0
MD95-2042,37.799833,-10.1665,6.34,G. tenellus,0
MD95-2042,37.799833,-10.1665,6.34,G. calida,4
MD95-2042,37.799833,-10.1665,6.34,G. crassaformis,0
MD95-2042,37.799833,-10.1665,6.34,P. obliquiloculata,0
MD95-2042,37.799833,-10.1665,6.34,T. humilis,0
MD95-2042,37.799833,-10.1665,6.34,G. hexagonus,0
MD95-2042,37.799833,-10.1665,6.34,G. cultrata,0
MD95-2042,37.799833,-10.1665,6.34,G. truncatulinoides,0
MD95-2042,37.799833,-10.1665,6.45,N. pachyderma,2
MD95-2042,37.799833,-10.1665,6.45,N. incompta,113
MD95-2042,37.799833,-10.1665,6.45,G. bulloides,62
MD95-2042,37.799833,-10.1665,6.45,T. quinqueloba,0
MD95-2042,37.799833,-10.1665,6.45,G. scitula,46
MD95-2042,37.799833,-10.1665,6.45,G. glutinata,34
MD95-2042,37.799833,-10.1665,6.45,G. inflata,38
MD95-2042,37.799833,-10.1665,6.45,G. siphonifera,3
MD95-2042,37.799833,-10.1665,6.45,G. rubescens,2
MD95-2042,37.799833,-10.1665,6.45,G. falconensis,0
MD95-2042,37.799833,-10.1665,6.45,G. hirsuta,0
MD95-2042,37.799833,-10.1665,6.45,G. ruber albus,7
MD95-2042,37.799833,-10.1665,6.45,G. ruber ruber,0
MD95-2042,37.799833,-10.1665,6.45,B. digitata,0
MD95-2042,37.799833,-10.1665,6.45,O. universa,9
MD95-2042,37.799833,-10.1665,6.45,G. conglobatus,0
MD95-2042,37.799833,-10.1665,6.45,T. sacculifer,0
MD95-2042,37.799833,-10.1665,6.45,N. dutertrei,0
MD95-2042,37.799833,-10.1665,6.45,G. tenellus,0
MD95-2042,37.799833,-10.1665,6.45,G. calida,3
MD95-2042,37.799833,-10.1665,6.45,G. crassaformis,0
MD95-2042,37.799833,-10.1665,6.45,P. obliquiloculata,0
MD95-2042,37.799833,-10.1665,6.45,T. humilis,0
MD95-2042,37.799833,-10.1665,6.45,G. hexagonus,0
MD95-2042,37.799833,-10.1665,6.45,G. cultrata,0
MD95-2042,37.799833,-10.1665,6.45,G. truncatulinoides,4
MD95-2042,37.799833,-10.1665,6.54,N. pachyderma,1
MD95-2042,37.799833,-10.1665,6.54,N. incompta,103
MD95-2042,37.799833,-10.1665,6.54,G. bulloides,66
MD95-2042,37.799833,-10.1665,6.54,T. quinqueloba,7
MD95-2042,37.799833,-10.1665,6.54,G. scitula,32
MD95-2042,37.799833,-10.1665,6.54,G. glutinata,32
MD95-2042,37.799833,-10.1665,6.54,G. inflata,47
MD95-2042,37.799833,-10.1665,6.54,G. siphonifera,5
MD95-2042,37.799833,-10.1665,6.54,G. rubescens,0
MD95-2042,37.799833,-10.1665,6.54,G. falconensis,0
MD95-2042,37.799833,-10.1665,6.54,G. hirsuta,0
MD95-2042,37.799833,-10.1665,6.54,G. ruber albus,10
MD95-2042,37.799833,-10.1665,6.54,G. ruber ruber,0
MD95-2042,37.799833,-10.1665,6.54,B. digitata,0
MD95-2042,37.799833,-10.1665,6.54,O. universa,7
MD95-2042,37.799833,-10.1665,6.54,G. conglobatus,0
MD95-2042,37.799833,-10.1665,6.54,T. sacculifer,0
MD95-2042,37.799833,-10.1665,6.54,N. dutertrei,0
MD95-2042,37.799833,-10.1665,6.54,G. tenellus,0
