Event,Latitude,Longitude,Depth sed [m],Species,Absolute Abundance
PS1906-2,76.8463,-2.1505,0.5,G. bulloides,0
PS1906-2,76.8463,-2.1505,0.5,T. quinqueloba,0
PS1906-2,76.8463,-2.1505,0.5,G. glutinata,2
PS1906-2,76.8463,-2.1505,0.5,G. uvula,0
PS1906-2,76.8463,-2.1505,0.5,G. eastropacia,0
PS1906-2,76.8463,-2.1505,0.5,O. universa,0
PS1906-2,76.8463,-2.1505,0.5,G. inflata,0
PS1906-2,76.8463,-2.1505,0.5,G. scitula,0
PS1906-2,76.8463,-2.1505,0.5,N. pachyderma,446
PS1906-2,76.8463,-2.1505,0.5,N. incompta,19
