Event,Latitude,Longitude,Depth sed [m],Species,Absolute Abundance
SS0206-GC15,-39.31283,142.68398,3.32,G. bulloides,166
SS0206-GC15,-39.31283,142.68398,3.32,G. inflata,43
SS0206-GC15,-39.31283,142.68398,3.32,G. truncatulinoides,63
SS0206-GC15,-39.31283,142.68398,3.32,G. siphonifera,0
SS0206-GC15,-39.31283,142.68398,3.32,G. ruber albus,14
SS0206-GC15,-39.31283,142.68398,3.32,G. rubescens,0
SS0206-GC15,-39.31283,142.68398,3.32,G. tenellus,0
SS0206-GC15,-39.31283,142.68398,3.32,N. incompta,81
SS0206-GC15,-39.31283,142.68398,3.32,N. pachyderma,12
SS0206-GC15,-39.31283,142.68398,3.32,G. glutinata,43
SS0206-GC15,-39.31283,142.68398,3.32,G. scitula,0
SS0206-GC15,-39.31283,142.68398,3.32,G. hirsuta,1
SS0206-GC15,-39.31283,142.68398,3.32,O. universa,0
SS0206-GC15,-39.31283,142.68398,3.32,G. crassaformis,0
SS0206-GC15,-39.31283,142.68398,3.32,G. adamsi,0
SS0206-GC15,-39.31283,142.68398,3.32,G. calida,0
SS0206-GC15,-39.31283,142.68398,3.32,T. sacculifer,0
SS0206-GC15,-39.31283,142.68398,3.32,B. digitata,0
SS0206-GC15,-39.31283,142.68398,3.32,G. conglobatus,0
SS0206-GC15,-39.31283,142.68398,3.32,T. quinqueloba,110
SS0206-GC15,-39.31283,142.68398,3.34,G. bulloides,193
SS0206-GC15,-39.31283,142.68398,3.34,G. inflata,53
SS0206-GC15,-39.31283,142.68398,3.34,G. truncatulinoides,53
SS0206-GC15,-39.31283,142.68398,3.34,G. siphonifera,0
SS0206-GC15,-39.31283,142.68398,3.34,G. ruber albus,9
SS0206-GC15,-39.31283,142.68398,3.34,G. rubescens,0
SS0206-GC15,-39.31283,142.68398,3.34,G. tenellus,0
SS0206-GC15,-39.31283,142.68398,3.34,N. incompta,76
SS0206-GC15,-39.31283,142.68398,3.34,N. pachyderma,15
SS0206-GC15,-39.31283,142.68398,3.34,G. glutinata,23
SS0206-GC15,-39.31283,142.68398,3.34,G. scitula,5
SS0206-GC15,-39.31283,142.68398,3.34,G. hirsuta,0
SS0206-GC15,-39.31283,142.68398,3.34,O. universa,0
SS0206-GC15,-39.31283,142.68398,3.34,G. crassaformis,0
SS0206-GC15,-39.31283,142.68398,3.34,G. adamsi,0
SS0206-GC15,-39.31283,142.68398,3.34,G. calida,0
SS0206-GC15,-39.31283,142.68398,3.34,T. sacculifer,0
SS0206-GC15,-39.31283,142.68398,3.34,B. digitata,0
SS0206-GC15,-39.31283,142.68398,3.34,G. conglobatus,0
SS0206-GC15,-39.31283,142.68398,3.34,T. quinqueloba,82
SS0206-GC15,-39.31283,142.68398,3.36,G. bulloides,162
SS0206-GC15,-39.31283,142.68398,3.36,G. inflata,55
SS0206-GC15,-39.31283,142.68398,3.36,G. truncatulinoides,56
SS0206-GC15,-39.31283,142.68398,3.36,G. siphonifera,0
SS0206-GC15,-39.31283,142.68398,3.36,G. ruber albus,6
SS0206-GC15,-39.31283,142.68398,3.36,G. rubescens,0
SS0206-GC15,-39.31283,142.68398,3.36,G. tenellus,0
SS0206-GC15,-39.31283,142.68398,3.36,N. incompta,98
SS0206-GC15,-39.31283,142.68398,3.36,N. pachyderma,17
SS0206-GC15,-39.31283,142.68398,3.36,G. glutinata,33
SS0206-GC15,-39.31283,142.68398,3.36,G. scitula,3
SS0206-GC15,-39.31283,142.68398,3.36,G. hirsuta,1
SS0206-GC15,-39.31283,142.68398,3.36,O. universa,0
SS0206-GC15,-39.31283,142.68398,3.36,G. crassaformis,0
SS0206-GC15,-39.31283,142.68398,3.36,G. adamsi,0
SS0206-GC15,-39.31283,142.68398,3.36,G. calida,0
SS0206-GC15,-39.31283,142.68398,3.36,T. sacculifer,0
SS0206-GC15,-39.31283,142.68398,3.36,B. digitata,0
SS0206-GC15,-39.31283,142.68398,3.36,G. conglobatus,0
SS0206-GC15,-39.31283,142.68398,3.36,T. quinqueloba,118
SS0206-GC15,-39.31283,142.68398,3.38,G. bulloides,167
SS0206-GC15,-39.31283,142.68398,3.38,G. inflata,32
SS0206-GC15,-39.31283,142.68398,3.38,G. truncatulinoides,67
SS0206-GC15,-39.31283,142.68398,3.38,G. siphonifera,0
SS0206-GC15,-39.31283,142.68398,3.38,G. ruber albus,5
SS0206-GC15,-39.31283,142.68398,3.38,G. rubescens,0
SS0206-GC15,-39.31283,142.68398,3.38,G. tenellus,1
SS0206-GC15,-39.31283,142.68398,3.38,N. incompta,75
SS0206-GC15,-39.31283,142.68398,3.38,N. pachyderma,30
SS0206-GC15,-39.31283,142.68398,3.38,G. glutinata,39
SS0206-GC15,-39.31283,142.68398,3.38,G. scitula,1
SS0206-GC15,-39.31283,142.68398,3.38,G. hirsuta,1
SS0206-GC15,-39.31283,142.68398,3.38,O. universa,0
SS0206-GC15,-39.31283,142.68398,3.38,G. crassaformis,0
SS0206-GC15,-39.31283,142.68398,3.38,G. adamsi,0
SS0206-GC15,-39.31283,142.68398,3.38,G. calida,0
SS0206-GC15,-39.31283,142.68398,3.38,T. sacculifer,0
SS0206-GC15,-39.31283,142.68398,3.38,B. digitata,0
SS0206-GC15,-39.31283,142.68398,3.38,G. conglobatus,0
SS0206-GC15,-39.31283,142.68398,3.38,T. quinqueloba,88
SS0206-GC15,-39.31283,142.68398,3.4,G. bulloides,176
SS0206-GC15,-39.31283,142.68398,3.4,G. inflata,75
SS0206-GC15,-39.31283,142.68398,3.4,G. truncatulinoides,77
SS0206-GC15,-39.31283,142.68398,3.4,G. siphonifera,1
SS0206-GC15,-39.31283,142.68398,3.4,G. ruber albus,2
SS0206-GC15,-39.31283,142.68398,3.4,G. rubescens,0
SS0206-GC15,-39.31283,142.68398,3.4,G. tenellus,1
SS0206-GC15,-39.31283,142.68398,3.4,N. incompta,61
SS0206-GC15,-39.31283,142.68398,3.4,N. pachyderma,13
