Latitude,Longitude,Depth sed [m],Species,Absolute Abundance
16.133,-74.45,0.6,O. universa,4
16.133,-74.45,0.6,G. conglobatus,4
16.133,-74.45,0.6,G. ruber ruber,29
16.133,-74.45,0.6,G. ruber albus,124
16.133,-74.45,0.6,G. tenellus,8
16.133,-74.45,0.6,T. sacculifer,31
16.133,-74.45,0.6,S. dehiscens,0
16.133,-74.45,0.6,G. adamsi,0
16.133,-74.45,0.6,G. siphonifera,35
16.133,-74.45,0.6,G. calida,0
16.133,-74.45,0.6,G. bulloides,8
16.133,-74.45,0.6,G. falconensis,9
16.133,-74.45,0.6,B. digitata,1
16.133,-74.45,0.6,G. rubescens,10
16.133,-74.45,0.6,T. humilis,0
16.133,-74.45,0.6,T. quinqueloba,0
16.133,-74.45,0.6,N. pachyderma,0
16.133,-74.45,0.6,N. incompta,0
16.133,-74.45,0.6,N. dutertrei,16
16.133,-74.45,0.6,G. conglomerata,0
16.133,-74.45,0.6,G. hexagonus,0
16.133,-74.45,0.6,P. obliquiloculata,1
16.133,-74.45,0.6,G. inflata,19
16.133,-74.45,0.6,G. crassaformis,4
16.133,-74.45,0.6,G. hirsuta,0
16.133,-74.45,0.6,G. scitula,1
16.133,-74.45,0.6,D. anfracta,0
16.133,-74.45,0.6,G. cultrata,0
16.133,-74.45,0.6,G. tumida,0
16.133,-74.45,0.6,C. nitida,0
16.133,-74.45,0.6,G. glutinata,40
16.133,-74.45,0.6,T. iota,0
16.133,-74.45,0.6,G. uvula,0
16.133,-74.45,0.6,B. pumilio,0
16.133,-74.45,0.6,H. pelagica,0
16.133,-74.45,0.6,H. digitata,0
16.133,-74.45,0.6,G. truncatulinoides,6
