Event,Latitude,Longitude,Elevation,Depth sed,Species,Absolute Abundance
A15-558,8.983,51.733,-3985,0.98,O. universa,1
A15-558,8.983,51.733,-3985,0.98,G. conglobatus,0
A15-558,8.983,51.733,-3985,0.98,G. ruber albus,41
A15-558,8.983,51.733,-3985,0.98,G. tenellus,0
A15-558,8.983,51.733,-3985,0.98,T. sacculifer,6
A15-558,8.983,51.733,-3985,0.98,S. dehiscens,0
A15-558,8.983,51.733,-3985,0.98,G. siphonifera,5
A15-558,8.983,51.733,-3985,0.98,G. calida,3
A15-558,8.983,51.733,-3985,0.98,G. bulloides,61
A15-558,8.983,51.733,-3985,0.98,G. falconensis,17
A15-558,8.983,51.733,-3985,0.98,B. digitata,0
A15-558,8.983,51.733,-3985,0.98,G. rubescens,12
A15-558,8.983,51.733,-3985,0.98,T. quinqueloba,1
A15-558,8.983,51.733,-3985,0.98,N. pachyderma,0
A15-558,8.983,51.733,-3985,0.98,N. incompta,2
A15-558,8.983,51.733,-3985,0.98,N. dutertrei,57
A15-558,8.983,51.733,-3985,0.98,G. conglomerata,0
A15-558,8.983,51.733,-3985,0.98,G. hexagonus,1
A15-558,8.983,51.733,-3985,0.98,P. obliquiloculata,22
A15-558,8.983,51.733,-3985,0.98,G. inflata,0
A15-558,8.983,51.733,-3985,0.98,G. crassaformis,7
A15-558,8.983,51.733,-3985,0.98,G. hirsuta,1
A15-558,8.983,51.733,-3985,0.98,G. scitula,68
A15-558,8.983,51.733,-3985,0.98,G. glutinata,0
A15-558,8.983,51.733,-3985,0.98,G. truncatulinoides,3
A156-4,34.817,-74.683,-3100,7.5,O. universa,
A156-4,34.817,-74.683,-3100,7.5,G. conglobatus,
A156-4,34.817,-74.683,-3100,7.5,G. ruber albus,
A156-4,34.817,-74.683,-3100,7.5,G. tenellus,
A156-4,34.817,-74.683,-3100,7.5,T. sacculifer,
A156-4,34.817,-74.683,-3100,7.5,S. dehiscens,
A156-4,34.817,-74.683,-3100,7.5,G. siphonifera,
A156-4,34.817,-74.683,-3100,7.5,G. calida,
A156-4,34.817,-74.683,-3100,7.5,G. bulloides,
A156-4,34.817,-74.683,-3100,7.5,G. falconensis,
A156-4,34.817,-74.683,-3100,7.5,B. digitata,
A156-4,34.817,-74.683,-3100,7.5,G. rubescens,
A156-4,34.817,-74.683,-3100,7.5,T. quinqueloba,
A156-4,34.817,-74.683,-3100,7.5,N. pachyderma,
A156-4,34.817,-74.683,-3100,7.5,N. incompta,
A156-4,34.817,-74.683,-3100,7.5,N. dutertrei,
A156-4,34.817,-74.683,-3100,7.5,G. conglomerata,
A156-4,34.817,-74.683,-3100,7.5,G. hexagonus,
A156-4,34.817,-74.683,-3100,7.5,P. obliquiloculata,
A156-4,34.817,-74.683,-3100,7.5,G. inflata,
A156-4,34.817,-74.683,-3100,7.5,G. crassaformis,
A156-4,34.817,-74.683,-3100,7.5,G. hirsuta,
A156-4,34.817,-74.683,-3100,7.5,G. scitula,
A156-4,34.817,-74.683,-3100,7.5,G. glutinata,
A156-4,34.817,-74.683,-3100,7.5,G. truncatulinoides,
A164-24,36.483,-69,-4389,0.75,O. universa,
A164-24,36.483,-69,-4389,0.75,G. conglobatus,
A164-24,36.483,-69,-4389,0.75,G. ruber albus,
A164-24,36.483,-69,-4389,0.75,G. tenellus,
A164-24,36.483,-69,-4389,0.75,T. sacculifer,
A164-24,36.483,-69,-4389,0.75,S. dehiscens,
A164-24,36.483,-69,-4389,0.75,G. siphonifera,
A164-24,36.483,-69,-4389,0.75,G. calida,
A164-24,36.483,-69,-4389,0.75,G. bulloides,
A164-24,36.483,-69,-4389,0.75,G. falconensis,
A164-24,36.483,-69,-4389,0.75,B. digitata,
A164-24,36.483,-69,-4389,0.75,G. rubescens,
A164-24,36.483,-69,-4389,0.75,T. quinqueloba,
A164-24,36.483,-69,-4389,0.75,N. pachyderma,
A164-24,36.483,-69,-4389,0.75,N. incompta,
A164-24,36.483,-69,-4389,0.75,N. dutertrei,
A164-24,36.483,-69,-4389,0.75,G. conglomerata,
A164-24,36.483,-69,-4389,0.75,G. hexagonus,
A164-24,36.483,-69,-4389,0.75,P. obliquiloculata,
A164-24,36.483,-69,-4389,0.75,G. inflata,
A164-24,36.483,-69,-4389,0.75,G. crassaformis,
A164-24,36.483,-69,-4389,0.75,G. hirsuta,
A164-24,36.483,-69,-4389,0.75,G. scitula,
A164-24,36.483,-69,-4389,0.75,G. glutinata,
A164-24,36.483,-69,-4389,0.75,G. truncatulinoides,
A164-5,37.767,-71.25,-3329,1.71,O. universa,
A164-5,37.767,-71.25,-3329,1.71,G. conglobatus,
A164-5,37.767,-71.25,-3329,1.71,G. ruber albus,
A164-5,37.767,-71.25,-3329,1.71,G. tenellus,
A164-5,37.767,-71.25,-3329,1.71,T. sacculifer,
A164-5,37.767,-71.25,-3329,1.71,S. dehiscens,
A164-5,37.767,-71.25,-3329,1.71,G. siphonifera,
A164-5,37.767,-71.25,-3329,1.71,G. calida,
A164-5,37.767,-71.25,-3329,1.71,G. bulloides,
A164-5,37.767,-71.25,-3329,1.71,G. falconensis,
A164-5,37.767,-71.25,-3329,1.71,B. digitata,
A164-5,37.767,-71.25,-3329,1.71,G. rubescens,
A164-5,37.767,-71.25,-3329,1.71,T. quinqueloba,
A164-5,37.767,-71.25,-3329,1.71,N. pachyderma,
A164-5,37.767,-71.25,-3329,1.71,N. incompta,
A164-5,37.767,-71.25,-3329,1.71,N. dutertrei,
A164-5,37.767,-71.25,-3329,1.71,G. conglomerata,
A164-5,37.767,-71.25,-3329,1.71,G. hexagonus,
A164-5,37.767,-71.25,-3329,1.71,P. obliquiloculata,
A164-5,37.767,-71.25,-3329,1.71,G. inflata,
A164-5,37.767,-71.25,-3329,1.71,G. crassaformis,
A164-5,37.767,-71.25,-3329,1.71,G. hirsuta,
A164-5,37.767,-71.25,-3329,1.71,G. scitula,
A164-5,37.767,-71.25,-3329,1.71,G. glutinata,
A164-5,37.767,-71.25,-3329,1.71,G. truncatulinoides,
A164-6,38.133,-69.867,-3676,1.09,O. universa,
A164-6,38.133,-69.867,-3676,1.09,G. conglobatus,
A164-6,38.133,-69.867,-3676,1.09,G. ruber albus,
A164-6,38.133,-69.867,-3676,1.09,G. tenellus,
A164-6,38.133,-69.867,-3676,1.09,T. sacculifer,
A164-6,38.133,-69.867,-3676,1.09,S. dehiscens,
A164-6,38.133,-69.867,-3676,1.09,G. siphonifera,
A164-6,38.133,-69.867,-3676,1.09,G. calida,
A164-6,38.133,-69.867,-3676,1.09,G. bulloides,
A164-6,38.133,-69.867,-3676,1.09,G. falconensis,
A164-6,38.133,-69.867,-3676,1.09,B. digitata,
A164-6,38.133,-69.867,-3676,1.09,G. rubescens,
A164-6,38.133,-69.867,-3676,1.09,T. quinqueloba,
A164-6,38.133,-69.867,-3676,1.09,N. pachyderma,
A164-6,38.133,-69.867,-3676,1.09,N. incompta,
A164-6,38.133,-69.867,-3676,1.09,N. dutertrei,
A164-6,38.133,-69.867,-3676,1.09,G. conglomerata,
A164-6,38.133,-69.867,-3676,1.09,G. hexagonus,
A164-6,38.133,-69.867,-3676,1.09,P. obliquiloculata,
A164-6,38.133,-69.867,-3676,1.09,G. inflata,
A164-6,38.133,-69.867,-3676,1.09,G. crassaformis,
A164-6,38.133,-69.867,-3676,1.09,G. hirsuta,
A164-6,38.133,-69.867,-3676,1.09,G. scitula,
A164-6,38.133,-69.867,-3676,1.09,G. glutinata,
A164-6,38.133,-69.867,-3676,1.09,G. truncatulinoides,
A164-61,39.533,-68.783,-2725,1,O. universa,
A164-61,39.533,-68.783,-2725,1,G. conglobatus,
A164-61,39.533,-68.783,-2725,1,G. ruber albus,
A164-61,39.533,-68.783,-2725,1,G. tenellus,
A164-61,39.533,-68.783,-2725,1,T. sacculifer,
A164-61,39.533,-68.783,-2725,1,S. dehiscens,
A164-61,39.533,-68.783,-2725,1,G. siphonifera,
A164-61,39.533,-68.783,-2725,1,G. calida,
A164-61,39.533,-68.783,-2725,1,G. bulloides,
A164-61,39.533,-68.783,-2725,1,G. falconensis,
A164-61,39.533,-68.783,-2725,1,B. digitata,
A164-61,39.533,-68.783,-2725,1,G. rubescens,
A164-61,39.533,-68.783,-2725,1,T. quinqueloba,
A164-61,39.533,-68.783,-2725,1,N. pachyderma,
A164-61,39.533,-68.783,-2725,1,N. incompta,
A164-61,39.533,-68.783,-2725,1,N. dutertrei,
A164-61,39.533,-68.783,-2725,1,G. conglomerata,
A164-61,39.533,-68.783,-2725,1,G. hexagonus,
A164-61,39.533,-68.783,-2725,1,P. obliquiloculata,
A164-61,39.533,-68.783,-2725,1,G. inflata,
A164-61,39.533,-68.783,-2725,1,G. crassaformis,
A164-61,39.533,-68.783,-2725,1,G. hirsuta,
A164-61,39.533,-68.783,-2725,1,G. scitula,
A164-61,39.533,-68.783,-2725,1,G. glutinata,
A164-61,39.533,-68.783,-2725,1,G. truncatulinoides,
A167-13,31.65,-75.35,-2880,1.4,O. universa,
A167-13,31.65,-75.35,-2880,1.4,G. conglobatus,
A167-13,31.65,-75.35,-2880,1.4,G. ruber albus,
A167-13,31.65,-75.35,-2880,1.4,G. tenellus,
A167-13,31.65,-75.35,-2880,1.4,T. sacculifer,
A167-13,31.65,-75.35,-2880,1.4,S. dehiscens,
A167-13,31.65,-75.35,-2880,1.4,G. siphonifera,
A167-13,31.65,-75.35,-2880,1.4,G. calida,
A167-13,31.65,-75.35,-2880,1.4,G. bulloides,
A167-13,31.65,-75.35,-2880,1.4,G. falconensis,
A167-13,31.65,-75.35,-2880,1.4,B. digitata,
A167-13,31.65,-75.35,-2880,1.4,G. rubescens,
A167-13,31.65,-75.35,-2880,1.4,T. quinqueloba,
A167-13,31.65,-75.35,-2880,1.4,N. pachyderma,
A167-13,31.65,-75.35,-2880,1.4,N. incompta,
A167-13,31.65,-75.35,-2880,1.4,N. dutertrei,
A167-13,31.65,-75.35,-2880,1.4,G. conglomerata,
A167-13,31.65,-75.35,-2880,1.4,G. hexagonus,
A167-13,31.65,-75.35,-2880,1.4,P. obliquiloculata,
A167-13,31.65,-75.35,-2880,1.4,G. inflata,
A167-13,31.65,-75.35,-2880,1.4,G. crassaformis,
A167-13,31.65,-75.35,-2880,1.4,G. hirsuta,
A167-13,31.65,-75.35,-2880,1.4,G. scitula,
A167-13,31.65,-75.35,-2880,1.4,G. glutinata,
