Event,Latitude,Longitude,Depth sed [m],Species,Absolute Abundance
CHN82-24,43.465,-32.85,0.58,O. universa,0
CHN82-24,43.465,-32.85,0.58,G. conglobatus,0
CHN82-24,43.465,-32.85,0.58,G. ruber ruber,0
CHN82-24,43.465,-32.85,0.58,G. ruber albus,14
CHN82-24,43.465,-32.85,0.58,G. tenellus,0
CHN82-24,43.465,-32.85,0.58,T. sacculifer,0
CHN82-24,43.465,-32.85,0.58,G. eastropacia,1
CHN82-24,43.465,-32.85,0.58,G. calida,0
CHN82-24,43.465,-32.85,0.58,G. bulloides,94
CHN82-24,43.465,-32.85,0.58,G. falconensis,12
CHN82-24,43.465,-32.85,0.58,B. digitata,0
CHN82-24,43.465,-32.85,0.58,G. rubescens,0
CHN82-24,43.465,-32.85,0.58,T. humilis,8
CHN82-24,43.465,-32.85,0.58,T. quinqueloba,25
CHN82-24,43.465,-32.85,0.58,N. pachyderma,30
CHN82-24,43.465,-32.85,0.58,N. incompta,6
CHN82-24,43.465,-32.85,0.58,P. obliquiloculata,40
CHN82-24,43.465,-32.85,0.58,G. inflata,0
CHN82-24,43.465,-32.85,0.58,G. crassaformis,39
CHN82-24,43.465,-32.85,0.58,G. scitula,0
CHN82-24,43.465,-32.85,0.58,D. anfracta,0
CHN82-24,43.465,-32.85,0.58,G. tumida,0
CHN82-24,43.465,-32.85,0.58,G. cultrata,39
CHN82-24,43.465,-32.85,0.58,G. glutinata,0
CHN82-24,43.465,-32.85,0.58,H. pelagica,7
CHN82-24,43.465,-32.85,0.58,G. truncatulinoides,0
ELT48.022-PC,39.895,85.41,0.82,O. universa,0
ELT48.022-PC,39.895,85.41,0.82,G. conglobatus,0
ELT48.022-PC,39.895,85.41,0.82,G. tenellus,0
ELT48.022-PC,39.895,85.41,0.82,T. sacculifer,0
ELT48.022-PC,39.895,85.41,0.82,S. dehiscens,0
ELT48.022-PC,39.895,85.41,0.82,G. adamsi,0
ELT48.022-PC,39.895,85.41,0.82,G. eastropacia,0
ELT48.022-PC,39.895,85.41,0.82,G. calida,0
ELT48.022-PC,39.895,85.41,0.82,G. bulloides,127
ELT48.022-PC,39.895,85.41,0.82,G. falconensis,0
ELT48.022-PC,39.895,85.41,0.82,B. digitata,0
ELT48.022-PC,39.895,85.41,0.82,G. rubescens,0
ELT48.022-PC,39.895,85.41,0.82,T. humilis,0
ELT48.022-PC,39.895,85.41,0.82,T. quinqueloba,24
ELT48.022-PC,39.895,85.41,0.82,N. pachyderma,32
ELT48.022-PC,39.895,85.41,0.82,N. incompta,60
