Event,Latitude,Longitude,Elevation,Depth,Species,Absolute Abundance
A152-84,44.3498,-30.267,-2750,1,O. universa,4
A152-84,44.3498,-30.267,-2750,1,G. conglobatus,0
A152-84,44.3498,-30.267,-2750,1,G. ruber ruber,2
A152-84,44.3498,-30.267,-2750,1,G. ruber albus,28
A152-84,44.3498,-30.267,-2750,1,G. tenellus,4
A152-84,44.3498,-30.267,-2750,1,T. sacculifer,2
A152-84,44.3498,-30.267,-2750,1,S. dehiscens,0
A152-84,44.3498,-30.267,-2750,1,G. adamsi,0
A152-84,44.3498,-30.267,-2750,1,G. aequilateralis,4
A152-84,44.3498,-30.267,-2750,1,G. calida,8
A152-84,44.3498,-30.267,-2750,1,G. bulloides,61
A152-84,44.3498,-30.267,-2750,1,G. falconensis,64
A152-84,44.3498,-30.267,-2750,1,G. digitata,0
A152-84,44.3498,-30.267,-2750,1,G. rubescens,6
A152-84,44.3498,-30.267,-2750,1,T. humilis,0
A152-84,44.3498,-30.267,-2750,1,T. quinqueloba,10
A152-84,44.3498,-30.267,-2750,1,N. pachyderma,53
A152-84,44.3498,-30.267,-2750,1,N. incompta,39
A152-84,44.3498,-30.267,-2750,1,N. dutertrei,3
A152-84,44.3498,-30.267,-2750,1,G. conglomerata,0
A152-84,44.3498,-30.267,-2750,1,G. hexagonus,0
A152-84,44.3498,-30.267,-2750,1,P. obliquiloculata,0
A152-84,44.3498,-30.267,-2750,1,G. inflata,67
A152-84,44.3498,-30.267,-2750,1,T. truncatulinoides,17
A152-84,44.3498,-30.267,-2750,1,G. crassaformis,0
A152-84,44.3498,-30.267,-2750,1,G. hirsuta,16
A152-84,44.3498,-30.267,-2750,1,G. scitula,41
A152-84,44.3498,-30.267,-2750,1,D. anfracta,0
A152-84,44.3498,-30.267,-2750,1,G. cultrata,0
A152-84,44.3498,-30.267,-2750,1,G. tumida,0
A152-84,44.3498,-30.267,-2750,1,C. nitida,0
A152-84,44.3498,-30.267,-2750,1,G. glutinata,37
A152-84,44.3498,-30.267,-2750,1,T. iota,0
A152-84,44.3498,-30.267,-2750,1,G. uvula,0
A152-84,44.3498,-30.267,-2750,1,B. pumilio,0
A152-84,44.3498,-30.267,-2750,1,H. pelagica,0
A152-84,44.3498,-30.267,-2750,1,H. digitata,0
A153-154,28,-38.783,-4020,2,O. universa,1
A153-154,28,-38.783,-4020,2,G. conglobatus,2
A153-154,28,-38.783,-4020,2,G. ruber ruber,7
A153-154,28,-38.783,-4020,2,G. ruber albus,168
A153-154,28,-38.783,-4020,2,G. tenellus,20
A153-154,28,-38.783,-4020,2,T. sacculifer,4
A153-154,28,-38.783,-4020,2,S. dehiscens,0
A153-154,28,-38.783,-4020,2,G. adamsi,0
A153-154,28,-38.783,-4020,2,G. aequilateralis,15
A153-154,28,-38.783,-4020,2,G. calida,0
A153-154,28,-38.783,-4020,2,G. bulloides,5
A153-154,28,-38.783,-4020,2,G. falconensis,33
A153-154,28,-38.783,-4020,2,G. digitata,0
A153-154,28,-38.783,-4020,2,G. rubescens,6
A153-154,28,-38.783,-4020,2,T. humilis,1
A153-154,28,-38.783,-4020,2,T. quinqueloba,0
A153-154,28,-38.783,-4020,2,N. pachyderma,0
A153-154,28,-38.783,-4020,2,N. incompta,2
A153-154,28,-38.783,-4020,2,N. dutertrei,0
A153-154,28,-38.783,-4020,2,G. conglomerata,0
A153-154,28,-38.783,-4020,2,G. hexagonus,0
A153-154,28,-38.783,-4020,2,P. obliquiloculata,0
A153-154,28,-38.783,-4020,2,G. inflata,39
A153-154,28,-38.783,-4020,2,T. truncatulinoides,34
A153-154,28,-38.783,-4020,2,G. crassaformis,5
A153-154,28,-38.783,-4020,2,G. hirsuta,2
A153-154,28,-38.783,-4020,2,G. scitula,4
A153-154,28,-38.783,-4020,2,D. anfracta,0
A153-154,28,-38.783,-4020,2,G. cultrata,0
A153-154,28,-38.783,-4020,2,G. tumida,0
A153-154,28,-38.783,-4020,2,C. nitida,0
