Event,Latitude,Longitude,Elevation,Depth sed,total,Species,Relative Abundance
A15-558,8.983,51.733,-3985,0.98,100.2,O. universa,0.004
A15-558,8.983,51.733,-3985,0.98,100.2,G. conglobatus,0
A15-558,8.983,51.733,-3985,0.98,100.2,G. ruber albus,0.133
A15-558,8.983,51.733,-3985,0.98,100.2,G. tenellus,0
A15-558,8.983,51.733,-3985,0.98,100.2,T. sacculifer,0.02
A15-558,8.983,51.733,-3985,0.98,100.2,S. dehiscens,0
A15-558,8.983,51.733,-3985,0.98,100.2,G. siphonifera,0.016
A15-558,8.983,51.733,-3985,0.98,100.2,G. calida,0.012
A15-558,8.983,51.733,-3985,0.98,100.2,G. bulloides,0.195
A15-558,8.983,51.733,-3985,0.98,100.2,G. falconensis,0.055
A15-558,8.983,51.733,-3985,0.98,100.2,B. digitata,0
A15-558,8.983,51.733,-3985,0.98,100.2,G. rubescens,0.039
A15-558,8.983,51.733,-3985,0.98,100.2,T. quinqueloba,0.004
A15-558,8.983,51.733,-3985,0.98,100.2,N. pachyderma,0
A15-558,8.983,51.733,-3985,0.98,100.2,N. incompta,0.008
A15-558,8.983,51.733,-3985,0.98,100.2,N. dutertrei,0.184
A15-558,8.983,51.733,-3985,0.98,100.2,G. conglomerata,0
A15-558,8.983,51.733,-3985,0.98,100.2,G. hexagonus,0.004
A15-558,8.983,51.733,-3985,0.98,100.2,P. obliquiloculata,0.07
A15-558,8.983,51.733,-3985,0.98,100.2,G. inflata,0
A15-558,8.983,51.733,-3985,0.98,100.2,G. crassaformis,0.023
A15-558,8.983,51.733,-3985,0.98,100.2,G. hirsuta,0.004
A15-558,8.983,51.733,-3985,0.98,100.2,G. scitula,0.219
A15-558,8.983,51.733,-3985,0.98,100.2,G. glutinata,0
A15-558,8.983,51.733,-3985,0.98,100.2,G. truncatulinoides,0.012
A156-4,34.817,-74.683,-3100,7.5,100.2,O. universa,0.003
A156-4,34.817,-74.683,-3100,7.5,100.2,G. conglobatus,0.006
A156-4,34.817,-74.683,-3100,7.5,100.2,G. ruber albus,0.288
A156-4,34.817,-74.683,-3100,7.5,100.2,G. tenellus,0.013
A156-4,34.817,-74.683,-3100,7.5,100.2,T. sacculifer,0.091
A156-4,34.817,-74.683,-3100,7.5,100.2,S. dehiscens,0.003
A156-4,34.817,-74.683,-3100,7.5,100.2,G. siphonifera,0.028
A156-4,34.817,-74.683,-3100,7.5,100.2,G. calida,0
A156-4,34.817,-74.683,-3100,7.5,100.2,G. bulloides,0.056
A156-4,34.817,-74.683,-3100,7.5,100.2,G. falconensis,0.05
A156-4,34.817,-74.683,-3100,7.5,100.2,B. digitata,0
A156-4,34.817,-74.683,-3100,7.5,100.2,G. rubescens,0.047
A156-4,34.817,-74.683,-3100,7.5,100.2,T. quinqueloba,0.056
A156-4,34.817,-74.683,-3100,7.5,100.2,N. pachyderma,0
A156-4,34.817,-74.683,-3100,7.5,100.2,N. incompta,0.025
A156-4,34.817,-74.683,-3100,7.5,100.2,N. dutertrei,0.066
A156-4,34.817,-74.683,-3100,7.5,100.2,G. conglomerata,0
A156-4,34.817,-74.683,-3100,7.5,100.2,G. hexagonus,0
A156-4,34.817,-74.683,-3100,7.5,100.2,P. obliquiloculata,0.022
A156-4,34.817,-74.683,-3100,7.5,100.2,G. inflata,0.066
A156-4,34.817,-74.683,-3100,7.5,100.2,G. crassaformis,0
A156-4,34.817,-74.683,-3100,7.5,100.2,G. hirsuta,0.006
A156-4,34.817,-74.683,-3100,7.5,100.2,G. scitula,0.163
