Latitude,Longitude,Event,Depth [m],Species,Absolute Abundance
-6.5823,10.3186,GeoB1008-3,2.18,G. bulloides,272
-6.5823,10.3186,GeoB1008-3,2.18,G. crassaformis,7
-6.5823,10.3186,GeoB1008-3,2.18,N. dutertrei,49
-6.5823,10.3186,GeoB1008-3,2.18,G. inflata,128
-6.5823,10.3186,GeoB1008-3,2.18,N. incompta,78
-6.5823,10.3186,GeoB1008-3,2.18,N. pachyderma,0
-6.5823,10.3186,GeoB1008-3,2.18,G. ruber albus,9
-6.5823,10.3186,GeoB1008-3,2.18,G. scitula,7
-6.5823,10.3186,GeoB1008-3,2.18,O. universa,91
-6.5823,10.3186,GeoB1008-3,2.18,G. aequilateralis,0
-6.5823,10.3186,GeoB1008-3,2.18,G. calida,0
-6.5823,10.3186,GeoB1008-3,2.18,G. falconensis,0
-6.5823,10.3186,GeoB1008-3,2.18,G. glutinata,2
-6.5823,10.3186,GeoB1008-3,2.18,G. hirsuta,0
-6.5823,10.3186,GeoB1008-3,2.18,G. menardii,0
-6.5823,10.3186,GeoB1008-3,2.18,H. pelagica,0
-6.5823,10.3186,GeoB1008-3,2.18,T. quinqueloba,3
-6.5823,10.3186,GeoB1008-3,2.18,G. ruber ruber,10
-6.5823,10.3186,GeoB1008-3,2.18,T. sacculifer,6
-6.5823,10.3186,GeoB1008-3,2.18,G. tumida,0
-6.5823,10.3186,GeoB1008-3,2.18,G. tenellus,0
-6.5823,10.3186,GeoB1008-3,2.18,G. truncatulinoides,0
-6.5823,10.3186,GeoB1008-3,2.18,G. conglobatus,0
-6.5823,10.3186,GeoB1008-3,2.18,G. conglomerata,0
-6.5823,10.3186,GeoB1008-3,2.18,S. dehiscens,0
-6.5823,10.3186,GeoB1008-3,2.18,G. digitata,0
-6.5823,10.3186,GeoB1008-3,2.18,T. humilis,0
-6.5823,10.3186,GeoB1008-3,2.18,C. nitida,0
-6.5823,10.3186,GeoB1008-3,2.18,G. rubescens,0
-6.5823,10.3186,GeoB1008-3,2.18,G. hexagonus,0
-6.5823,10.3186,GeoB1008-3,2.18,G. uvula,0
-6.5823,10.3186,GeoB1008-3,2.18,P. obliquiloculata,0
-6.5823,10.3186,GeoB1008-3,2.18,D. anfracta,0
-6.5823,10.3186,GeoB1008-3,2.18,G. theyeri,0
-6.5823,10.3186,GeoB1008-3,2.18,T. iota,0
