Latitude,Longitude,Event,Elevation [m],Depth [m],Species,Relative Abundance
-6.5823,10.3186,GeoB1008-3,-3124,2.18,G. bulloides,0.4077
-6.5823,10.3186,GeoB1008-3,-3124,2.18,G. crassaformis,0.0114
-6.5823,10.3186,GeoB1008-3,-3124,2.18,N. dutertrei,0.0739
-6.5823,10.3186,GeoB1008-3,-3124,2.18,G. inflata,0.1914
-6.5823,10.3186,GeoB1008-3,-3124,2.18,N. incompta,0.1169
-6.5823,10.3186,GeoB1008-3,-3124,2.18,N. pachyderma,0
-6.5823,10.3186,GeoB1008-3,-3124,2.18,G. ruber albus,0.0148
-6.5823,10.3186,GeoB1008-3,-3124,2.18,G. scitula,0.0107
-6.5823,10.3186,GeoB1008-3,-3124,2.18,O. universa,0.1363
-6.5823,10.3186,GeoB1008-3,-3124,2.18,G. aequilateralis,0.0013
-6.5823,10.3186,GeoB1008-3,-3124,2.18,G. calida,0
-6.5823,10.3186,GeoB1008-3,-3124,2.18,G. falconensis,0
-6.5823,10.3186,GeoB1008-3,-3124,2.18,G. glutinata,0.004
-6.5823,10.3186,GeoB1008-3,-3124,2.18,G. hirsuta,0
-6.5823,10.3186,GeoB1008-3,-3124,2.18,G. menardii,0
-6.5823,10.3186,GeoB1008-3,-3124,2.18,H. pelagica,0
-6.5823,10.3186,GeoB1008-3,-3124,2.18,T. quinqueloba,0.0054
-6.5823,10.3186,GeoB1008-3,-3124,2.18,G. ruber ruber,0.0154
-6.5823,10.3186,GeoB1008-3,-3124,2.18,T. sacculifer,0.01
-6.5823,10.3186,GeoB1008-3,-3124,2.18,G. tumida,0
-6.5823,10.3186,GeoB1008-3,-3124,2.18,G. tenellus,0
-6.5823,10.3186,GeoB1008-3,-3124,2.18,G. truncatulinoides,0
-6.5823,10.3186,GeoB1008-3,-3124,2.18,G. conglobatus,0
-6.5823,10.3186,GeoB1008-3,-3124,2.18,G. conglomerata,0
-6.5823,10.3186,GeoB1008-3,-3124,2.18,S. dehiscens,0
-6.5823,10.3186,GeoB1008-3,-3124,2.18,G. digitata,0
-6.5823,10.3186,GeoB1008-3,-3124,2.18,T. humilis,0
-6.5823,10.3186,GeoB1008-3,-3124,2.18,C. nitida,0
-6.5823,10.3186,GeoB1008-3,-3124,2.18,G. rubescens,7e-04
