Campaign,Event,Latitude,Longitude,Date/Time,Elevation [m],Depth [m],T. quinqueloba,G. ruber ruber,G. ruber albus,G. rubescens,G. clavaticamerata,G. sacculifer,G. scitula,G. tenellus,G. truncatulinoides,G. tumida,O. universa,G. uvula,N. incompta,Species,Relative Abundance
A150/180,A180-73,0.1667,-23,NA,-3749,0.38,0,0.9,6.6,0.9,3.9,3.4,0.7,0.5,14.2,0,0.2,0,4.8,G. siphonifera,0
A150/180,A180-73,0.1667,-23,NA,-3749,0.38,0,0.9,6.6,0.9,3.9,3.4,0.7,0.5,14.2,0,0.2,0,4.8,G. bulloides,0.006999999999999999
A150/180,A180-73,0.1667,-23,NA,-3749,0.38,0,0.9,6.6,0.9,3.9,3.4,0.7,0.5,14.2,0,0.2,0,4.8,G. cavernula,0
A150/180,A180-73,0.1667,-23,NA,-3749,0.38,0,0.9,6.6,0.9,3.9,3.4,0.7,0.5,14.2,0,0.2,0,4.8,G. conglobatus,0.009000000000000001
A150/180,A180-73,0.1667,-23,NA,-3749,0.38,0,0.9,6.6,0.9,3.9,3.4,0.7,0.5,14.2,0,0.2,0,4.8,G. crassaformis,0.032
A150/180,A180-73,0.1667,-23,NA,-3749,0.38,0,0.9,6.6,0.9,3.9,3.4,0.7,0.5,14.2,0,0.2,0,4.8,S. dehiscens,0
A150/180,A180-73,0.1667,-23,NA,-3749,0.38,0,0.9,6.6,0.9,3.9,3.4,0.7,0.5,14.2,0,0.2,0,4.8,B. digitata,0
A150/180,A180-73,0.1667,-23,NA,-3749,0.38,0,0.9,6.6,0.9,3.9,3.4,0.7,0.5,14.2,0,0.2,0,4.8,N. dutertrei,0.29100000000000004
A150/180,A180-73,0.1667,-23,NA,-3749,0.38,0,0.9,6.6,0.9,3.9,3.4,0.7,0.5,14.2,0,0.2,0,4.8,G. falconensis,0.040999999999999995
A150/180,A180-73,0.1667,-23,NA,-3749,0.38,0,0.9,6.6,0.9,3.9,3.4,0.7,0.5,14.2,0,0.2,0,4.8,G. glutinata,0.085
A150/180,A180-73,0.1667,-23,NA,-3749,0.38,0,0.9,6.6,0.9,3.9,3.4,0.7,0.5,14.2,0,0.2,0,4.8,G. hirsuta,0.005
A150/180,A180-73,0.1667,-23,NA,-3749,0.38,0,0.9,6.6,0.9,3.9,3.4,0.7,0.5,14.2,0,0.2,0,4.8,T. humilis,0
A150/180,A180-73,0.1667,-23,NA,-3749,0.38,0,0.9,6.6,0.9,3.9,3.4,0.7,0.5,14.2,0,0.2,0,4.8,G. inflata,0.10300000000000001
A150/180,A180-73,0.1667,-23,NA,-3749,0.38,0,0.9,6.6,0.9,3.9,3.4,0.7,0.5,14.2,0,0.2,0,4.8,G. cultrata,0
A150/180,A180-73,0.1667,-23,NA,-3749,0.38,0,0.9,6.6,0.9,3.9,3.4,0.7,0.5,14.2,0,0.2,0,4.8,C. nitida,0
A150/180,A180-73,0.1667,-23,NA,-3749,0.38,0,0.9,6.6,0.9,3.9,3.4,0.7,0.5,14.2,0,0.2,0,4.8,P. obliquiloculata,0
A150/180,A180-73,0.1667,-23,NA,-3749,0.38,0,0.9,6.6,0.9,3.9,3.4,0.7,0.5,14.2,0,0.2,0,4.8,N. pachyderma,0
ANT-IV/1c,GIK16457-2,5.385,-21.7517,22/10/1985,-3303,0.3,0,1.5,28.7,0,13.6,13.5,0,0,7.300000000000001,0.3,0.6,0,1.5,G. siphonifera,0.003
ANT-IV/1c,GIK16457-2,5.385,-21.7517,22/10/1985,-3303,0.3,0,1.5,28.7,0,13.6,13.5,0,0,7.300000000000001,0.3,0.6,0,1.5,G. bulloides,0.051
ANT-IV/1c,GIK16457-2,5.385,-21.7517,22/10/1985,-3303,0.3,0,1.5,28.7,0,13.6,13.5,0,0,7.300000000000001,0.3,0.6,0,1.5,G. cavernula,0
ANT-IV/1c,GIK16457-2,5.385,-21.7517,22/10/1985,-3303,0.3,0,1.5,28.7,0,13.6,13.5,0,0,7.300000000000001,0.3,0.6,0,1.5,G. conglobatus,0.006999999999999999
