Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Species,Absolute Abundance
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.18,O. universa,92
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.18,G. conglobatus,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.18,G. ruber ruber,11
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.18,G. ruber albus,10
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.18,G. tenellus,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.18,T. sacculifer,7
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.18,S. dehiscens,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.18,G. adamsi,
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.18,G. siphonifera,1
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.18,G. calida,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.18,G. bulloides,273
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.18,G. falconensis,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.18,B. digitata,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.18,G. rubescens,1
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.18,T. humilis,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.18,T. quinqueloba,4
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.18,N. pachyderma,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.18,N. dutertrei,50
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.18,N. incompta,79
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.18,G. conglomerata,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.18,G. hexagonus,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.18,P. obliquiloculata,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.18,G. inflata,129
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.18,G. truncatulinoides,0
