Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Species,Relative Abundance
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,O. universa,0.017
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,G. conglobatus,0
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,G. ruber ruber,0
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,G. ruber albus,0.004
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,G. tenellus,0
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,T. sacculifer,0
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,S. dehiscens,0
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,G. adamsi,
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,G. siphonifera,0.007
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,G. calida,0.04
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,G. bulloides,0.283
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,G. falconensis,0.022
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,B. digitata,0
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,G. rubescens,0.001
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,T. humilis,0
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,T. quinqueloba,0.034
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,N. pachyderma,0.135
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,N. incompta,0.299
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,N. dutertrei,0.009
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,G. conglomerata,0
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,G. hexagonus,0
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,P. obliquiloculata,0.004
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,G. inflata,0.073
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,G. truncatulinoides,0.011
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,G. crassaformis,
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,G. hirsuta,0.006
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,G. scitula,0
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,D. anfracta,0
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,G. cultrata,0
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,G. tumida,0
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,C. nitida,0
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,G. glutinata,0.013
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,G. eastropacia,0
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,T. iota,0
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,G. uvula,
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,1.08,O. universa,0.126
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,1.08,G. conglobatus,0
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,1.08,G. ruber ruber,0
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,1.08,G. ruber albus,0.006
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,1.08,G. tenellus,0
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,1.08,T. sacculifer,0
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,1.08,S. dehiscens,0
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,1.08,G. adamsi,
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,1.08,G. siphonifera,0.003
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,1.08,G. calida,0.051
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,1.08,G. bulloides,0.178
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,1.08,G. falconensis,0.044
