Latitude,Longitude,symbiont-barren spinose,undetermined non-spinose,symbiont-facultative non-spinose,symbiont-obligate spinose,symbiont-barren non-spinose,symbiont-bearing spinose,symbiont-bearing non-spinose,symbiont-facultative spinose
8.983,51.733,71,0,173,97,9,5,0,0
44.3498,-30.267,71,0,113,112,160,10,0,0
50.9332,-41.75,154,0,185,9,344,0,0,0
35.7167,-67.3333,106,0,123,131,74,1,0,1
36.1333,-68.9167,65,0,126.5,87,61.5,1,0,1
36.15,-69.15,61,0,118,188,73,1,0,0
35.7833,-68.9333,71,0,117,111,87,0,0,1
36.2167,-69.4,68,0,116,145,87,0,0,0
31.8333,-74.35,35,0,121.5,238,91,1,0,1
31.65,-75.35,10,0,87.3333333333333,316,68.3333333333333,8.66666666666667,0,1
37.65,-72.95,13.6666666666667,0,247.333333333333,29,157.333333333333,0,0,0
23.9333,-75.75,0,0,38.5,251.5,24.5,44.5,0,0
24.8,-75.9333,2,0,45,221,8,60,0,0
30.7833,-67.6667,56.5,0,46,231.5,54.5,1,0,2
35.7667,-69.0833,34,0,221,221,72,0,0,3
39.1332,-42.65,35,0,202,80,175,1,0,0
33.333,-27.367,54,0,88,219,81,12,0,3
5.2833,-17.0667,4,0,64,19,205,10,0,0
3.65,-18.3,5,0,175.666666666667,50.3333333333333,170,13,0,0
-0.05,-24.1667,23,0,218,98,162,10,0,0
-0.7667,-26.0333,8.5,0,99,188,71,3,0,0
20.7332,-59.2,1,0,26,332,38,2,0,0
-14.03333333,62.5,7,1,100,199,10,6,0,0
-25.41666667,70.4,14,0,64.5,225,36,11,0,0
-10.35,58.51666667,16.5,2,94,146,9,0,0,0
-13.68333333,59.68333333,11,0,80,123.5,7,1,0,0
-44.63333333,70.96666667,77,0,68.5,7.5,106,0,0,0
-31.51666667,114.3833333,11.5,0,187,119.5,15.5,2,0,0
-39.73333333,67.88333333,28,0,86.5,13.5,82,0,0,0
-31.26666667,113.9333333,7,25,260,52,22,1,0,0
-18.68333333,87.85,9.5,0,99.5,407.5,22.5,25,0,0
-14.9,70.2,2,2,94,74,27,2,0,0
-17.8,62,7,3,85,204,11,1,0,0
-23.93333333,73.88333333,7,0,47,277,29,7,0,0
-39.83333333,75.05,62,0,179.5,113.5,150,1,0,0
-53.038,119.735,113,0,54,0,238,0,0,0
-43.308,105.548,170,0,49,0,81,0,0,0
-48.008,114.478,286,1,115,0,153,0,0,0
-47.533,114.423,230,0,87,2,163,0,0,0
-46.448,114.417,251,0,106,7,128,0,0,0
-45.037,114.348,172,0,63,1,63,0,0,1
-43.953,114.368,199,0,161,25,130,0,0,0
-41.02,100.012,198,0,59,2,39,0,0,2
-39.515,83.723,163,0,46,2,88,0,0,1
-45.022,95.082,133,0,117,0,130,0,0,0
-47.128,95.08,160,0,82,0,105,0,0,0
-47.988,95.037,133,0,68,0,98,0,0,0
-49.378,94.832,128,0,69,0,98,0,0,0
24.5,-16.95,65,0,156,123,167.5,2,0,2
14,-74.88,1,0,122,159,17,2,0,0
-43.78,46.2,88,0,41,2,96,0,0,0
-43.63,51.267,122,0,96,0,168,0,0,0
-55.33,65.467,6,0,2,1,321,0,0,0
-44.77,92.417,153,0,103,4,109,0,0,0
-39.38,104.37,66,0,85,26,61,0,0,0
-36.75,120.9,39,1,109,47.5,72.5,5,0,0
-46.53,125.57,187,0,101,11,110,0,0,0
-49.33,127.12,125,0,65,8,76,0,0,0
-51.08,129.97,109,0,39,3,145,0,0,0
-47.77,123.1,238,0,87,2,63,0,0,0
-45.42,121.12,229,0,71,11,51,0,0,0
-41.37,114.13,117,0,84,3,27,0,0,0
12.05,63.15,28,0,165,123,5,2,0,0
17.883,58.083,114,0,115,59,7,12,0,0
45.1,-10.57,29,0,89.5,71,135,0,0,0
54.983,-15.4,82,0,92,4,136.5,0,0,0
10.183,-77.22,2.5,0,87,288.5,16,6,0,0
21.3,-69.67,0,0,77,387,16,28.5,0,2
13.483,-81.63,0,0,73,122,9,4,0,0
16.567,-79.53,1,0,78.5,250.5,9,15.5,0,0
11.767,-81.1,2,0,67,216,22,6,0,0
4.967,-45.97,3,0,34,349,7,1,0,0
-43.03,57.35,54,0,228,0,84,0,0,0
-34.33,54.217,14,0,269,11,74,0,0,0
2.217,-45.4,0,0,75,282,10,5,0,0
-22.4,57.633,12,0,100,294,20,1,0,0
-34.92,67.583,15,0,170,12,113,0,0,0
-36.48,69.55,36,0,73,11,144,1,0,0
0.917,-43.77,0,0,81,251,4,0,0,0
-38.03,83.483,77,0,59,50,95,1,0,0
-28.07,95.967,25,0,89,123,65,2,0,0
1.683,-41.52,3,0,106.5,170.5,36.5,3.5,0,0
-33.8,112.98,29,0,134,79,25,5,0,0
-31.57,114.12,6,0,243,19,15,0,0,0
-21.42,112.8,28,0,109,166,7,21,0,0
-49,-4.6,4,0,3,0,374,0,0,0
-42.58,-17.8,166,0,61,8,80,0,0,0
11.91,-75.04,2,0,71,153,103,7,0,0
15.617,-71.67,2,0,67,229,8,3,0,0
15.857,-74.79,6,0,89,219,22,8,0,0
10.032,-76.96,1,0,70,145,71,3,0,0
11.25,-78.15,0.5,0,99.5,185.5,22,4,0,0
14.695,-77.17,4,0,75,262,14,17,0,0
3.705,-7.722,3,0,93,216,3,12,0,0
-25.49,11.307,7,0,74,13,183,0,0,0
-46.6,7.625,108,0,35,1,128,0,0,0
-49.92,-15.57,55,0,214,0,396,0,0,0
-46.1,-13.23,133,0,57,4,169,0,0,0
-12.38,61.617,14,1,97,181,17,6,0,2
-12.85,59.872,10,5,115,203,16,3,0,0
-13.61,59.638,16,4,105,182,17,6,0,1
-15.59,58.852,15,1,115,187,8,10,0,0
-16.23,58.633,12,0,86,251,11,14,0,0
-2.807,61.203,10,2,146,140,43,3,0,0
19.193,66.29,12,4,152,136,5,0,0,0
21.472,67.298,40,0,125,120,1,16,0,0
9.582,72.763,31,2,105,183,19,35,0,0
-13.22,65.617,10,1,114,133,32,10,0,0
59.6532,-22.77,135,0,95,2,171.5,0,0,0
53.867,-21.1328,137,0,118,2,344,0,0,0
63.4832,-0.0667,8,0,6,1,262,0,0,0
42.467,-54.9,29,0,118,15,256,0,0,0
23.767,-92.47,7,0,63,231,33,2,0,0
32.6,-69.5,70,0,95,127.5,57,0.5,0,2
32.283,-65.12,7,0,59,174,46,23,0,1
32.217,-64.72,25,0,42,222,45,17,0,1
29.283,-79.92,13,1,195.5,302.5,5,9,0,0
38.917,-57.13,7,0,141,42,169,0,0,0
