Latitude,Longitude,symbiont-barren spinose,undetermined non-spinose,symbiont-facultative non-spinose,symbiont-obligate spinose,symbiont-barren non-spinose,symbiont-bearing spinose,symbiont-bearing non-spinose,symbiont-facultative spinose,SST
8.983,51.733,71,0,173,97,9,5,0,0,26.351680755615234
44.3498,-30.267,71,0,107,112,166,10,0,0,16.594356536865234
44.3498,-30.267,71,0,119,112,154,10,0,0,16.594356536865234
50.9332,-41.75,154,0,185,9,344,0,0,0,10.916508674621582
35.7167,-67.3333,106,0,123,131,74,1,0,1,22.339372634887695
36.1333,-68.9167,65,0,135,87,75,1,0,1,22.339372634887695
36.1333,-68.9167,65,0,118,87,48,1,0,1,22.339372634887695
36.15,-69.15,61,0,118,188,73,1,0,0,22.249143600463867
35.7833,-68.9333,71,0,117,111,87,0,0,1,22.339372634887695
36.2167,-69.4,68,0,116,145,87,0,0,0,22.249143600463867
31.8333,-74.35,35,0,135,237,101,1,0,1,24.17841148376465
31.8333,-74.35,35,0,108,239,81,1,0,1,24.17841148376465
31.65,-75.35,13,0,128,495,112,15,0,3,24.720029830932617
31.65,-75.35,8,0,65,227,46,6,0,0,24.720029830932617
31.65,-75.35,9,0,69,226,47,5,0,0,24.720029830932617
37.65,-72.95,14,0,215,29,195,0,0,0,18.106792449951172
37.65,-72.95,13,0,284,29,112,0,0,0,18.106792449951172
37.65,-72.95,14,0,243,29,165,0,0,0,18.106792449951172
23.9333,-75.75,0,0,38,248,24,44,0,0,26.77450180053711
23.9333,-75.75,0,0,39,255,25,45,0,0,26.77450180053711
24.8,-75.9333,2,0,45,221,8,60,0,0,26.77450180053711
30.7833,-67.6667,56,0,49,232,57,1,0,2,24.033950805664062
30.7833,-67.6667,57,0,43,231,52,1,0,2,24.033950805664062
35.7667,-69.0833,34,0,219,221,75,0,0,3,22.249143600463867
35.7667,-69.0833,34,0,223,221,69,0,0,3,22.249143600463867
39.1332,-42.65,35,0,202,80,175,1,0,0,19.65321922302246
33.333,-27.367,54,0,88,219,81,12,0,3,20.441862106323242
5.2833,-17.0667,4,0,64,19,205,10,0,0,27.403419494628906
3.65,-18.3,5,0,205,52,186,13,0,0,27.25623321533203
3.65,-18.3,5,0,168,47,169,13,0,0,27.25623321533203
3.65,-18.3,5,0,154,52,155,13,0,0,27.25623321533203
-0.05,-24.1667,23,0,218,98,162,10,0,0,26.291709899902344
-0.7667,-26.0333,16,0,117,131,132,2,0,0,26.476348876953125
-0.7667,-26.0333,1,0,81,245,10,4,0,0,26.476348876953125
20.7332,-59.2,1,0,26,332,38,2,0,0,26.5153865814209
-14.03333333,62.5,8,0,98,198,12,6,0,0,26.596574783325195
-14.03333333,62.5,6,2,102,200,8,6,0,0,26.596574783325195
-25.41666667,70.4,8,0,59,242,41,12,0,0,22.670482635498047
-25.41666667,70.4,20,0,70,208,31,10,0,0,22.670482635498047
-10.35,58.51666667,16,3,93,146,11,0,0,0,27.05419158935547
-10.35,58.51666667,17,1,95,146,7,0,0,0,27.05419158935547
-13.68333333,59.68333333,13,0,80,124,7,1,0,0,26.634788513183594
-13.68333333,59.68333333,9,0,80,123,7,1,0,0,26.634788513183594
-44.63333333,70.96666667,80,0,67,2,110,0,0,0,10.287142753601074
-44.63333333,70.96666667,74,0,70,13,102,0,0,0,10.287142753601074
-31.51666667,114.3833333,12,0,190,115,16,2,0,0,19.93577766418457
-31.51666667,114.3833333,11,0,184,124,15,2,0,0,19.93577766418457
-39.73333333,67.88333333,31,0,86,11,80,0,0,0,14.418272972106934
-39.73333333,67.88333333,25,0,87,16,84,0,0,0,14.418272972106934
-31.26666667,113.9333333,7,25,260,52,22,1,0,0,19.93577766418457
-18.68333333,87.85,11,0,101,406,22,25,0,0,24.98743438720703
-18.68333333,87.85,8,0,98,409,23,25,0,0,24.98743438720703
-14.9,70.2,2,2,94,74,27,2,0,0,26.34798812866211
-17.8,62.0,7,3,85,204,11,1,0,0,25.77567481994629
-23.93333333,73.88333333,7,0,47,277,29,7,0,0,23.160932540893555
-39.83333333,75.05,60,0,186,99,157,1,0,0,13.683451652526855
-39.83333333,75.05,64,0,173,128,143,1,0,0,13.683451652526855
-53.038,119.735,113,0,54,0,238,0,0,0,3.3536524772644043
-43.308,105.548,170,0,49,0,81,0,0,0,10.079325675964355
-48.008,114.478,286,1,115,0,153,0,0,0,7.40395450592041
-47.533,114.423,230,0,87,2,163,0,0,0,7.40395450592041
-46.448,114.417,251,0,106,7,128,0,0,0,9.248459815979004
-45.037,114.348,172,0,63,1,63,0,0,1,9.248459815979004
-43.953,114.368,199,0,161,25,130,0,0,0,10.477808952331543
-41.02,100.012,198,0,59,2,39,0,0,2,11.27432918548584
-39.515,83.723,163,0,46,2,88,0,0,1,13.053184509277344
-45.022,95.082,133,0,117,0,130,0,0,0,7.82504940032959
-47.128,95.08,160,0,82,0,105,0,0,0,6.203542232513428
-47.988,95.037,133,0,68,0,98,0,0,0,6.203542232513428
-49.378,94.832,128,0,69,0,98,0,0,0,5.0686774253845215
24.5,-16.95,66,0,117,122,204,2,0,2,20.19167137145996
24.5,-16.95,64,0,195,124,131,2,0,2,20.19167137145996
14.0,-74.88,1,0,122,159,17,2,0,0,27.260635375976562
-43.78,46.2,88,0,41,2,96,0,0,0,7.026777267456055
-43.63,51.267,122,0,96,0,168,0,0,0,7.220992088317871
-55.33,65.467,6,0,2,1,321,0,0,0,0.6127020120620728
-44.77,92.417,153,0,103,4,109,0,0,0,9.622314453125
-39.38,104.37,66,0,85,26,61,0,0,0,12.527643203735352
-36.75,120.9,41,0,122,28,76,5,0,0,16.643709182739258
-36.75,120.9,37,2,96,67,69,5,0,0,16.643709182739258
-46.53,125.57,187,0,101,11,110,0,0,0,9.932072639465332
-49.33,127.12,125,0,65,8,76,0,0,0,7.354930877685547
-51.08,129.97,109,0,39,3,145,0,0,0,5.840162754058838
-47.77,123.1,238,0,87,2,63,0,0,0,8.462143898010254
-45.42,121.12,229,0,71,11,51,0,0,0,9.587526321411133
-41.37,114.13,117,0,84,3,27,0,0,0,11.683428764343262
12.05,63.15,28,0,165,123,5,2,0,0,27.321002960205078
17.883,58.083,114,0,115,59,7,12,0,0,25.850915908813477
45.1,-10.57,29,0,87,71,139,0,0,0,14.481633186340332
45.1,-10.57,29,0,92,71,131,0,0,0,14.481633186340332
54.983,-15.4,82,0,89,4,140,0,0,0,12.127279281616211
54.983,-15.4,82,0,95,4,133,0,0,0,12.127279281616211
10.183,-77.22,3,0,117,378,11,7,0,0,27.725261688232422
10.183,-77.22,2,0,57,199,21,5,0,0,27.725261688232422
21.3,-69.67,0,0,76,381,16,28,0,2,26.82819175720215
21.3,-69.67,0,0,78,393,16,29,0,2,26.82819175720215
13.483,-81.63,0,0,73,122,9,4,0,0,27.758913040161133
16.567,-79.53,2,0,66,276,14,14,0,0,27.75396156311035
16.567,-79.53,0,0,91,225,4,17,0,0,27.75396156311035
11.767,-81.1,2,0,67,216,22,6,0,0,27.828340530395508
4.967,-45.97,3,0,34,349,7,1,0,0,27.225479125976562
-43.03,57.35,54,0,228,0,84,0,0,0,10.51136589050293
-34.33,54.217,14,0,269,11,74,0,0,0,18.6614990234375
2.217,-45.4,0,0,75,282,10,5,0,0,27.18597412109375
-22.4,57.633,12,0,100,294,20,1,0,0,24.866390228271484
-34.92,67.583,15,0,170,12,113,0,0,0,18.069711685180664
-36.48,69.55,36,0,73,11,144,1,0,0,16.625802993774414
0.917,-43.77,0,0,81,251,4,0,0,0,27.00979232788086
-38.03,83.483,77,0,59,50,95,1,0,0,14.29570198059082
-28.07,95.967,25,0,89,123,65,2,0,0,20.05939292907715
1.683,-41.52,3,0,114,171,37,4,0,0,27.125532150268555
1.683,-41.52,3,0,99,170,36,3,0,0,27.125532150268555
-33.8,112.98,29,0,134,79,25,5,0,0,18.17254638671875
-31.57,114.12,6,0,243,19,15,0,0,0,19.93577766418457
-21.42,112.8,28,0,109,166,7,21,0,0,24.457639694213867
-49.0,-4.6,4,0,3,0,374,0,0,0,4.113334655761719
-42.58,-17.8,166,0,61,8,80,0,0,0,11.718786239624023
11.91,-75.04,2,0,71,153,103,7,0,0,27.456039428710938
15.617,-71.67,2,0,67,229,8,3,0,0,27.406230926513672
15.857,-74.79,6,0,89,219,22,8,0,0,27.49603271484375
10.032,-76.96,1,0,70,145,71,3,0,0,27.657258987426758
11.25,-78.15,0,0,88,127,23,4,0,0,27.61294937133789
11.25,-78.15,1,0,111,244,21,4,0,0,27.61294937133789
14.695,-77.17,4,0,75,262,14,17,0,0,27.56224822998047
3.705,-7.722,3,0,93,216,3,12,0,0,27.493309020996094
-25.49,11.307,7,0,74,13,183,0,0,0,17.41379165649414
-46.6,7.625,108,0,35,1,128,0,0,0,5.917431831359863
-49.92,-15.57,55,0,214,0,396,0,0,0,3.9396066665649414
-46.1,-13.23,133,0,57,4,169,0,0,0,6.843108177185059
-12.38,61.617,14,1,97,181,17,6,0,2,26.896867752075195
-12.85,59.872,10,5,115,203,16,3,0,0,26.906511306762695
-13.61,59.638,16,4,105,182,17,6,0,1,26.634788513183594
-15.59,58.852,15,1,115,187,8,10,0,0,26.27532196044922
-16.23,58.633,12,0,86,251,11,14,0,0,26.27532196044922
-2.807,61.203,10,2,146,140,43,3,0,0,28.184139251708984
19.193,66.29,12,4,152,136,5,0,0,0,26.89432144165039
21.472,67.298,40,0,125,120,1,16,0,0,26.727182388305664
9.582,72.763,31,2,105,183,19,35,0,0,28.25244140625
-13.22,65.617,10,1,114,133,32,10,0,0,26.463438034057617
59.6532,-22.77,135,0,91,2,176,0,0,0,10.068809509277344
59.6532,-22.77,135,0,99,2,167,0,0,0,10.068809509277344
53.867,-21.1328,137,0,118,2,344,0,0,0,11.921963691711426
63.4832,-0.0667,8,0,6,1,262,0,0,0,8.124773025512695
42.467,-54.9,29,0,115,15,264,0,0,0,15.399136543273926
42.467,-54.9,29,0,121,15,248,0,0,0,15.399136543273926
23.767,-92.47,7,0,63,231,33,2,0,0,26.518325805664062
32.6,-69.5,66,0,99,129,64,1,0,2,23.145679473876953
32.6,-69.5,74,0,91,126,50,0,0,2,23.145679473876953
32.283,-65.12,7,0,59,174,46,23,0,1,23.12775421142578
32.217,-64.72,25,0,42,222,45,17,0,1,23.179166793823242
29.283,-79.92,13,2,192,296,5,9,0,0,25.254064559936523
29.283,-79.92,13,0,199,309,5,9,0,0,25.254064559936523
38.917,-57.13,7,0,141,42,169,0,0,0,22.041852951049805
34.667,-61.45,56,0,97,157,97,2,0,2,22.5838680267334
40.767,-64.6,6,0,158,16,232,0,0,0,17.670019149780273
40.767,-64.6,6,0,158,16,232,0,0,0,17.670019149780273
12.4,-77.77,0,0,97,215,37,1,0,0,27.61294937133789
8.233,-37.87,2,0,50,311,4,5,0,0,26.915037155151367
31.383,-11.62,74,0,67,250,102,8,0,2,19.41360855102539
31.383,-11.62,181,0,96,152,76,8,0,2,19.41360855102539
22.967,-38.2,4,0,31,443,21,0,0,0,24.37848663330078
23.033,-43.8,0,0,38,202,19,49,0,0,24.526273727416992
31.433,-64.17,26,0,94,168,59,13,0,1,23.179166793823242
31.433,-64.17,41,0,150,254,72,20,0,2,23.179166793823242
17.0,-74.4,4,0,63,235,19,10,0,0,27.649337768554688
24.283,-53.07,6,0,18,446,11,0,0,0,25.493825912475586
-22.98,7.017,10,0,99,96,125,8,0,0,19.062725067138672
1.75,-16.05,6,0,239,281,43,10,0,0,26.599966049194336
