Latitude,Longitude,symbiont-barren spinose,undetermined non-spinose,symbiont-facultative non-spinose,symbiont-obligate spinose,symbiont-barren non-spinose,symbiont-bearing spinose,symbiont-bearing non-spinose,symbiont-facultative spinose
8.983,51.733,0.193460491,0,0.471389646,0.264305176,0.024523161,0.013623979,0,0
44.3498,-30.267,0.1465452675,0,0.2325823045,0.2302263375,0.328781893,0.020288066,0,0
50.9332,-41.75,0.21937322,0,0.263532763,0.012820512,0.490028491,0,0,0
35.7167,-67.3333,0.234513274,0,0.272123894,0.289823009,0.163716814,0.002212389,0,0.002212389
36.1333,-68.9167,0.176219753,0,0.341658929,0.2345736345,0.1656366415,0.0028339045,0,0.0028339045
36.15,-69.15,0.133479213,0,0.258205688,0.411378556,0.159737419,0.002188184,0,0
35.7833,-68.9333,0.17617866,0,0.29032258,0.275434243,0.215880895,0,0,0.00248139
36.2167,-69.4,0.160756501,0,0.274231678,0.342789599,0.205673758,0,0,0
31.8333,-74.35,0.0687186895,0,0.2370578035,0.4653236995,0.1773025045,0.001963391,0,0.001963391
31.65,-75.35,0.0215727293333333,0,0.179091142,0.630440313333333,0.133803407,0.0169230106666667,0,0.001283697
37.65,-72.95,0.0303161606666667,0,0.548477594666667,0.0646215673333333,0.347265073,0,0,0
23.9333,-75.75,0,0,0.1054490495,0.6857871845,0.0664947645,0.1215757225,0,0
24.8,-75.9333,0.005830904,0,0.131195336,0.644314871,0.023323615,0.174927114,0,0
30.7833,-67.6667,0.142840982,0,0.11627072,0.5857225415,0.137601446,0.002728592,0,0.004959176
35.7667,-69.0833,0.0617792005,0,0.4007627575,0.4000602895,0.1303775945,0,0,0.0052151035
39.1332,-42.65,0.069444444,0,0.400793652,0.158730159,0.347222222,0.001984127,0,0
33.333,-27.367,0.11440678,0,0.186440678,0.46398305,0.171610169,0.025423729,0,0.006355932
5.2833,-17.0667,0.013157894,0,0.210526315,0.062499999,0.674342106,0.032894737,0,0
3.65,-18.3,0.012412983,0,0.422384440333333,0.121762570333333,0.410805321666667,0.0318075553333333,0,0
-0.05,-24.1667,0.045009785,0,0.426614481,0.191780822,0.31702544,0.019569471,0,0
-0.7667,-26.0333,0.0212530865,0,0.261944445,0.516728395,0.177962963,0.008469136,0,0
20.7332,-59.2,0.002487562,0,0.064676617,0.825870646,0.094527363,0.004975124,0,0
-14.03333333,62.5,0.02141628,0.00304878,0.3057945535,0.60855903,0.0306000295,0.018348795,0,0
-25.41666667,70.4,0.039909876,0,0.181689985,0.63023886,0.100613695,0.0307950465,0,0
