Sample,Sample ID,Flag,Device,Latitude,Longitude,Water depth,Ocean,Sample depth top,Sample depth bottom,Sample depth average,Author,Journal,Year,Publication doi,Resource doi,Comment,Database,Type,Count min,Count,D. anfracta,G. cavernula,G. crassaformis,G. hirsuta,G. cultrata,G. scitula,G. truncatulinoides,G. tumida,G. ungulata,G. eastropacia,G. inflata,N. dutertrei,N. incompta,N. pachyderma,P. obliquiloculata,G. conglomerata,G. hexagonus,B. pumilio,G. bulloides,G. falconensis,G. conglobatus,G. ruber ruber,G. ruber albus,T. sacculifer,G. tenellus,O. universa,B. digitata,G. siphonifera,G. calida,G. adamsi,T. quinqueloba,T. humilis,G. rubescens,S. dehiscens,C. nitida,G. glutinata,G. uvula,G. minuta,T. iota,H. pelagica,H. digitata
A15-559F,CLIMAP_0001,1,Piston,8.983,51.733,3797,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"coordinates corrected via depth control, G. truncatulinoides subspecies set to N/A",33,1,,367,0,0,0,0,28,0,0,6,0,0,0,11,0,1,2,0,2,0,70,2,0,0,80,7,0,2,1,4,2,0,0,0,4,1,0,132,0,0,0,0,0
A152-84,CLIMAP_0002,0,Piston,44.3498,-30.267,2750,7,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,486,0,0,0,16,0,41,17,0,0,0,67,3,84,8,0,0,0,0,61,64,0,2,28,2,4,4,0,4,8,0,10,0,6,0,0,37,0,0,0,0,0
A157-3,CLIMAP_0004,0,Piston,50.9332,-41.75,4025,7,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,702,0,0,0,14,1,0,13,0,0,0,162,8,223,94,0,0,0,0,150,3,1,0,4,1,0,0,0,0,0,0,4,0,0,0,0,14,0,0,0,0,0
A164-13,CLIMAP_0005,1,Piston,35.7167,-67.3333,5103,7,0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,sample depth information from duplicate sample,13,1,,452,0,0,0,27,15,0,18,18,0,0,45,34,11,0,22,0,0,0,106,5,3,0,76,36,0,1,0,8,2,0,0,1,0,1,0,7,0,0,0,0,0
A164-15,CLIMAP_0006,0,Piston,36.1333,-68.9167,4624,7,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,374,0,0,1,10,21,0,11,20,0,0,63,31,32,1,19,0,0,0,65,8,2,0,53,15,0,2,0,7,0,0,0,1,0,1,0,1,0,0,0,0,0
A164-16,CLIMAP_0007,1,Piston,36.15,-69.15,4624,7,0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,sample depth information from duplicate sample,13,1,,457,0,0,0,17,3,0,33,6,0,0,31,36,17,0,14,0,0,0,59,16,3,0,106,42,0,7,2,11,3,0,0,0,0,1,0,34,0,0,0,0,0
A164-17,CLIMAP_0008,1,Piston,35.7833,-68.9333,4824,7,0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,sample depth information from duplicate sample,13,1,,403,0,0,0,20,14,0,22,17,0,0,61,31,27,1,6,0,0,0,69,6,4,3,65,25,0,1,2,5,2,0,0,1,0,0,0,5,0,0,0,0,0
A164-23,CLIMAP_0009,1,Piston,36.2167,-69.4,4512,7,0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,sample depth information from duplicate sample,13,1,,423,0,0,1,31,10,0,25,7,0,0,43,26,23,0,18,0,0,0,67,11,3,1,81,36,0,3,1,10,0,0,0,0,0,0,0,19,0,0,0,0,0
A167-12,CLIMAP_0010,0,Piston,31.8333,-74.35,4700,7,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,519,0,0,0,23,20,0,59,19,0,0,33,43,0,0,18,0,0,0,34,10,16,0,167,19,0,0,1,23,2,0,0,1,0,1,0,21,0,0,0,0,0
A167-13,CLIMAP_0011,0,Piston,31.65,-75.35,2880,7,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,779,0,0,0,17,25,1,83,5,0,0,5,18,6,0,27,0,0,0,13,69,6,24,275,65,10,2,0,41,13,0,0,3,5,0,1,52,0,0,0,0,0
A167-1TW,CLIMAP_0013,0,Trigger,37.65,-72.95,2706,7,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,458,0,0,0,3,30,0,3,3,0,0,139,29,180,6,8,0,0,0,14,2,13,0,5,6,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
A179-13,CLIMAP_0014,0,Piston,23.9333,-75.75,1847,7,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,367,0,0,0,0,0,1,23,0,0,0,0,2,0,0,0,0,0,0,0,1,4,8,191,12,33,5,0,22,5,0,0,0,11,0,2,34,0,0,0,0,0
A179-15,CLIMAP_0015,1,Trigger,24.8,-75.9333,3109,7,0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,sample depth information from duplicate sample,13,1,,343,0,0,0,1,1,0,7,0,0,0,0,3,0,0,0,0,0,0,1,0,3,12,157,19,39,4,0,22,4,0,0,0,21,0,0,41,0,0,0,1,0
A179-20,CLIMAP_0016,0,Trigger,30.7833,-67.6667,4993,7,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,405,0,0,0,15,0,0,41,0,0,0,32,7,1,0,1,0,0,0,55,2,4,1,200,9,1,5,1,11,0,0,0,2,0,0,0,9,0,0,0,0,0
A179-24,CLIMAP_0017,1,Trigger,35.7667,-69.0833,4663,7,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,sample depth information from duplicate sample,3,1,,554,0,0,0,20,13,0,34,6,0,0,85,42,14,1,33,0,0,0,32,6,5,4,89,58,0,12,2,30,17,0,0,3,0,0,0,46,0,0,0,0,0
A180-13,CLIMAP_0019,0,Piston,39.1332,-42.65,4880,7,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,504,0,0,0,42,10,0,38,1,0,0,139,22,92,2,12,0,0,0,35,2,4,0,52,15,1,2,0,2,3,0,0,0,0,0,0,19,0,0,0,0,0
A180-20,CLIMAP_0020,1,Piston,33.333,-27.367,4040,7,0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,sample depth information from duplicate sample,13,1,,472,0,0,0,14,2,21,31,0,0,0,43,0,15,0,0,0,0,0,52,76,1,2,110,14,12,3,1,11,2,0,1,3,0,0,0,43,0,0,0,0,0
A180-69,CLIMAP_0021,0,Trigger,5.2833,-17.0667,5100,7,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,304,0,0,6,1,7,1,2,191,0,0,2,27,3,1,25,0,0,0,2,0,0,0,7,5,2,2,2,3,2,0,0,0,1,7,0,3,0,0,0,0,0
A180-70,CLIMAP_0022,0,Trigger,3.65,-18.3,4846,7,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,G. truncatulinoides subspecies set to N/A,1,1,,461,0,0,12,0,86,0,0,173,0,0,0,65,0,1,52,0,0,0,0,0,2,0,10,34,1,1,4,5,0,0,1,0,0,12,0,2,0,0,0,0,0
A180-74,CLIMAP_0023,0,Piston,-0.05,-24.1667,3329,11,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,511,0,0,6,0,0,1,56,0,0,0,42,125,97,2,0,0,0,0,23,0,1,53,0,39,1,0,0,5,0,0,0,0,9,0,0,51,0,0,0,0,0
A180-76,CLIMAP_0024,0,Piston,-0.7667,-26.0333,3512,11,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,405,0,0,10,0,1,0,33,2,0,0,22,57,87,0,6,0,0,0,16,1,0,4,85,31,0,0,0,10,0,0,0,0,2,0,0,31,0,0,0,0,0
A181-9,CLIMAP_0026,1,Piston,20.7332,-59.2,5215,7,0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,sample depth information from duplicate sample,13,1,,402,0,0,2,0,4,0,17,19,0,0,0,21,0,0,1,0,0,0,0,0,40,4,213,60,0,1,0,13,1,0,1,0,0,2,0,0,0,0,0,0,0
AR1-119,CLIMAP_0028,0,Piston,-14.03333333,62.5,3614,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"Water depth taken from ETOPO, Coordinates from a secondary source",1,1,,326,0,0,0,0,12,0,2,1,0,0,0,9,4,0,6,0,5,0,7,0,7,0,111,43,6,2,1,26,9,0,0,0,0,0,0,71,0,0,0,0,0
AR1-144,CLIMAP_0030,1,Piston,-25.41666667,70.4,3166,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"G. ruber pink abundances moved to unidentified, Water depth taken from ETOPO, Coordinates from a secondary source",1,1,,369,0,0,0,2,4,7,31,0,0,0,14,0,0,1,1,0,0,0,5,4,4,0,162,32,6,5,3,33,2,0,0,0,6,0,3,37,0,0,0,0,0
AR2-113,CLIMAP_0041,0,Piston,-10.35,58.51666667,3553,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies corrected, Water depth taken from ETOPO, Coordinates from a secondary source",33,1,,271,0,0,0,0,4,2,0,0,0,0,0,30,0,0,9,3,9,0,14,2,3,0,72,40,0,7,2,17,5,0,0,0,0,0,0,50,0,0,0,0,0
AR2-117,CLIMAP_0042,0,Piston,-13.68333333,59.68333333,3922,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"Water depth taken from ETOPO, Coordinates from a secondary source",33,1,,225,0,0,0,1,4,1,1,1,0,0,0,18,0,0,15,0,3,0,8,1,2,0,65,32,0,3,5,16,5,0,0,0,0,1,1,42,0,0,0,0,0
AR2-128,CLIMAP_0043,0,Piston,-44.63333333,70.96666667,3565,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"T. sacculifer subspecies set to N/A, Water depth taken from ETOPO, Coordinates from a secondary source",1,1,,260,0,0,0,1,0,0,10,0,0,0,58,0,35,64,0,0,0,0,79,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,0,0,0,0,0
AR2-136,CLIMAP_0044,0,Piston,-31.51666667,114.3833333,3903,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"Water depth taken from ETOPO, Coordinates from a secondary source",33,1,,336,0,0,0,2,21,4,5,3,0,0,62,52,2,0,1,0,0,0,10,16,3,0,73,18,2,0,2,1,4,0,0,0,0,0,0,54,0,0,0,0,0
AR3R35,CLIMAP_0046,0,Piston,-39.73333333,67.88333333,4157,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"T. sacculifer subspecies set to N/A, Water depth taken from ETOPO, Coordinates from a secondary source",1,1,,211,0,0,0,1,0,1,9,0,0,0,82,0,65,4,0,0,0,0,31,6,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0
AR3R38,CLIMAP_0047,0,Piston,-31.26666667,113.9333333,4911,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"Water depth taken from ETOPO, Coordinates from a secondary source",1,1,,368,0,0,0,3,12,0,11,3,0,0,193,54,4,0,1,0,1,0,6,10,0,0,33,6,1,1,0,1,1,0,1,0,0,0,0,0,0,0,25,0,0
