Sample,Sample ID,Flag,Device,Latitude,Longitude,Water depth,Ocean,Sample depth top,Sample depth bottom,Sample depth average,Author,Journal,Year,Publication doi,Resource doi,Comment,Database,Type,Count min,Count,D. anfracta,G. cavernula,G. crassaformis,G. hirsuta,G. cultrata,G. scitula,G. truncatulinoides,G. tumida,G. ungulata,G. theyeri,G. inflata,N. dutertrei,N. incompta,N. pachyderma,P. obliquiloculata,G. conglomerata,G. hexagonus,B. pumilio,G. bulloides,G. falconensis,G. conglobatus,G. ruber ruber,G. ruber albus,T. sacculifer,G. tenellus,O. universa,B. digitata,G. siphonifera,G. calida,G. adamsi,T. quinqueloba,T. humilis,G. rubescens,S. dehiscens,C. nitida,G. glutinata,G. uvula,G. minuta,T. iota,H. pelagica,H. digitata,SST
A15-559F,CLIMAP_0001,1,Piston,8.983,51.733,3797.0,129.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"coordinates corrected via depth control, G. truncatulinoides subspecies set to N/A",33,1,,367.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,6.0,0.0,0.0,0.0,11.0,0.0,1.0,2.0,0.0,2.0,0.0,70.0,2.0,0.0,0.0,80.0,7.0,0.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,26.015491485595703
A152-84,CLIMAP_0002,0,Piston,44.3498,-30.267,2750.0,7.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,486.0,0.0,0.0,0.0,16.0,0.0,41.0,17.0,0.0,0.0,0.0,67.0,3.0,84.0,8.0,0.0,0.0,0.0,0.0,61.0,64.0,0.0,2.0,28.0,2.0,4.0,4.0,0.0,4.0,8.0,0.0,10.0,0.0,6.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,16.117162704467773
A157-3,CLIMAP_0004,0,Piston,50.9332,-41.75,4025.0,7.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,702.0,0.0,0.0,0.0,14.0,1.0,0.0,13.0,0.0,0.0,0.0,162.0,8.0,223.0,94.0,0.0,0.0,0.0,0.0,150.0,3.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,10.92326545715332
A164-13,CLIMAP_0005,1,Piston,35.7167,-67.3333,5103.0,7.0,0.0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,sample depth information from duplicate sample,13,1,,452.0,0.0,0.0,0.0,27.0,15.0,0.0,18.0,18.0,0.0,0.0,45.0,34.0,11.0,0.0,22.0,0.0,0.0,0.0,106.0,5.0,3.0,0.0,76.0,36.0,0.0,1.0,0.0,8.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,22.17042350769043
A164-15,CLIMAP_0006,0,Piston,36.1333,-68.9167,4624.0,7.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,374.0,0.0,0.0,1.0,10.0,21.0,0.0,11.0,20.0,0.0,0.0,63.0,31.0,32.0,1.0,19.0,0.0,0.0,0.0,65.0,8.0,2.0,0.0,53.0,15.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.7805118560791
A164-16,CLIMAP_0007,1,Piston,36.15,-69.15,4624.0,7.0,0.0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,sample depth information from duplicate sample,13,1,,457.0,0.0,0.0,0.0,17.0,3.0,0.0,33.0,6.0,0.0,0.0,31.0,36.0,17.0,0.0,14.0,0.0,0.0,0.0,59.0,16.0,3.0,0.0,106.0,42.0,0.0,7.0,2.0,11.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,21.59381103515625
A164-17,CLIMAP_0008,1,Piston,35.7833,-68.9333,4824.0,7.0,0.0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,sample depth information from duplicate sample,13,1,,403.0,0.0,0.0,0.0,20.0,14.0,0.0,22.0,17.0,0.0,0.0,61.0,31.0,27.0,1.0,6.0,0.0,0.0,0.0,69.0,6.0,4.0,3.0,65.0,25.0,0.0,1.0,2.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,22.10964584350586
A164-23,CLIMAP_0009,1,Piston,36.2167,-69.4,4512.0,7.0,0.0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,sample depth information from duplicate sample,13,1,,423.0,0.0,0.0,1.0,31.0,10.0,0.0,25.0,7.0,0.0,0.0,43.0,26.0,23.0,0.0,18.0,0.0,0.0,0.0,67.0,11.0,3.0,1.0,81.0,36.0,0.0,3.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,21.59381103515625
A167-12,CLIMAP_0010,0,Piston,31.8333,-74.35,4700.0,7.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,519.0,0.0,0.0,0.0,23.0,20.0,0.0,59.0,19.0,0.0,0.0,33.0,43.0,0.0,0.0,18.0,0.0,0.0,0.0,34.0,10.0,16.0,0.0,167.0,19.0,0.0,0.0,1.0,23.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,24.407072067260742
A167-13,CLIMAP_0011,0,Piston,31.65,-75.35,2880.0,7.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,779.0,0.0,0.0,0.0,17.0,25.0,1.0,83.0,5.0,0.0,0.0,5.0,18.0,6.0,0.0,27.0,0.0,0.0,0.0,13.0,69.0,6.0,24.0,275.0,65.0,10.0,2.0,0.0,41.0,13.0,0.0,0.0,3.0,5.0,0.0,1.0,52.0,0.0,0.0,0.0,0.0,0.0,24.79120635986328
