Sample,Sample ID,Flag,Device,Latitude,Longitude,Water depth,Ocean,Sample depth top,Sample depth bottom,Sample depth average,Author,Journal,Year,Publication doi,Resource doi,Comment,Database,Type,Count min,Count,D. anfracta,G. cavernula,G. crassaformis,G. hirsuta,G. cultrata,G. scitula,G. truncatulinoides,G. tumida,G. ungulata,G. eastropacia,G. inflata,N. dutertrei,N. incompta,N. pachyderma,P. obliquiloculata,G. conglomerata,G. hexagonus,B. pumilio,G. bulloides,G. falconensis,G. conglobatus,G. ruber ruber,G. ruber albus,T. sacculifer,G. tenellus,O. universa,B. digitata,G. siphonifera,G. calida,G. adamsi,T. quinqueloba,T. humilis,G. rubescens,S. dehiscens,C. nitida,G. glutinata,G. uvula,G. minuta,T. iota,H. pelagica,H. digitata
A15-559F,CLIMAP_0001,1,Piston,8.983,51.733,3797,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"coordinates corrected via depth control, G. truncatulinoides subspecies set to N/A",33,1,,367,0,0,0,0,0.076294278,0,0,0.016348774,0,0,0,0.029972752,0,0.002724796,0.005449591,0,0.005449591,0,0.190735695,0.005449591,0,0,0.217983651,0.019073569,0,0.005449591,0.002724796,0.010899183,0.005449591,0,0,0,0.010899183,0.002724796,0,0.359673025,0,0,0,0,0
A152-84,CLIMAP_0002,0,Piston,44.3498,-30.267,2750,7,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,486,0,0,0,0.032921811,0,0.08436214,0.034979424,0,0,0,0.137860082,0.00617284,0.172839506,0.016460905,0,0,0,0,0.125514403,0.131687243,0,0.004115226,0.057613169,0.004115226,0.008230453,0.008230453,0,0.008230453,0.016460905,0,0.020576132,0,0.012345679,0,0,0.076131687,0,0,0,0,0
A157-3,CLIMAP_0004,0,Piston,50.9332,-41.75,4025,7,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,702,0,0,0,0.01994302,0.001424501,0,0.018518519,0,0,0,0.230769231,0.011396011,0.317663818,0.133903134,0,0,0,0,0.213675214,0.004273504,0.001424501,0,0.005698006,0.001424501,0,0,0,0,0,0,0.005698006,0,0,0,0,0.01994302,0,0,0,0,0
A164-13,CLIMAP_0005,1,Piston,35.7167,-67.3333,5103,7,0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,sample depth information from duplicate sample,13,1,,452,0,0,0,0.059734513,0.033185841,0,0.039823009,0.039823009,0,0,0.099557522,0.075221239,0.024336283,0,0.048672566,0,0,0,0.234513274,0.011061947,0.006637168,0,0.168141593,0.079646018,0,0.002212389,0,0.017699115,0.004424779,0,0,0.002212389,0,0.002212389,0,0.015486726,0,0,0,0,0
A164-15,CLIMAP_0006,0,Piston,36.1333,-68.9167,4624,7,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,374,0,0,0.002673797,0.026737968,0.056149733,0,0.029411765,0.053475936,0,0,0.168449198,0.082887701,0.085561497,0.002673797,0.050802139,0,0,0,0.173796791,0.021390374,0.005347594,0,0.14171123,0.040106952,0,0.005347594,0,0.018716578,0,0,0,0.002673797,0,0.002673797,0,0.002673797,0,0,0,0,0
A164-16,CLIMAP_0007,1,Piston,36.15,-69.15,4624,7,0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,sample depth information from duplicate sample,13,1,,457,0,0,0,0.037199125,0.006564551,0,0.072210066,0.013129103,0,0,0.067833698,0.078774617,0.037199125,0,0.030634573,0,0,0,0.129102845,0.035010941,0.006564551,0,0.231947484,0.09190372,0,0.015317287,0.004376368,0.024070022,0.006564551,0,0,0,0,0.002188184,0,0.074398249,0,0,0,0,0
A164-17,CLIMAP_0008,1,Piston,35.7833,-68.9333,4824,7,0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,sample depth information from duplicate sample,13,1,,403,0,0,0,0.049627792,0.034739454,0,0.054590571,0.042183623,0,0,0.151364764,0.076923077,0.066997519,0.00248139,0.014888337,0,0,0,0.171215881,0.014888337,0.009925558,0.007444169,0.161290323,0.062034739,0,0.00248139,0.004962779,0.012406948,0.004962779,0,0,0.00248139,0,0,0,0.012406948,0,0,0,0,0
A164-23,CLIMAP_0009,1,Piston,36.2167,-69.4,4512,7,0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,sample depth information from duplicate sample,13,1,,423,0,0,0.002364066,0.073286052,0.023640662,0,0.059101655,0.016548463,0,0,0.101654846,0.061465721,0.054373522,0,0.042553191,0,0,0,0.158392435,0.026004728,0.007092199,0.002364066,0.191489362,0.085106383,0,0.007092199,0.002364066,0.023640662,0,0,0,0,0,0,0,0.044917258,0,0,0,0,0
A167-12,CLIMAP_0010,0,Piston,31.8333,-74.35,4700,7,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,519,0,0,0,0.044315992,0.038535645,0,0.113680154,0.036608863,0,0,0.063583815,0.082851638,0,0,0.034682081,0,0,0,0.065510597,0.019267823,0.030828516,0,0.32177264,0.036608863,0,0,0.001926782,0.044315992,0.003853565,0,0,0.001926782,0,0.001926782,0,0.040462428,0,0,0,0,0
A167-13,CLIMAP_0011,0,Piston,31.65,-75.35,2880,7,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,779,0,0,0,0.02182285,0.032092426,0.001283697,0.106546855,0.006418485,0,0,0.006418485,0.023106547,0.007702182,0,0.03465982,0,0,0,0.016688062,0.088575096,0.007702182,0.030808729,0.353016688,0.083440308,0.01283697,0.002567394,0,0.052631579,0.016688062,0,0,0.003851091,0.006418485,0,0.001283697,0.066752246,0,0,0,0,0
A167-1TW,CLIMAP_0013,0,Trigger,37.65,-72.95,2706,7,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,458,0,0,0,0.006550218,0.065502183,0,0.006550218,0.006550218,0,0,0.30349345,0.063318777,0.3930131,0.013100437,0.017467249,0,0,0,0.030567686,0.004366812,0.028384279,0,0.010917031,0.013100437,0,0.006550218,0,0,0,0,0,0,0,0,0,0.019650655,0,0,0,0,0
A179-13,CLIMAP_0014,0,Piston,23.9333,-75.75,1847,7,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,367,0,0,0,0,0,0.002724796,0.0626703,0,0,0,0,0.005449591,0,0,0,0,0,0,0,0.002724796,0.010899183,0.021798365,0.520435967,0.032697548,0.089918256,0.013623978,0,0.059945504,0.013623978,0,0,0,0.029972752,0,0.005449591,0.092643052,0,0,0,0,0
A179-15,CLIMAP_0015,1,Trigger,24.8,-75.9333,3109,7,0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,sample depth information from duplicate sample,13,1,,343,0,0,0,0.002915452,0.002915452,0,0.020408163,0,0,0,0,0.008746356,0,0,0,0,0,0,0.002915452,0,0.008746356,0.034985423,0.457725948,0.055393586,0.113702624,0.011661808,0,0.064139942,0.011661808,0,0,0,0.06122449,0,0,0.119533528,0,0,0,0.002915452,0
A179-20,CLIMAP_0016,0,Trigger,30.7833,-67.6667,4993,7,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,405,0,0,0,0.037037037,0,0,0.101234568,0,0,0,0.079012346,0.017283951,0.002469136,0,0.002469136,0,0,0,0.135802469,0.004938272,0.009876543,0.002469136,0.49382716,0.022222222,0.002469136,0.012345679,0.002469136,0.027160494,0,0,0,0.004938272,0,0,0,0.022222222,0,0,0,0,0
A179-24,CLIMAP_0017,1,Trigger,35.7667,-69.0833,4663,7,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,sample depth information from duplicate sample,3,1,,554,0,0,0,0.036101083,0.023465704,0,0.061371841,0.010830325,0,0,0.153429603,0.075812274,0.025270758,0.001805054,0.059566787,0,0,0,0.057761733,0.010830325,0.009025271,0.007220217,0.160649819,0.104693141,0,0.02166065,0.003610108,0.054151625,0.030685921,0,0,0.005415162,0,0,0,0.083032491,0,0,0,0,0
A180-13,CLIMAP_0019,0,Piston,39.1332,-42.65,4880,7,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,504,0,0,0,0.083333333,0.01984127,0,0.075396825,0.001984127,0,0,0.275793651,0.043650794,0.182539683,0.003968254,0.023809524,0,0,0,0.069444444,0.003968254,0.007936508,0,0.103174603,0.029761905,0.001984127,0.003968254,0,0.003968254,0.005952381,0,0,0,0,0,0,0.037698413,0,0,0,0,0
A180-20,CLIMAP_0020,1,Piston,33.333,-27.367,4040,7,0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,sample depth information from duplicate sample,13,1,,472,0,0,0,0.029661017,0.004237288,0.044491525,0.065677966,0,0,0,0.091101695,0,0.031779661,0,0,0,0,0,0.110169492,0.161016949,0.002118644,0.004237288,0.233050847,0.029661017,0.025423729,0.006355932,0.002118644,0.023305085,0.004237288,0,0.002118644,0.006355932,0,0,0,0.091101695,0,0,0,0,0
A180-69,CLIMAP_0021,0,Trigger,5.2833,-17.0667,5100,7,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,304,0,0,0.019736842,0.003289474,0.023026316,0.003289474,0.006578947,0.628289474,0,0,0.006578947,0.088815789,0.009868421,0.003289474,0.082236842,0,0,0,0.006578947,0,0,0,0.023026316,0.016447368,0.006578947,0.006578947,0.006578947,0.009868421,0.006578947,0,0,0,0.003289474,0.023026316,0,0.009868421,0,0,0,0,0
A180-70,CLIMAP_0022,0,Trigger,3.65,-18.3,4846,7,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,G. truncatulinoides subspecies set to N/A,1,1,,461,0,0,0.026030369,0,0.186550976,0,0,0.37527115,0,0,0,0.140997831,0,0.002169197,0.112798265,0,0,0,0,0,0.004338395,0,0.021691974,0.073752711,0.002169197,0.002169197,0.00867679,0.010845987,0,0,0.002169197,0,0,0.026030369,0,0.004338395,0,0,0,0,0
A180-74,CLIMAP_0023,0,Piston,-0.05,-24.1667,3329,11,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,511,0,0,0.011741683,0,0,0.001956947,0.109589041,0,0,0,0.082191781,0.244618395,0.189823875,0.003913894,0,0,0,0,0.045009785,0,0.001956947,0.1037182,0,0.076320939,0.001956947,0,0,0.009784736,0,0,0,0,0.017612524,0,0,0.099804305,0,0,0,0,0
A180-76,CLIMAP_0024,0,Piston,-0.7667,-26.0333,3512,11,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,405,0,0,0.024691358,0,0.002469136,0,0.081481481,0.004938272,0,0,0.054320988,0.140740741,0.214814815,0,0.014814815,0,0,0,0.039506173,0.002469136,0,0.009876543,0.209876543,0.07654321,0,0,0,0.024691358,0,0,0,0,0.004938272,0,0,0.07654321,0,0,0,0,0
A181-9,CLIMAP_0026,1,Piston,20.7332,-59.2,5215,7,0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,sample depth information from duplicate sample,13,1,,402,0,0,0.004975124,0,0.009950249,0,0.042288557,0.047263682,0,0,0,0.052238806,0,0,0.002487562,0,0,0,0,0,0.099502488,0.009950249,0.529850746,0.149253731,0,0.002487562,0,0.032338308,0.002487562,0,0.002487562,0,0,0.004975124,0,0,0,0,0,0,0
AR1-119,CLIMAP_0028,0,Piston,-14.03333333,62.5,3614,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"Water depth taken from ETOPO, Coordinates from a secondary source",1,1,,326,0,0,0,0,0.036809816,0,0.006134969,0.003067485,0,0,0,0.027607362,0.012269939,0,0.018404908,0,0.015337423,0,0.021472393,0,0.021472393,0,0.340490798,0.13190184,0.018404908,0.006134969,0.003067485,0.079754601,0.027607362,0,0,0,0,0,0,0.217791411,0,0,0,0,0
