Event,Data_Source,Depth [m],Latitude,Longitude,symbiont-barren non-spinose,symbiont-barren spinose,symbiont-bearing non-spinose,symbiont-bearing spinose,symbiont-facultative non-spinose,symbiont-facultative spinose,symbiont-obligate spinose,undetermined non-spinose
80KB11,margo,0.89,36.5,24.3,145,89,0,0,31,0,2,0
A015558,margo,0.58,8.983333333,51.73333333,27,41,0,13,130,0,24,0
BC15,margo,0.7725,41.95,5.93,28,146,0,0,32,0,0,0
BC15,margo,0.9475,41.95,5.93,33,130,0,0,10,0,2,0
BC15,margo,1.0925,41.95,5.93,41,185,0,0,32,0,2,0
BS79-22,margo,2.85,38.231,14.23,95,45,0,3,59,0,28,0
BS79-22,margo,2.88,38.231,14.23,135,97,0,2,104,0,41,0
BS79-22,margo,2.91,38.231,14.23,197,146,0,1,119,0,88,0
BS79-22,margo,2.94,38.231,14.23,81,57,0,0,41,0,37,0
BS79-22,margo,2.97,38.231,14.23,73,61,0,0,55,0,47,0
BS79-22,margo,3,38.231,14.23,96,68,0,0,59,0,51,0
BS79-22,margo,3.03,38.231,14.23,170,116,0,0,103,0,72,0
BS79-22,margo,3.06,38.231,14.23,62,47,0,0,39,0,36,0
BS79-22,margo,3.09,38.231,14.23,98,65,0,0,62,0,64,0
BS79-22,margo,3.12,38.231,14.23,137,70,0,0,91,0,77,0
BS79-22,margo,3.15,38.231,14.23,124,96,0,0,82,0,101,0
BS79-22,margo,3.18,38.231,14.23,139,112,0,2,113,0,62,0
BS79-22,margo,3.21,38.231,14.23,74,58,0,0,67,0,38,0
BS79-22,margo,3.24,38.231,14.23,72,55,0,0,57,0,27,0
BS79-22,margo,3.27,38.231,14.23,105,62,0,1,79,0,55,0
BS79-22,margo,3.3,38.231,14.23,84,80,0,0,93,0,62,0
BS79-22,margo,3.33,38.231,14.23,88,84,0,1,104,0,64,0
BS79-22,margo,3.36,38.231,14.23,61,42,0,0,52,0,50,0
BS79-22,margo,3.39,38.231,14.23,95,64,0,0,73,0,63,0
BS79-22,margo,3.42,38.231,14.23,66,52,0,0,42,0,46,0
BS79-22,margo,3.45,38.231,14.23,92,40,0,3,54,0,37,0
BS79-33,margo,3.25,38.157,14.018,138,89,0,0,82,0,54,0
BS79-33,margo,3.3,38.157,14.018,122,107,0,0,71,0,37,0
BS79-33,margo,3.35,38.157,14.018,111,105,0,0,49,0,67,0
BS79-33,margo,3.4,38.157,14.018,125,101,0,0,51,0,43,0
BS79-33,margo,3.45,38.157,14.018,107,109,0,0,43,0,53,0
BS79-33,margo,3.5,38.157,14.018,104,96,0,0,50,0,93,0
BS79-33,margo,3.55,38.157,14.018,104,120,0,0,65,0,55,0
BS79-33,margo,3.6,38.157,14.018,120,88,0,0,74,0,81,0
BS79-33,margo,3.65,38.157,14.018,108,99,0,0,63,0,67,0
BS79-33,margo,3.7,38.157,14.018,114,99,0,0,54,0,75,0
BS79-33,margo,3.75,38.157,14.018,118,91,0,0,77,0,57,0
BS79-33,margo,3.8,38.157,14.018,97,81,0,0,65,0,58,0
BS79-33,margo,3.85,38.157,14.018,93,111,0,0,90,0,45,0
BS79-37,margo,2.4,38.215,13.269,186,168,0,2,72,0,43,0
BS79-37,margo,2.44,38.215,13.269,119,114,0,0,127,0,43,0
BS79-37,margo,2.48,38.215,13.269,122,126,0,0,133,0,27,0
BS79-38,margo,3.975,38.247,13.346,43,90,0,0,79,0,28,0
BS79-38,margo,4.025,38.247,13.346,53,83,0,1,72,0,24,0
BS79-38,margo,4.05,38.247,13.346,65,102,0,0,95,0,23,0
BS79-38,margo,4.075,38.247,13.346,50,73,0,0,75,0,20,0
BS79-38,margo,4.125,38.247,13.346,55,75,0,0,79,0,28,0
BS79-38,margo,4.175,38.247,13.346,40,82,0,2,100,0,15,0
BS79-38,margo,4.2,38.247,13.346,15,26,0,0,14,0,16,0
BS79-38,margo,4.225,38.247,13.346,30,142,0,1,102,0,59,0
BS79-38,margo,4.275,38.247,13.346,39,92,0,0,87,0,29,0
BS79-38,margo,4.325,38.247,13.346,44,111,0,0,91,0,31,0
BS79-38,margo,4.35,38.247,13.346,45,116,0,0,105,0,36,0
BS79-38,margo,4.375,38.247,13.346,44,100,0,0,85,0,45,0
BS79-38,margo,4.4,38.247,13.346,137,78,0,0,43,0,43,0
BS79-38,margo,4.425,38.247,13.346,48,69,0,0,37,0,33,0
BS79-38,margo,4.45,38.247,13.346,143,124,0,1,60,0,51,0
BS79-38,margo,4.475,38.247,13.346,70,100,0,1,59,0,38,0
BS79-38,margo,4.525,38.247,13.346,60,108,0,0,59,0,30,0
BS79-38,margo,4.55,38.247,13.346,104,191,0,0,93,0,35,0
BS79-38,margo,4.575,38.247,13.346,49,95,0,0,62,0,28,0
BS79-38,margo,4.6,38.247,13.346,160,148,0,0,86,0,46,0
BS79-38,margo,4.625,38.247,13.346,46,119,0,2,67,0,33,0
BS79-38,margo,4.65,38.247,13.346,63,155,0,0,82,0,25,0
BS79-38,margo,4.675,38.247,13.346,45,130,0,0,68,0,25,0
BS79-38,margo,4.7,38.247,13.346,47,100,0,0,70,0,52,0
CHAT 1K,margo,40,-41.58333333,-171.5,13,54,0,0,126,,11,0
CHAT 1K,margo,50,-41.58333333,-171.5,18,85,0,0,121,,17,0
