Data_Source,Latitude,Longitude,symbiont-barren non-spinose,symbiont-barren spinose,symbiont-bearing non-spinose,symbiont-obligate spinose,symbiont-bearing spinose,symbiont-facultative non-spinose,undetermined non-spinose,symbiont-facultative spinose,undetermined spinose,SST
341-U1421,59.5072,-144.0456,0,0.0,0.0,0.0,,,,,,6.9818925857543945
341-U1421,59.5072,-144.0456,122,130.0,0.0,0.0,,,,,,6.9818925857543945
341-U1421,59.5072,-144.0456,213,272.0,6.0,0.0,,,,,,6.9818925857543945
climap1,8.983,51.733,82,62.0,,68.0,12.0,79.0,5.0,,,24.338741302490234
climap1,39.267,-36.7,212,75.0,,89.0,2.0,338.0,2.0,,,16.901514053344727
climap1,25.833,-19.3,93,95.0,,82.0,0.0,202.0,11.0,,,17.577739715576172
climap1,-0.05,-24.167,173,32.0,,130.0,1.0,254.0,5.0,,,23.789947509765625
climap1,11.767,-81.1,99,2.0,,295.0,9.0,34.0,42.0,,,
climap1,-43.52,79.867,200,86.0,,0.0,0.0,12.0,0.0,,,9.168190956115723
climap1,-39.72,82.25,90,123.0,,38.0,0.0,42.0,0.0,,,12.809887886047363
climap1,-25.48,110.02,47,28.0,,51.0,8.0,156.0,2.0,,,20.721105575561523
climap1,-19.07,112.75,81,12.0,,121.0,25.0,57.0,8.0,,,24.585906982421875
climap1,-35.78,18.45,114,36.0,,19.0,0.0,116.0,5.0,,,15.450906753540039
climap1,9.133,90.033,70,59.0,,81.0,16.0,118.0,9.0,,,26.291173934936523
climap1,15.857,-74.79,87,9.0,,331.0,12.0,83.0,17.0,,,24.352563858032227
climap1,16.708,-75.44,60,5.0,,381.0,10.0,30.0,18.0,,,24.69573211669922
climap1,15.065,-75.95,91,8.0,,253.0,16.0,44.0,42.0,,,24.69573211669922
climap1,13.178,-79.83,76,8.0,,294.0,28.0,43.0,23.0,,,24.100738525390625
climap1,-10.92,88.315,67,11.0,,157.0,25.0,59.0,8.0,,,24.86353302001953
climap1,-0.833,89.95,472,260.0,,1381.0,67.0,633.0,244.0,,,26.52445411682129
climap1,-1.467,90.167,69,24.0,,133.0,16.0,56.0,25.0,,,26.7143611907959
climap1,-35.52,44.75,89,33.0,,32.0,0.0,138.0,2.0,,,15.411266326904297
climap1,-39.02,47.883,1024,816.0,,32.0,1.0,468.0,1.0,,,15.22911548614502
climap1,15.033,66.097,70,16.0,,162.0,4.0,77.0,2.0,,,24.99570083618164
climap1,-31.5,32.607,45,23.0,,83.0,6.0,132.0,8.0,,,19.915237426757812
climap1,-32.11,36.01,57,41.0,,77.0,2.0,109.0,8.0,,,19.332780838012695
climap1,-13.22,65.617,87,11.0,,140.0,11.0,41.0,13.0,,,24.721446990966797
climap1,8.65,58.567,136,31.0,,67.0,7.0,61.0,6.0,,,25.018091201782227
climap1,10.25,57.183,80,32.0,,39.0,6.0,135.0,9.0,,,24.314321517944336
climap1,-29.63,32.867,52,8.0,,96.0,9.0,124.0,11.0,,,
climap1,-28.43,43.783,92,27.0,,95.0,25.0,55.0,4.0,,,21.469514846801758
climap1,0.2,-39.9,106,2.0,,211.0,2.0,79.0,5.0,,,24.30288314819336
climap1,15.4,-43.4,153,0.0,,612.0,53.0,50.0,16.0,,,22.491422653198242
climap1,5.067,-36.8,37,10.0,,396.0,6.0,70.0,21.0,,,23.986282348632812
