Event,Data_Source,Depth [m],Latitude,Longitude,symbiont-barren non-spinose,symbiont-barren spinose,symbiont-bearing spinose,symbiont-facultative non-spinose,symbiont-obligate spinose,undetermined non-spinose,symbiont-bearing non-spinose,symbiont-facultative spinose
A15-558,climap1,0.98,8.983,51.733,0.27,0.199,0.039,0.254,0.224,0.016,,
A156-4,climap1,7.5,34.817,-74.683,0.207,0.112,0.063,0.154,0.438,0.028,,
A164-24,climap1,0.75,36.483,-69,0.186,0.045,0.006,0.525,0.218,0.019,,
A164-5,climap1,1.71,37.767,-71.25,0.396,0.097,0.023,0.383,0.094,0.009,,
A164-6,climap1,1.09,38.133,-69.867,0.567,0.157,0,0.205,0.064,0.005,,
A164-61,climap1,1,39.533,-68.783,0.31,0.176,0.023,0.401,0.083,0.008,,
A167-13,climap1,1.4,31.65,-75.35,0.242,0.048,0.035,0.306,0.35,0.019,,
A167-14,climap1,1,31.467,-76.467,0.259,0.04,0.055,0.25,0.368,0.025,,
A172-1,climap1,0.4,17.233,-73.467,0.131,0.023,0.031,0.13,0.66,0.025,,
A172-2,climap1,0.6,16.2,-72.317,0.151,0.022,0.062,0.184,0.556,0.026,,
A173-4,climap1,0.72,33.867,-62.533,0.149,0.047,0.003,0.655,0.149,0,,
A179-15,climap1,1.49,24.8,-75.933,0.168,0.007,0.154,0.032,0.548,0.091,,
A179-15,climap1,1.62,24.8,-75.933,0.18,0.005,0.126,0.049,0.609,0.035,,
A180-15,climap1,0.6,39.267,-36.7,0.296,0.103,0.003,0.465,0.124,0.003,,
A180-16,climap1,0.7,38.35,-32.483,0.407,0.275,0.012,0.207,0.094,0.003,,
A180-32,climap1,0.6,29.117,-26.25,0.185,0.024,0.024,0.252,0.5,0.018,,
A180-39,climap1,0.3,25.833,-19.3,0.196,0.195,0.004,0.411,0.17,0.024,,
A180-47,climap1,3.5,15.333,-17.933,0.047,0.575,0.033,0.174,0.162,0.01,,
A180-48,climap1,5.29,15.317,-18.1,0.067,0.313,0.018,0.134,0.461,0.009,,
A180-56,climap1,1,12.235,-17.767,0.133,0.445,0.015,0.143,0.238,0.026,,
A180-72,climap1,0.46,0.6,-21.783,0.247,0.028,0.003,0.598,0.127,0,,
A180-73,climap1,0.6,0.167,-23,0.51,0.021,0.029,0.962,0.469,0.011,,
A180-74,climap1,0.5,-0.05,-24.167,0.292,0.055,0.003,0.425,0.218,0.009,,
A180-76,climap1,0.6,-0.767,-26.033,0.196,0.008,0.004,0.534,0.249,0.008,,
A180-9,climap1,0.6,39.45,-45.95,0.418,0.161,0,0.37,0.05,0.003,,
ELT45.027-PC,climap1,0.3,-43.308,105.548,0.309,0.562,0,0.128,0,0,,
ELT45.029-PC,climap1,0.39,-44.877,106.518,0.358,0.471,0,0.167,0.005,0,,
ELT45.078-PC,climap1,0.31,-45.037,114.348,0.247,0.576,0,0.178,0.003,0,,
ELT48.003-PC,climap1,0.22,-41.02,100.012,0.177,0.665,0,0.151,0.006,0,,
ELT48.011-PC,climap1,0.32,-29.66,97.527,0.211,0.045,0.006,0.546,0.19,0.003,,
ELT48.022-PC,climap1,0.82,-39.895,85.41,0.41,0.503,0,0.089,0,0,,
ELT48.023-PC,climap1,0.32,-39.515,83.723,0.317,0.545,0,0.131,0.006,0,,
ELT48.027-PC,climap1,0.62,-38.542,79.898,0.375,0.469,0,0.148,0.00699999999999999,0,,
EN066-10GGC,climap1,0.305,6.67,-21.9,0.206,0.047,0.022,0.137,0.566,0.022,,
GIK12392-1,climap1,1.725,25.172,-16.845,0.44,0.352,0.005,0.176,0.024,0.005,,
K708-001,climap1,1.1,50,-23.733,0.914,0.081,0,0.005,0,0,,
K708-004,climap1,0.58,49.983,-25.017,0.979,0.019,0,0.002,0,0,,
K708-006,climap1,0.6,51.55,-29.567,0.935,0.065,0,0,0,0,,
K708-007,climap1,0.53,53.933,-24.083,0.965,0.035,0,0,0,0,,
K708-008,climap1,0.83,52.733,-22.55,0.952,0.04,0,0.008,0,0,,
K714-3,climap1,0.82,57.486,-27.519,0.929,0.07,0,0,0,0,,
MD76-131,climap1,1.9,15.53,72.568,0.183,0.123,0.059,0.1,0.486,0.05,,
MD77-169,climap1,1.51,10.13,95.03,0.144,0.097,0.046,0.231,0.458,0.026,,
MD77-171,climap1,2.61,11.46,94.09,0.166,0.112,0.125,0.171,0.384,0.043,,
MD77-179,climap1,0.52,18.22,91.01,0.326,0.117,0.089,0.187,0.258,0.024,,
MD77-180,climap1,1.81,18.28,89.51,0.263,0.118,0.051,0.135,0.378,0.052,,
MD77-191,climap1,6.72,7.3,76.43,0.171,0.318,0.082,0.217,0.194,0.018,,
MD77-194,climap1,3.11,10.467,75.233,0.142,0.277,0.095,0.119,0.344,0.023,,
MD77-203,climap1,3.41,20.698,59.568,0.058,0.306,0.014,0.045,0.548,0.029,,
RC08-145,climap1,0.35,33.583,-62.38,0.253,0.229,0.022,0.274,0.21,0.013,,
RC08-18,climap1,0.2,-24.07,-15.12,0.188,0.035,0.109,0.128,0.495,0.046,,
RC08-39,climap1,0.9,-42.88,42.35,0.735,0.219,0,0.047,0,0,,
RC08-94,climap1,0.16,-17.28,-35.983,0.281,0.036,0.076,0.01,0.586,0.011,,
RC09-124,climap1,0.4,-28.75,172.6,0.27,0.126,0.01,0.193,0.369,0.033,,
RC09-126,climap1,0.3,-33.23,168.73,0.308,0.197,0.003,0.29,0.182,0.018,,
RC09-150,climap1,0.6,-31.28,114.55,0.259,0.091,0.047,0.411,0.182,0.01,,
RC09-161,climap1,1.8,19.567,59.6,0.231,0.238,0.046,0.084,0.391,0.01,,
RC09-162,climap1,0.5,19.083,60.417,0.178,0.246,0.032,0.192,0.326,0.025,,
RC09-225,climap1,1.35,54.983,-15.4,0.985,0.015,0,0,0,0,,
RC09-49,climap1,0.7,11.184,-58.585,0.185,0.048,0.039,0.036,0.641,0.048,,
RC09-49,climap1,0.85,11.184,-58.585,0.197,0.078,0.041,0.055,0.628,0,,
RC10-114,climap1,0.2,-11.18,-162.9,0.342,0.01,0.067,0.011,0.537,0.032,,
RC10-161,climap1,0.09,33.083,158,0.204,0.12,0,0.621,0.053,0,,
RC10-50,climap1,1,11.767,-81.1,0.207,0.006,0.019,0.071,0.609,0.087,,
