Latitude,Longitude,O. universa,G. conglobatus,G. ruber ruber,G. ruber albus,G. tenellus,T. sacculifer,S. dehiscens,G. adamsi,G. aequilateralis,G. calida,G. bulloides,G. falconensis,G. digitata,G. rubescens,T. humilis,T. quinqueloba,N. pachyderma,N. incompta,N. dutertrei,G. conglomerata,G. hexagonus,P. obliquiloculata,G. inflata,T. truncatulinoides,G. crassaformis,G. hirsuta,G. scitula,D. anfracta,G. cultrata,G. tumida,C. nitida,G. glutinata,T. iota,G. uvula,B. pumilio,H. pelagica,H. digitata,G. menardii,G. truncatulinoides,G. theyeri,G. tenella,G. siphonifera,G. crassa,SST
44.3498,-30.267,4.0,0.0,2.0,28.0,4.0,2.0,0.0,0.0,4.0,8.0,61.0,64.0,0.0,6.0,0.0,10.0,53.0,39.0,3.0,0.0,0.0,0.0,67.0,17,0.0,16.0,41.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.715992655981568
28.0,-38.783,1.0,2.0,7.0,168.0,20.0,4.0,0.0,0.0,15.0,0.0,5.0,33.0,0.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,39.0,34,5.0,2.0,4.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.239215415178492
8.983,51.733,2.0,0.0,0.0,80.0,0.0,7.0,1.0,0.0,4.0,2.0,70.0,2.0,1.0,4.0,0.0,0.0,1.0,0.0,11.0,0.0,2.0,2.0,0.0,0,0.0,0.0,0.0,0.0,28.0,6.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.58766538843176
50.9332,-41.75,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,150.0,3.0,0.0,0.0,0.0,4.0,213.0,104.0,8.0,0.0,0.0,0.0,162.0,13,0.0,14.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6840366073952007
35.7167,-67.3333,1.0,3.0,0.0,76.0,0.0,36.0,1.0,0.0,8.0,2.0,106.0,5.0,0.0,0.0,1.0,0.0,4.0,7.0,34.0,0.0,0.0,22.0,45.0,18,0.0,27.0,0.0,0.0,15.0,18.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.010479208346005
36.1333,-68.9167,2.0,2.0,0.0,53.0,0.0,15.0,1.0,0.0,7.0,0.0,65.0,8.0,0.0,0.0,1.0,0.0,12.0,21.0,31.0,0.0,0.0,19.0,63.0,11,1.0,10.0,0.0,0.0,21.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.042508733388324
36.15,-69.15,7.0,3.0,0.0,106.0,0.0,42.0,1.0,0.0,11.0,3.0,59.0,16.0,2.0,0.0,0.0,0.0,7.0,10.0,36.0,0.0,0.0,14.0,31.0,33,0.0,17.0,0.0,0.0,3.0,6.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.393358004048523
35.7833,-68.9333,1.0,4.0,3.0,65.0,0.0,25.0,0.0,0.0,5.0,2.0,69.0,6.0,2.0,0.0,1.0,0.0,6.0,22.0,31.0,0.0,0.0,6.0,61.0,22,0.0,20.0,0.0,0.0,14.0,17.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.258091926892973
36.2167,-69.4,3.0,3.0,1.0,81.0,0.0,36.0,0.0,0.0,10.0,0.0,67.0,11.0,1.0,0.0,0.0,0.0,4.0,19.0,26.0,0.0,0.0,18.0,43.0,25,1.0,31.0,0.0,0.0,10.0,7.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.393358004048523
31.8333,-74.35,0.0,16.0,0.0,167.0,0.0,19.0,1.0,0.0,23.0,2.0,34.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,43.0,0.0,0.0,18.0,33.0,59,0.0,23.0,0.0,0.0,20.0,19.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.854185625417678
