Event,Data_Source,Depth [m],Latitude,Longitude,G. bulloides,T. quinqueloba,G. scitula,G. uvula,N. pachyderma,N. incompta,O. universa,G. conglobatus,G. ruber albus,G. tenellus,T. sacculifer,S. dehiscens,G. eastropacia,G. calida,G. falconensis,B. digitata,G. rubescens,N. dutertrei,G. conglomerata,G. hexagonus,P. obliquiloculata,G. inflata,G. crassaformis,G. hirsuta,G. glutinata,G. truncatulinoides,G. ruber ruber,G. adamsi,G. siphonifera,T. humilis,D. anfracta,G. cultrata,G. tumida,C. nitida,T. iota,B. pumilio,H. pelagica,H. digitata,T. clarkei,G. elongatus,SST
341-U1421,341-U1421,51.8,59.5072,-144.0456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.057073438580697
341-U1421,341-U1421,52.3,59.5072,-144.0456,130.0,0.0,0.0,0.0,112.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.057073438580697
341-U1421,341-U1421,52.81,59.5072,-144.0456,272.0,0.0,0.0,6.0,205.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.057073438580697
341-U1421,341-U1421,53.3,59.5072,-144.0456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.057073438580697
341-U1421,341-U1421,53.82,59.5072,-144.0456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.057073438580697
341-U1421,341-U1421,54.31,59.5072,-144.0456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.057073438580697
A15-558,climap1,0.98,8.983,51.733,61.0,1.0,68.0,,0.0,2.0,1.0,0.0,41.0,0.0,6.0,0.0,5.0,3.0,17.0,0.0,12.0,57.0,0.0,1.0,22.0,0.0,7.0,1.0,0.0,3.0,,,,,,,,,,,,,,,22.58766538843176
A180-15,climap1,0.6,39.267,-36.7,70.0,5.0,35.0,,45.0,118.0,2.0,0.0,75.0,0.0,5.0,0.0,2.0,0.0,7.0,0.0,2.0,88.0,0.0,0.0,0.0,241.0,0.0,9.0,9.0,5.0,,,,,,,,,,,,,,,14.64058196858743
A180-39,climap1,0.3,25.833,-19.3,86.0,8.0,17.0,,5.0,66.0,3.0,0.0,42.0,0.0,4.0,0.0,11.0,0.0,33.0,1.0,0.0,146.0,0.0,0.0,0.0,56.0,1.0,1.0,0.0,3.0,,,,,,,,,,,,,,,16.635859420973706
A180-74,climap1,0.5,-0.05,-24.167,31.0,1.0,74.0,,1.0,29.0,0.0,0.0,86.0,1.0,31.0,0.0,5.0,1.0,12.0,0.0,0.0,198.0,0.0,0.0,1.0,55.0,8.0,6.0,0.0,55.0,,,,,,,,,,,,,,,22.780135173763192
RC10-50,climap1,1.0,11.767,-81.1,1.0,0.0,74.0,,0.0,0.0,2.0,19.0,238.0,0.0,34.0,0.0,42.0,0.0,2.0,1.0,9.0,22.0,0.0,0.0,0.0,11.0,4.0,1.0,1.0,20.0,,,,,,,,,,,,,,,23.01813730997105
RC11-120,climap1,0.84,-43.52,79.867,84.0,2.0,3.0,,166.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,,7.157040524860816
RC11-121,climap1,0.4,-39.72,82.25,96.0,27.0,24.0,,27.0,25.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,24.0,0.0,0.0,0.0,18.0,0.0,2.0,0.0,12.0,,,,,,,,,,,,,,,9.683578974621037
RC11-145,climap1,0.5,-25.48,110.02,28.0,0.0,42.0,,0.0,0.0,1.0,1.0,36.0,1.0,12.0,0.0,2.0,1.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,147.0,0.0,0.0,1.0,5.0,,,,,,,,,,,,,,,20.232703533359874
