Data_Source,Latitude,Longitude,O. universa,G. conglobatus,G. ruber albus,G. tenellus,T. sacculifer,S. dehiscens,G. siphonifera,G. calida,G. bulloides,G. falconensis,B. digitata,G. rubescens,T. quinqueloba,N. pachyderma,N. incompta,N. dutertrei,G. conglomerata,G. hexagonus,P. obliquiloculata,G. inflata,G. crassaformis,G. hirsuta,G. scitula,G. glutinata,G. truncatulinoides,G. aequilateralis,G. menardii,H. pelagica,G. ruber ruber,G. tumida,G. digitata,T. humilis,C. nitida,G. uvula,D. anfracta,G. theyeri,T. iota,G. cavernula,G. cultrata,G. tenella,G. adamsi,G. crassa,SST
climap,8.983,51.733,0.004,0.0,0.133,0.0,0.02,0.0,0.016,0.012,0.195,0.055,0.0,0.039,0.004,0.0,0.008,0.184,0.0,0.004,0.07,0.0,0.023,0.004,0.219,0.0,0.012,,,,,,,,,,,,,,,,,,
climap,34.817,-74.683,0.003,0.006,0.288,0.013,0.091,0.003,0.028,0.0,0.056,0.05,0.0,0.047,0.056,0.0,0.025,0.066,0.0,0.0,0.022,0.066,0.0,0.006,0.163,0.0,0.013,,,,,,,,,,,,,,,,,,21.4103927825483
climap,36.483,-69.0,0.013,0.019,0.103,0.0,0.077,0.0,0.019,0.0,0.045,0.006,0.0,0.006,0.0,0.013,0.064,0.147,0.0,0.006,0.0,0.365,0.006,0.0,0.071,0.013,0.026,,,,,,,,,,,,,,,,,,19.042508733388324
climap,37.767,-71.25,0.003,0.003,0.074,0.017,0.011,0.0,0.009,0.0,0.071,0.003,0.0,0.006,0.026,0.154,0.109,0.08,0.0,0.0,0.003,0.3,0.003,0.006,0.109,0.0,0.015,,,,,,,,,,,,,,,,,,19.770604821253194
climap,38.133,-69.867,0.016,0.0,0.038,0.0,0.005,0.0,0.005,0.0,0.146,0.005,0.0,0.0,0.011,0.286,0.195,0.032,0.0,0.0,0.0,0.173,0.0,0.0,0.081,0.0,0.005,,,,,,,,,,,,,,,,,,18.151426643313616
climap,39.533,-68.783,0.01,0.0,0.043,0.008,0.02,0.0,0.008,0.0,0.143,0.01,0.0,0.015,0.033,0.133,0.112,0.107,0.0,0.0,0.003,0.291,0.0,0.003,0.059,0.0,0.003,,,,,,,,,,,,,,,,,,16.195295994200983
climap,31.65,-75.35,0.01,0.003,0.271,0.019,0.025,0.0,0.019,0.022,0.048,0.019,0.0,0.016,0.0,0.0,0.019,0.067,0.0,0.0,0.0,0.239,0.006,0.032,0.131,0.0,0.054,,,,,,,,,,,,,,,,,,22.253909486920143
climap,31.467,-76.467,0.006,0.0,0.294,0.04,0.0,0.0,0.025,0.053,0.037,0.015,0.003,0.015,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.232,0.0,0.046,0.124,0.003,0.089,,,,,,,,,,,,,,,,,,22.544032671271353
climap,17.233,-73.467,0.004,0.0,0.561,0.006,0.095,0.0,0.025,0.0,0.019,0.0,0.0,0.025,0.004,0.0,0.002,0.105,0.0,0.0,0.0,0.025,0.0,0.015,0.088,0.0,0.026,,,,,,,,,,,,,,,,,,23.409664764822708
climap,16.2,-72.317,0.002,0.005,0.441,0.017,0.108,0.0,0.026,0.0,0.017,0.0,0.0,0.045,0.005,0.0,0.005,0.099,0.0,0.0,0.0,0.085,0.0,0.012,0.127,0.0,0.007,,,,,,,,,,,,,,,,,,22.792876991981768
climap,33.867,-62.533,0.003,0.006,0.092,0.003,0.021,0.0,0.0,0.012,0.044,0.015,0.003,0.0,0.0,0.003,0.036,0.104,0.0,0.0,0.0,0.527,0.006,0.003,0.027,0.024,0.074,,,,,,,,,,,,,,,,,,19.679510872163142
climap,24.8,-75.933,0.009,0.005,0.487,0.138,0.026,0.0,0.091,0.014,0.002,0.007,0.005,0.016,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.023,0.0,0.0,0.119,0.0,0.049,,,,,,,,,,,,,,,,,,
climap,24.8,-75.933,0.009,0.006,0.529,0.109,0.047,0.0,0.035,0.003,0.005,0.015,0.0,0.017,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.029,0.008,0.011,0.127,0.0,0.034,,,,,,,,,,,,,,,,,,
climap,39.267,-36.7,0.004,0.0,0.103,0.0,0.007,0.0,0.003,0.0,0.096,0.01,0.0,0.003,0.007,0.063,0.163,0.121,0.0,0.0,0.0,0.331,0.0,0.013,0.049,0.013,0.008,,,,,,,,,,,,,,,,,,14.64058196858743
climap,38.35,-32.483,0.0,0.0,0.044,0.003,0.006,0.0,0.003,0.003,0.172,0.041,0.0,0.009,0.103,0.009,0.138,0.066,0.0,0.0,0.0,0.141,0.0,0.085,0.163,0.0,0.012,,,,,,,,,,,,,,,,,,15.3985247509712
climap,29.117,-26.25,0.0,0.003,0.355,0.018,0.015,0.0,0.018,0.006,0.021,0.121,0.003,0.006,0.0,0.006,0.018,0.036,0.0,0.0,0.0,0.21,0.024,0.003,0.027,0.006,0.107,,,,,,,,,,,,,,,,,,17.029679364061266
climap,25.833,-19.3,0.007,0.0,0.085,0.002,0.009,0.0,0.024,0.002,0.174,0.067,0.004,0.002,0.017,0.011,0.135,0.296,0.0,0.0,0.0,0.115,0.004,0.004,0.035,0.0,0.007,,,,,,,,,,,,,,,,,,16.635859420973706
climap,15.333,-17.933,0.01,0.0,0.107,0.033,0.015,0.0,0.01,0.02,0.55,0.01,0.005,0.0,0.02,0.003,0.005,0.115,0.0,0.0,0.0,0.059,0.003,0.003,0.033,0.0,0.0,,,,,,,,,,,,,,,,,,21.917142729288848
climap,15.317,-18.1,0.003,0.0,0.388,0.012,0.058,0.0,0.009,0.012,0.313,0.0,0.0,0.006,0.0,0.003,0.009,0.067,0.0,0.0,0.0,0.067,0.003,0.003,0.049,0.0,0.0,,,,,,,,,,,,,,,,,,21.94946540821958
climap,12.235,-17.767,0.011,0.0,0.154,0.002,0.055,0.0,0.026,0.007,0.441,0.011,0.0,0.013,0.004,0.0,0.061,0.114,0.0,0.0,0.0,0.029,0.013,0.011,0.044,0.0,0.004,,,,,,,,,,,,,,,,,,
climap,0.6,-21.783,0.003,0.006,0.053,0.0,0.056,0.0,0.0,0.003,0.028,0.006,0.0,0.003,0.0,0.014,0.047,0.456,0.0,0.0,0.0,0.142,0.017,0.0,0.061,0.0,0.108,,,,,,,,,,,,,,,,,,22.787460882413335
climap,0.167,-23.0,0.007,0.002,0.133,0.0,0.11,0.0,0.011,0.007,0.014,0.009,0.0,0.021,0.0,0.005,0.041,0.368,0.0,0.0,0.002,0.048,0.014,0.002,0.131,0.0,0.074,,,,,,,,,,,,,,,,,,22.83804843502483
climap,0.167,-23.0,0.014,0.0,0.081,0.004,0.081,0.0,0.0,0.011,0.007,0.014,0.0,0.004,0.0,0.0,0.021,0.484,0.0,0.0,0.0,0.06,0.025,0.0,0.095,0.0,0.102,,,,,,,,,,,,,,,,,,22.83804843502483
climap,-0.05,-24.167,0.0,0.0,0.143,0.003,0.052,0.0,0.009,0.003,0.052,0.02,0.0,0.0,0.003,0.003,0.049,0.33,0.0,0.0,0.003,0.092,0.014,0.011,0.123,0.0,0.092,,,,,,,,,,,,,,,,,,22.780135173763192
climap,-0.767,-26.033,0.004,0.0,0.135,0.0,0.106,0.0,0.008,0.004,0.008,0.0,0.0,0.004,0.0,0.0,0.012,0.465,0.0,0.0,0.0,0.069,0.016,0.0,0.09,0.0,0.078,,,,,,,,,,,,,,,,,,22.88489529854492
climap,39.45,-45.95,0.003,0.0,0.038,0.0,0.003,0.0,0.003,0.003,0.135,0.003,0.0,0.0,0.026,0.176,0.209,0.163,0.0,0.0,0.003,0.204,0.0,0.005,0.028,0.0,0.0,,,,,,,,,,,,,,,,,,15.200239337959962
climap,-43.308,105.548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.519,0.0,0.003,0.0,0.04,0.168,0.057,0.0,0.0,0.0,0.0,0.128,0.0,0.003,0.037,0.0,0.044,,,,,,,,,,,,,,,,,,6.623354742745742
climap,-44.877,106.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.457,0.005,0.0,0.0,0.014,0.276,0.045,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.014,0.0,0.023,,,,,,,,,,,,,,,,,,5.944421172322243
climap,-45.037,114.348,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.518,0.0,0.0,0.0,0.058,0.145,0.043,0.005,0.0,0.0,0.0,0.173,0.003,0.003,0.038,0.0,0.015,,,,,,,,,,,,,,,,,,5.415118395580558
climap,-41.02,100.012,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.584,0.003,0.0,0.0,0.081,0.07,0.034,0.013,0.0,0.0,0.0,0.138,0.0,0.0,0.06,0.0,0.013,,,,,,,,,,,,,,,,,,7.975991127136457
climap,-29.66,97.527,0.006,0.0,0.157,0.0,0.009,0.0,0.003,0.012,0.045,0.006,0.0,0.006,0.0,0.006,0.095,0.068,0.0,0.0,0.0,0.478,0.006,0.0,0.018,0.0,0.086,,,,,,,,,,,,,,,,,,15.28434567393262
climap,-39.895,85.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.423,0.0,0.0,0.0,0.08,0.108,0.176,0.026,0.0,0.0,0.0,0.063,0.0,0.006,0.097,0.0,0.023,,,,,,,,,,,,,,,,,,9.572048697244403
climap,-39.515,83.723,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.385,0.003,0.003,0.0,0.157,0.047,0.157,0.054,0.0,0.0,0.0,0.077,0.0,0.0,0.077,0.0,0.036,,,,,,,,,,,,,,,,,,9.648735128187393
climap,-38.542,79.898,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.372,0.0,0.0,0.0,0.097,0.097,0.181,0.074,0.0,0.0,0.0,0.074,0.0,0.0,0.067,0.0,0.03,,,,,,,,,,,,,,,,,,10.52637077647979
climap,6.67,-21.9,0.005,0.0,0.36,0.014,0.173,0.0,0.022,0.014,0.036,0.014,0.011,0.008,0.0,0.0,0.049,0.107,0.0,0.003,0.003,0.027,0.03,0.003,0.099,0.0,0.022,,,,,,,,,,,,,,,,,,24.17065724819939
